case	paper_group	paper_label	note
btree	R1S1	B+	Figure 10 B+ tree entry
dwt2d	R0S0	DW	Figure 10 DWT2D entry
gaussian	R1S0	GA	Figure 10 Gaussian entry
hotspot1	R1S0	HO	Figure 10 Hotspot entry
lud	R1S1	LU	Figure 10 LUD entry
nn	R0S0	NN	Figure 10 nearest-neighbor entry
cutcp	R1S0	CU	Figure 10 CUTCP entry
mri-q	R0S0	MR	Paper lists MRI; local replay is the explicitly recorded mri-q variant
sgemm	R1S1	SG	Figure 10 SGEMM entry
stencil	R1S1	ST	Figure 10 Stencil entry
2DConvolution	R1S1	2D	Figure 10 2DConvolution entry
3mm	R1S1	3M	Figure 10 3mm entry
atax	R0S1	AT	Figure 10 ATAX entry
bicg	R0S1	BI	Figure 10 BICG entry
gemm	R1S1	GE	Figure 10 GEMM entry
gesummv	R0S1	GS	Figure 10 GESUMMV entry
