abbr,paper_group,sequence_index,paper_fig3_redundancy_ratio,paper_fig3_l2_sensitivity,marker_source,identity_confidence,workload,notes
MR,R0S0,0,0.0000,1.0049,publisher_vector,conditional,MRI-q,Identity inferred from R0S0 emission order and Fig.10 group order.
NN,R0S0,3,0.0000,1.0456,publisher_vector,conditional,Nearest Neighbor,Identity inferred from R0S0 emission order and Fig.10 group order.
DW,R0S0,5,0.1538,1.0590,publisher_vector,conditional,DWT2D,Identity inferred from R0S0 emission order and Fig.10 group order.
CU,R1S0,0,0.9733,1.0186,publisher_vector,conditional,CUTCP,Identity inferred from R1S0 emission order and Fig.10 group order.
HO,R1S0,1,0.6377,1.0197,publisher_vector,conditional,Hotspot,Identity inferred from R1S0 emission order and Fig.10 group order.
GA,R1S0,3,0.8908,1.0875,publisher_vector,conditional,Gaussian,Identity inferred from R1S0 emission order and Fig.10 group order.
AT,R0S1,2,0.0118,1.5228,publisher_vector,conditional,ATAX,Identity inferred from R0S1 emission order and Fig.10 group order.
BI,R0S1,3,0.0159,1.5423,publisher_vector,conditional,BICG,Identity inferred from R0S1 emission order and Fig.10 group order.
GS,R0S1,guess,0.0066,1.5009,synthetic_guess,none,GESUMMV,Publisher vector exposes four R0S1 markers for five Fig.10 workloads; visualization-only guessed locus.
LU,R1S1,1,0.9317,1.1303,publisher_vector,conditional,LUD,Identity inferred from R1S1 emission order and Fig.10 group order.
SG,R1S1,2,0.8299,1.1740,publisher_vector,conditional,SGEMM,Identity inferred from R1S1 emission order and Fig.10 group order.
3M,R1S1,3,0.8912,1.1908,publisher_vector,conditional,3mm,Identity inferred from R1S1 emission order and Fig.10 group order.
GE,R1S1,4,0.8966,1.2593,publisher_vector,conditional,GEMM,Identity inferred from R1S1 emission order and Fig.10 group order.
B+,R1S1,6,0.4927,1.3491,publisher_vector,conditional,B+tree,Identity inferred from R1S1 emission order and Fig.10 group order.
2D,R1S1,7,0.4710,1.4191,publisher_vector,conditional,2DConvolution,Identity inferred from R1S1 emission order and Fig.10 group order.
ST,R1S1,8,0.3628,1.3747,publisher_vector,conditional,Stencil,Identity inferred from R1S1 emission order and Fig.10 group order.
