workload	mode	coverage_status	identity_disposition	compact_or_run_reference	note
ATAX	IO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
ATAX	OO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
BICG	IO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
BICG	OO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
GESUMMV	IO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	immutable Core95 row; natural exit 0, strict collector PASS; nonpromoting pending FAST64.3
GESUMMV	OO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	immutable Core95 row; natural exit 0, strict collector PASS; nonpromoting pending FAST64.3
GEMM	IO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_gemm_io_cap8192_a1_v3.json	strict terminal candidate; preserve literal identity
GEMM	OO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_gemm_oo_cap8192_a1_v3.json	strict terminal candidate; preserve literal identity
2DConvolution	IO	BLOCKED_ON_FINAL_CORE_IDENTITY	FINAL_SOURCE_CORRECT_REPAIR_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_2DConvolution_io_cap8192_a1_v3_recovered_v2.json	historical bbcbb evidence cannot mix with the Core41-invalid Base; dc6062 is NONFORMAL_DIAGNOSTIC_NOT_RESULT and no final repair identity exists
2DConvolution	OO	BLOCKED_ON_FINAL_CORE_IDENTITY	FINAL_SOURCE_CORRECT_REPAIR_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_2DConvolution_oo_cap8192_a1_v3_recovered_v3.json	historical bbcbb evidence cannot mix with the Core41-invalid Base; dc6062 is NONFORMAL_DIAGNOSTIC_NOT_RESULT and no final repair identity exists
Btree	IO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
Btree	OO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json	strict terminal; nonpromoting pending FAST64.3
DWT2D	IO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_io_cap8192_a1_v3_recovered_v2.json	strict terminal candidate; preserve literal identity
DWT2D	OO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_oo_cap8192_a1_v3_recovered_v2.json	strict terminal candidate; preserve literal identity
Gaussian	IO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_gaussian_io_cap8192_a1_v3_recovered_v2.json	strict terminal candidate; preserve literal identity
Gaussian	OO	STRICT_TERMINAL_REUSE_CANDIDATE	LITERAL_BBCBB_REUSE_MAP_REQUIRED	fast64_4_precomputed_rows_v1/fast64_4_gaussian_oo_cap8192_a1_v3_recovered_v2.json	strict terminal candidate; preserve literal identity
Hotspot1	IO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_core_qual_v1/fast64_hotspot1_io_core95ccdb7a_a1_v1.json	strict terminal repaired-Core qualification
Hotspot1	OO	STRICT_TERMINAL_REUSE_CANDIDATE	CORE95_EXACT	fast64_repaired_core_qual_v1/fast64_hotspot1_oo_core95ccdb7a_a1_v1.json	strict terminal repaired-Core qualification
