schema	FAST64_6_PRECOMPUTE_DISPATCH_V3
status	TARGET20_ACTIVE_NONTERMINAL_IDENTITY_INDEX
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
config_materialization_sha	180e81c68816012165c26dab577e693b3b798292
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
immutable_runner_sha256	bf9a84c8aab54ccd5d00a8465d69669cfac78012b783c3cfd9e0e4433062e6af
formal_core_worktree	/workspace/worktrees/gpgpu-sim-fast64-formal-95ccdb7a
resource_audit	/tmp/fast64-resource-audit-v4-refill-one.tsv
collector	util/dtc_l1/collect_fast64_6_precompute_v10.sh (future-only; PID 949578)
row	workload	dimension	point	mode	cpu	supervisor_pid	simulator_pid	attempt_uuid	config_path	config_sha256	terminal_state
fast64_sens_v13_gesummv_physical40_io	GESUMMV	physical	40	IO	30	948487	948512	146b0390-2592-436d-bf4c-fad1e96148c6	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	ACTIVE_NONTERMINAL
