schema	FAST64_6_SENSITIVITY_MATRIX_V1
status	FROZEN_PRE_DISPATCH
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
config_materialization_sha	180e81c68816012165c26dab577e693b3b798292
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
workload	payload_sha256	dimension	point	modeled_value	mode	config_path	config_sha256	reference_point	reference_mode	mode_policy	reuse_candidate	classification
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	16	16384	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_16/FAST64_SENS_LOGICAL_16KB_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	logical_16_same_mode	IO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	16	16384	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_16/FAST64_SENS_LOGICAL_16KB_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	logical_16_same_mode	OO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	32	32768	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_IO.config	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	logical_16_same_mode	IO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	32	32768	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_OO.config	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	logical_16_same_mode	OO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	64	65536	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	logical_16_same_mode	IO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	logical	64	65536	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	logical_16_same_mode	OO	FORMAL_IO_OO;BASE_SUPPLEMENTAL_ONLY	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	physical	16.5	132_lines_16896B	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_IO.config	475b8eab9b555c06ca3adeb2b011079eee01de0bf7b8bcca36e7c3adce7d9a77	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	physical	16.5	132_lines_16896B	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_OO.config	f9855bce0b1480a529f894de15a2fd769233f83d837ee07e745f88c901782d31	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	physical	24	192_lines_24576B	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
BICG	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	physical	24	192_lines_24576B	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
