workload	trace_root	kernelslist_g_sha256	traceg_members	traceg_bytes	ordered_traceg_set_sha256	trace_format	provenance_label
atax	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-atax/NO_ARGS/traces	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	2	238280936	c7ccee3cafc4207091b939225deb6ad7cad2d723d7a6baceeefc9536b5a02d53	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
bicg	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	2	238281448	1549195628f4f7faa0ffbaf76a58df395d5f87f9e7269fca7061ff1be241c962	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
gesummv	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1	316381690	0d4f1664914ca25893ea7badff43ead6f0f14faa78c6963c71e33b0f0bd7295e	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
gemm	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	1	1110675117	9647c57aad44ad488bfc6e077b90d1891281667feeeb12bb5e351f28fb39bebb	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
2DConvolution	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-2DConvolution/NO_ARGS/traces	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1	840990934	d42fe40527ae697ea8f7e6dc625af9eb6766dd1eb7d106008aa4c64aae2d683c	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
btree	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	2	809709439	5c1b7a75817ca6603360640d8d6f69182b08a799dc4034688c8c4945bde3d879	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
dwt2d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	10	423214689	ea0dbfca1c83543b21e894d6c5522dfecb400f84903811b7728004ad49fa59ef	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
gaussian	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/gaussian-rodinia-3.1/_s_256/traces	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	510	877461403	89fab49671f848768035c43896cfeb08b66d21dc0a11436f81a7877f18f4285a	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
hotspot1	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out/traces	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	1	1041309456	0b60048a89d4358438d0cfed2f1a9d556e214b54541cc1fd1700e7412086e696	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
lud	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/lud-rodinia-3.1/_i___data_512_dat/traces	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	94	1515997918	57e1a453bc3537c33242a0ff2a608b8c875d07f9d0110e3ceaa1f9b77b5c9c7f	NVBit-v1.4-text-traceg	C2P_CANONICAL_TRACE_REUSED_FOR_DTC_FAST64
