workload	source_class	cycles	instructions	accepted
ATAX	REUSABLE_SOURCE_INERT_BASE	87750512	145666048	YES
BICG	REUSABLE_SOURCE_INERT_BASE	88495620	145666048	YES
GESUMMV	REPAIRED_CORE_FRESH	194986098	190918656	YES
GEMM	REUSABLE_SOURCE_INERT_BASE	2662394	739246080	YES
2DConvolution	REPAIRED_CORE_FRESH	2247155	620347492	YES
Btree	REPAIRED_CORE_FRESH	369977	444467849	YES
DWT2D	REUSABLE_SOURCE_INERT_BASE	344119	148684429	YES
Gaussian	REUSABLE_SOURCE_INERT_BASE	4229815	283685120	YES
Hotspot1	REPAIRED_CORE_FRESH	160486	377291004	YES
LUD	REUSABLE_SOURCE_INERT_BASE	1113878	184963840	YES
NN	REPAIRED_CORE_FRESH	6985	1284872	YES
MRI-Q	REPAIRED_CORE_FRESH	366667	1411757056	YES
