workload	mode	formal_cap	source_cap	cap_identity_class	expected_config_id	expected_config_sha256	registry_cap_disposition	resolution_authority	resolution_authority_sha256
ATAX	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
ATAX	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
ATAX	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
BICG	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
BICG	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
BICG	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GESUMMV	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GESUMMV	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GESUMMV	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GEMM	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GEMM	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
GEMM	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
2DConvolution	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
2DConvolution	IO	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_CAP16384_A1	c8988391c568126ce6c3a31b8f1cfa710958816f02c5ced49065301524e111f0	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
2DConvolution	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
