workload	mode	accepted_namespace	origin	status	cycles	instructions	config_sha256	payload_sha256	core_sha	runtime_sha256	observer_sha256	scientific_framework_sha	evidence_path	evidence_sha256	raw_run_ref
ATAX	BASE	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	87750512	145666048	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_atax_base_core95ccdb7a_a1_r1.json	987fd914bf57266e4400c720b402545f0ecacb3311ea167aa715f601056b2243	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1
ATAX	IO	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	88363340	145666048	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json	599af0d7c512e32257ce31e0930653db57f3d30bafce622f7affdc2019d8b710	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1
ATAX	OO	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	48078114	145666048	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json	f76ec67c8ec5ab04775fd7091e3ecb9b5c5566ccedb1f52723340efdfd6b4a1f	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1
BICG	BASE	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	88495620	145666048	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_base_core95ccdb7a_a1_r1.json	737e8d0e1d272c1933646e715a2fdb5deb30303e703790fdfbe3efef668d7f60	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1
BICG	IO	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	93942704	145666048	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	9cb2a934364fc1658d5806a6aea2e871c7faca31c175544994ca1614f2369c06	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1
BICG	OO	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	47231655	145666048	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	6d6c2414f4518901fcbca953bf81d27565f25acacbc8f4c4d124dfebecb67a99	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1
GESUMMV	BASE	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	194986098	190918656	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json	241227b7fd32b10e3e5ed5c169fb8c4383c29b3f2f616976cfd29db11e1df5ae	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1
GESUMMV	IO	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	210667785	190918656	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	e19584039bcfc8bb55411d50b6166c78d160f646c95930a35848da6a51eeea9a	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1
GESUMMV	OO	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1/simulator.stdout	CORE95_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	143059605	190918656	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	d853e4acc0adae47e7d7b95e749be76782989a8bcbb3599f4a5e5db217d35705	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1
GEMM	BASE	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2/simulator.stdout	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	CANDIDATE_PENDING_STAGE4_HANDOFF	2662394	739246080	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	docs/dtc_l1/fast64/generated/fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	7be02d3261fe79200db4163e2719268ab2e291e0dae1c3f448c56713595dd895	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2
