workload	base_cycles	io_cycles	oo_cycles	speedup_io	speedup_oo	status
ATAX	87750512	88363340	48078114	0.993065	1.825165	CANDIDATE_PENDING_STAGE4_HANDOFF
BICG	88495620	93942704	47231655	0.942017	1.873651	CANDIDATE_PENDING_STAGE4_HANDOFF
GESUMMV	194986098	210667785	143059605	0.925562	1.362971	CANDIDATE_PENDING_STAGE4_HANDOFF
GEMM	2662394	1488845	1396643	1.788228	1.906281	CANDIDATE_PENDING_STAGE4_HANDOFF
2DConvolution	2247155	627281	593208	3.582374	3.788140	CANDIDATE_PENDING_STAGE4_HANDOFF
Btree	369977	244231	172795	1.514865	2.141133	CANDIDATE_PENDING_STAGE4_HANDOFF
DWT2D	344119	241380	234651	1.425632	1.466514	CANDIDATE_PENDING_STAGE4_HANDOFF
Gaussian	4229815	3817538	3820325	1.107996	1.107187	CANDIDATE_PENDING_STAGE4_HANDOFF
Hotspot1	160486	85633	84173	1.874114	1.906621	CANDIDATE_PENDING_STAGE4_HANDOFF
LUD	1113878	1091487	1087849	1.020514	1.023927	CANDIDATE_PENDING_STAGE4_HANDOFF
NN	6985	6095	6105	1.146021	1.144144	CANDIDATE_PENDING_STAGE4_HANDOFF
MRI-Q	366667	360536	361415	1.017005	1.014532	CANDIDATE_PENDING_STAGE4_HANDOFF
GM-FAST12	n/a	n/a	n/a	1.326143	1.592062	CANDIDATE_PENDING_STAGE4_HANDOFF
