workload	pib_full_events	cacheline_all_lines_reserved_events	tag_bank_conflicts	mshr_entry_full_events	mshr_merge_full_events	miss_queue_downstream_full_events	base_lower_cap_full
ATAX	10200202	1349272650	20972288	0	0	1070	0
BICG	10203224	1369006149	20972288	0	0	1145	0
GESUMMV	49978400	3157387337	38798080	0	0	1455	0
GEMM	128879948	114099368	25214976	0	0	49091	0
2DConvolution	122219084	5576660	15720960	0	0	13	0
Btree	18175485	590	1751328	1622927	0	0	0
DWT2D	8289065	1417779	1225446	346268	0	18367	0
Gaussian	3706501	29611524	8502071	2025717	0	78330	0
Hotspot1	5037171	24303354	577925	866624	0	15056	0
LUD	5720827	6288688	1040112	0	0	1372	0
NN	57768	0	20045	89427	0	0	0
MRI-Q	420442	104423	65376	0	0	0	0
