workload	variant	trace_list_sha256	expected_instructions	canonical_core	canonical_runtime_sha256	planned_provenance	launch_gate	result_status
ATAX	B16-N	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	145666048	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
ATAX	TC80-N	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	145666048	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
BICG	B16-N	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	145666048	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	REUSE_D2B_SMOKE_ONLY_IF_EXACT_IDENTITY_AND_STRICT_PASS	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
BICG	TC80-N	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	145666048	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	REUSE_D2B_SMOKE_ONLY_IF_EXACT_IDENTITY_AND_STRICT_PASS	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
GESUMMV	B16-N	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	190918656	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
GESUMMV	TC80-N	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	190918656	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
Btree	B16-N	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	444467849	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	REUSE_D2B_SMOKE_ONLY_IF_EXACT_IDENTITY_AND_STRICT_PASS	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
Btree	TC80-N	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	444467849	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	REUSE_D2B_SMOKE_ONLY_IF_EXACT_IDENTITY_AND_STRICT_PASS	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
2DConvolution	B16-N	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	620347492	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
2DConvolution	TC80-N	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	620347492	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
Gaussian	B16-N	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	283685120	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
Gaussian	TC80-N	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	283685120	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	FRESH_IMMUTABLE_G6	D2B_SMOKE_6_OF_6_STRICT_PASS	PENDING
