snapshot_utc	workload	variant	cycles	instructions	metric_family	variant_lower_transactions	variant_lower_payload_bytes	validation	attempt_dir	evidence_boundary
2026-09-23T00:24:32Z	2DConvolution	B16-N	2676088	620347492	conventional_read	3933899	503539072	PASS strict	 sg5_g6_observer_B16-N_2DConvolution_ON_6ae7b22c-6afe-4c72-86a5-4d84e5d45751	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	2DConvolution	TC80-N	1991426	620347492	conventional_read	1970004	252160512	PASS strict	 sg5_g6_observer_TC80-N_2DConvolution_ON_e5c6dde2-fc7e-4927-a77f-a546df26ef69	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	2DConvolution	IO	627590	620347492	dtc_io	3372138	431633664	PASS strict	 sg5_g6_observer_IO_2DConvolution_ON_aa356bf8-e9c0-472f-b98e-4f244fe50cc0	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	2DConvolution	OO	593208	620347492	dtc_oo	3305954	423162112	PASS strict	 sg5_g6_observer_OO_2DConvolution_ON_e1f5df9f-5a19-4512-88e0-75c9e791f3e0	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	BICG	B16-N	79721847	145666048	conventional_read	17635339	2257323392	PASS strict	 sg5_g6_observer_B16-N_BICG_ON_834da668-ae45-4bc5-9e27-f2517d49226c	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	BICG	B16-S	89507043	145666048	conventional_read	19214314	614858048	PASS strict	 sg5_g6_observer_B16-S_BICG_ON_c1962fab-5ba4-40a6-b105-286f921b9110	paper-critical sector anchor
2026-09-23T00:24:32Z	BICG	TC80-N	26555809	145666048	conventional_read	17603205	2253210240	PASS strict	 sg5_g6_observer_TC80-N_BICG_ON_7fc4287c-9aab-4ffc-a296-5b54353600cd	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	BICG	TC80-S	26606829	145666048	conventional_read	19191036	614113152	PASS strict	 sg5_g6_observer_TC80-S_BICG_ON_359904f8-e700-4f75-9e41-36ff6ff9b0f1	paper-critical sector anchor
2026-09-23T00:24:32Z	BICG	IO	93942704	145666048	dtc_io	17821394	2281138432	PASS strict	 sg5_g6_observer_IO_BICG_ON_06498db5-07a4-40dd-b1f5-4857f4ed7d85	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	BICG	OO	47231655	145666048	dtc_oo	17814913	2280308864	PASS strict	 sg5_g6_observer_OO_BICG_ON_165844f4-a0bf-48d5-b197-1dd8e65ac155	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	Btree	B16-N	429197	444467849	conventional_read	555628	71120384	PASS strict	 sg5_g6_observer_B16-N_Btree_ON_e7903672-2531-40f4-804c-d7418af31e77	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	Btree	TC80-N	348147	444467849	conventional_read	461180	59031040	PASS strict	 sg5_g6_observer_TC80-N_Btree_ON_af7cec7b-de69-4976-924f-80225f98eb49	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	Btree	IO	244231	444467849	dtc_io	507779	64995712	PASS strict	 sg5_g6_observer_IO_Btree_ON_6aa79997-bb0c-4cbe-bbfe-c81ae53ec052	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	Btree	OO	172719	444467849	dtc_oo	502622	64335616	PASS strict	 sg5_g6_observer_OO_Btree_ON_2918a566-a02a-4106-9f68-81b8bc8ddde8	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	GESUMMV	B16-N	172310437	190918656	conventional_read	34287866	4388846848	PASS strict	 sg5_g6_observer_B16-N_GESUMMV_ON_290bb1fa-b2aa-40cf-a109-a5aadeb3db02	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	GESUMMV	TC80-N	90638332	190918656	conventional_read	34199577	4377545856	PASS strict	 sg5_g6_observer_TC80-N_GESUMMV_ON_a8fe23d7-d41a-4eb3-bc76-43484942427b	paper-critical observer-ON lower-work row
2026-09-23T00:24:32Z	GESUMMV	TC80-S	91370507	190918656	conventional_read	34335863	1098747616	PASS strict	 sg5_g6_observer_TC80-S_GESUMMV_ON_186f7770-79ea-427e-a3aa-5490ddd4a3c2	paper-critical sector anchor
