workload	instructions	b16_cycles	tc80_cycles	io_cycles	oo_cycles	speedup_tc80_over_b16	speedup_io_over_b16	speedup_oo_over_b16	speedup_io_over_tc80	speedup_oo_over_tc80	b16_source	tc80_source	io_source	oo_source
ATAX	145666048	87750512	31247945	88363340	48078114	2.808201051301	0.993064680443	1.825165438062	0.353630193245	0.649941156178	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_1_ATAX_3c0ada1f-aae1-4caf-aaa8-95eb04b259ba	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1/simulator.stdout	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1/simulator.stdout
BICG	145666048	88495620	28354160	93942704	47231655	3.121080645662	0.942016955356	1.873650626894	0.301823971343	0.600321119385	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_2_BICG_a138a01b-1e85-4c7e-921e-5f15e92fd74f	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1/simulator.stdout	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1/simulator.stdout
GESUMMV	190918656	194986098	87793504	210667785	143059605	2.220962703573	0.925562007499	1.362971035744	0.416739104178	0.613684792433	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_3_GESUMMV_22e02be8-8037-4c67-9076-66a32185c4b7	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1/simulator.stdout	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1/simulator.stdout
GEMM	739246080	2662394	2131179	1488845	1396643	1.249258743634	1.788227787312	1.906280989487	1.431431075767	1.525929675658	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_4_GEMM_488e7517-276e-46e3-b45c-ad2579d5e0f4	/workspace/fast64-runs/fast64_4_gemm_io_cap8192_a1_v3/simulator.stdout	/workspace/fast64-runs/fast64_4_gemm_oo_cap8192_a1_v3/simulator.stdout
2DConvolution	620347492	2247155	1585900	627281	593208	1.416958824642	3.582373768694	3.788140079028	2.528213033712	2.673429893056	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_5_2DConvolution_9d0a449a-83fe-4277-8a27-ea5cdbc232b4	/workspace/fast64-primary-r4-cap-recovery/fast64_4_2DConvolution_io_cap16384_core658_a1_v1/simulator.stdout	/workspace/fast64-primary-r4-tag-identity-v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1/simulator.stdout
Btree	444467849	369977	320010	244231	172795	1.156141995563	1.514865025324	2.141132555919	1.310275927298	1.851963309124	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_6_Btree_7c7a9f79-3981-4292-948c-e16fab322153	/workspace/fast64-repaired-ramp/fast64_btree_io_core95ccdb7a_a1_r1/simulator.stdout	/workspace/fast64-repaired-ramp/fast64_btree_oo_core95ccdb7a_a1_r1/simulator.stdout
DWT2D	148684429	344119	338868	241380	234651	1.015495709244	1.425631783909	1.466514099663	1.403877703207	1.444136185228	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_7_DWT2D_86420b43-03ff-4d6a-8f97-dbb8582cc0e7	/workspace/fast64-runs/fast64_4_dwt2d_io_cap8192_a1_v3/simulator.stdout	/workspace/fast64-runs/fast64_4_dwt2d_oo_cap8192_a1_v3/simulator.stdout
Gaussian	283685120	4229815	3390360	3817538	3820325	1.247600549794	1.107995519625	1.107187215747	0.888101179346	0.887453292586	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_base_cap16384_core95_a1_v1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_8_Gaussian_8575c5c4-fbca-47f1-8c4b-a44c12f0c7b7	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_io_cap16384_core95_a1_v1/simulator.stdout	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_oo_cap16384_core95_a1_v1/simulator.stdout
Hotspot1	377291004	160486	106487	85633	84173	1.507094762741	1.874113951397	1.906620887933	1.243527612019	1.265096883799	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_9_Hotspot1_a39e0994-0a10-403e-ab42-62819a9484c0	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_io_cap32768_core95_a1_v1/simulator.stdout	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1/simulator.stdout
LUD	184963840	1113878	1087559	1091487	1087849	1.024200066387	1.020514215927	1.023927033991	0.996401239777	0.999733418884	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_base_cap16384_core95_a1_v1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_10_LUD_f57c4cf1-6671-45fe-814c-1d56b125c64b	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_io_cap16384_core95_a1_v1/simulator.stdout	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_oo_cap16384_core95_a1_v1/simulator.stdout
NN	1284872	6985	6985	6095	6105	1.000000000000	1.146021328958	1.144144144144	1.146021328958	1.144144144144	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_11_NN_ce3befeb-01c3-4e29-9d55-47f2d0a1c5a3	/workspace/fast64-primary-r4/fast64_4_primary_nn_io_core95ccdb7a_a1_v1/simulator.stdout	/workspace/fast64-primary-r4/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1/simulator.stdout
MRI-Q	1411757056	366667	366706	360536	361415	0.999893647772	1.017005236648	1.014531770956	1.017113408924	1.014639680146	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1/simulator.stdout	/workspace/tc80-capacity-matched-runs/cm3_12_MRI-Q_af8068bd-b5f8-4cb3-b8fb-56307b083915	/workspace/fast64-repaired-ramp/fast64_mriq_io_core95ccdb7a_a1_r1/simulator.stdout	/workspace/fast64-repaired-ramp/fast64_mriq_oo_core95ccdb7a_a1_r1/simulator.stdout
