candidate_id	suite	workload	primary_domain	access_tags	op_mix	Base_pressure_tags	evidence_confidence	historical_wall_time	cost_quartile	eligibility
E52-01	CUDA SDK	BlackScholes	MONTE_CARLO_STATISTICAL	REGULAR_COALESCED;STREAMING_LOW_REUSE	read-only-ish	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	source-static	9-10s	COST_Q1	ELIGIBLE
E52-02	CUDA SDK	convolutionSeparable	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	20-25m	COST_Q3	ELIGIBLE
E52-03	CUDA SDK	fastWalshTransform_11_19	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	3-4m	COST_Q1	ELIGIBLE
E52-04	CUDA SDK	fastWalshTransform_7_21	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	29-59m	COST_Q3	ELIGIBLE
E52-05	CUDA SDK	scalarProd_8192	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	5-7m	COST_Q1	ELIGIBLE
E52-06	CUDA SDK	scalarProd_13920	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	11-17m	COST_Q2	ELIGIBLE
E52-07	CUDA SDK	scan	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	store-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	source-static	1h47-3h59	COST_Q4	ELIGIBLE
E52-08	CUDA SDK	sortingNetworks	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_MED	source-static	6-7s	COST_Q1	ELIGIBLE
E52-09	CUDA SDK	transpose	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_LOW	source-static	3-4m	COST_Q1	ELIGIBLE
E52-10	CUDA SDK	vectorAdd_4000000	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_LOW	source-static	3-6m	COST_Q1	ELIGIBLE
