kind	path_or_identity	anchor	sha256	geometry_or_semantics	provenance_status
scene_source	src/scene-jellyfish.cpp	c59072fc810a15bf2e9ae338e9300c6961fc04c5	db1495d809d54a5188daf09ce9c99e748b9bebb2d7368dc589477ff78ee51e69	jellyfish scene; model plus main/caustic textures	SOURCE_BACKED
scene_source	src/scene-texture.cpp	c59072fc810a15bf2e9ae338e9300c6961fc04c5	b1f8817a36257ab59dac80d6dbbb63e5cdb4acae306a7208b61ff286442ca9e1	texture scene; defaults cube/crate-base/nearest/no texgen	SOURCE_BACKED
scene_source	src/scene-build.cpp	c59072fc810a15bf2e9ae338e9300c6961fc04c5	60c6e96dda6a08bab13691af929cfe5eed13fe84c7adb95178a6df8cccbf722e	build scene; defaults horse/VBO/interleave false	SOURCE_BACKED
scene_source	src/scene-effect-2d.cpp	c59072fc810a15bf2e9ae338e9300c6961fc04c5	8e9433701b45f3068702914b27d3ecd2fd8415ca1cffe2f13379d71c5b8e6e8c	effect2d makes a 1x1 grid (four vertices)	SOURCE_BACKED_NEGATIVE_MATCH
shader	data/shaders/jellyfish.vert	c59072fc810a15bf2e9ae338e9300c6961fc04c5	2c0fa04c7302432a215fe4c1001f89f9f95db25c636b90bc7fe891b479272cc1	main jellyfish vertex stage	SOURCE_BACKED
shader	data/shaders/jellyfish.frag	c59072fc810a15bf2e9ae338e9300c6961fc04c5	0ad768ff177e25b0f3218b122df973e94587efd03372258ec040e6fb7cc19d69	main jellyfish fragment stage	SOURCE_BACKED
shader	data/shaders/light-basic.vert	c59072fc810a15bf2e9ae338e9300c6961fc04c5	45b986a32e42e5702697c1bbfa394c12e9cee46e3b582495707da4429ee4b250	textured/build vertex stage	SOURCE_BACKED
shader	data/shaders/light-basic-tex.frag	c59072fc810a15bf2e9ae338e9300c6961fc04c5	0ec582ee4c2707450fb2a1d03a38e97ffb19fdbd479806b50fa05d1886988321	textured fragment stage	SOURCE_BACKED
shader	data/shaders/effect-2d.vert	c59072fc810a15bf2e9ae338e9300c6961fc04c5	ecd75aefe91a7e34580c76cc55392353bfb8778175912777d75fcc2e33a20d52	2D candidate vertex stage	SOURCE_BACKED_NEGATIVE_MATCH
shader	data/shaders/effect-2d-convolution.frag	c59072fc810a15bf2e9ae338e9300c6961fc04c5	cec0cebba7dd34bcf418d20110b83ddbebf30825037b465d503c6f977627922b	2D candidate fragment template	SOURCE_BACKED_NEGATIVE_MATCH
model	data/models/jellyfish.jobj	c59072fc810a15bf2e9ae338e9300c6961fc04c5	5004c52d8b834521a30929f778bee211330f80ee7e22ef3401be7893688bebc2	stable Git blob through 2023.01	SOURCE_EQUIVALENT
model	data/models/cat.3ds	c59072fc810a15bf2e9ae338e9300c6961fc04c5	9e535473afd73d3dbeda82e98f32072853cf2966048f69613739813fa4695450	stable Git blob through 2023.01	SOURCE_EQUIVALENT
model	data/models/cube.3ds	c59072fc810a15bf2e9ae338e9300c6961fc04c5	8d8b716db79445dbd009da40b788b6c3cd4760035ed17f5dd9b53d1050c799b9	stable Git blob through 2023.01	SOURCE_EQUIVALENT
model	data/models/horse.3ds	c59072fc810a15bf2e9ae338e9300c6961fc04c5	1c241dbf9188b5c673cb6d1887492e305d53eba5ccf194e90314d8deb9d0a111	stable Git blob through 2023.01	SOURCE_EQUIVALENT
texture	data/textures/jellyfish256.png	c59072fc810a15bf2e9ae338e9300c6961fc04c5	f22ee4c18b6d2be25e0025c3292f7f94fe3677881c0b6f045c84416cf961fc31	256x256 RGBA; source also loads 32 caustic frames	SOURCE_EQUIVALENT_NOT_EXACT_TEXTURE_SET
texture	data/textures/crate-base.png	c59072fc810a15bf2e9ae338e9300c6961fc04c5	bf76ecdbab16091fbe63581cf209baf9cb3b8921f94da84b42689c43c6c02102	512x512 RGB; stable Git blob through 2023.01	SOURCE_EQUIVALENT
texture	data/textures/effect-2d.png	c59072fc810a15bf2e9ae338e9300c6961fc04c5	d4c20048e4c73ca9935751cc44153c8c0ef0a4382c96be900d5219dcfc7d7145	800x600 RGB, conflicts with thesis 128x128	REJECTED_NEAR_MATCH
