schema	pair	classification	workload	mode	counter	stat_block_count	observer_off_terminal_value	observer_on_terminal_value
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_alloc_to_ready_count	1	0	2673
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_alloc_to_ready_sum_cycles	1	0	907311
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_alloc_to_ready_max_cycles	1	0	604
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_pending_tag_evictions	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_pending_eviction_to_response_count	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_pending_eviction_to_response_sum_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_pending_eviction_to_response_max_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_observer_sample_sm_cycles	1	0	62291
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_physical_allocated_line_cycles	1	0	2319761
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_physical_full_sm_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_inflight_request_cycles	1	0	904638
POST_FAST64_OBSERVER_D3B_V1	nn_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	IO	DTC_L1_io_observer_live_records	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_duplicate_after_eviction	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_alloc_to_ready_count	1	0	2673
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_alloc_to_ready_sum_cycles	1	0	908503
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_alloc_to_ready_max_cycles	1	0	617
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_pending_tag_evictions	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_count	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_sum_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_max_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_observer_sample_sm_cycles	1	0	60341
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_physical_allocated_line_cycles	1	0	2240659
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_physical_full_sm_cycles	1	0	0
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_inflight_request_cycles	1	0	905830
POST_FAST64_OBSERVER_D3B_V1	nn_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	NN	OO	DTC_L1_oo_observer_live_records	1	0	0
