workload	performance_behavior	io_speedup_over_base	oo_speedup_over_base	base_pressure_signature_raw	base_pressure_evidence_class	io_hol_evidence	oo_retire_reclaim_evidence	traffic_contrast	source_proven_scope	measured_correlation	strongest_supported_interpretation	caveat_or_alternative	accepted_causal_label	claim_evidence_class	source_proven_causal_evidence_class	accepted_sources
ATAX	IO regresses (0.993x), while OO is 1.825x over Base.	0.993064680	1.825165438	PIB full=10200202; true cacheline/all-lines-reserved=1349272650; Tag-bank conflict=20972288; missqueue/downstream full=1070	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.224713135; numerator=1270809804; denominator=64*88363340	OOO-retire fraction=0.696403415; immediate/deferred/final-ref=1579029/16231679/16231679; wakeups=17832141	global reads Base/IO/OO=19215755/17821540/17814804; L2 misses=8229071/54580608/30229758; L2 reservation fails=16622/511965611/279436348	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	The measured IO HOL fraction and OO retire/reclaim counters co-occur with OO recovery; this is not an exclusive causal proof.	The measured IO HOL fraction and OO retire/reclaim counters co-occur with OO recovery; this is not an exclusive causal proof.	The counters are accumulated exposure measures; no average-live-miss quantity is source-defined.	IO_HOL_SENSITIVE	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
BICG	IO regresses (0.942x), while OO is 1.874x over Base.	0.942016955	1.873650627	PIB full=10203224; true cacheline/all-lines-reserved=1369006149; Tag-bank conflict=20972288; missqueue/downstream full=1145	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.225624566; numerator=1356530036; denominator=64*93942704	OOO-retire fraction=0.715144133; immediate/deferred/final-ref=1641294/16169523/16169523; wakeups=17832419	global reads Base/IO/OO=19214879/17821394/17814913; L2 misses=8658491/57928040/29460660; L2 reservation fails=15836/545898509/266141122	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Measured IO HOL and OO retirement/reclaim activity accompany the IO-to-OO recovery.	Measured IO HOL and OO retirement/reclaim activity accompany the IO-to-OO recovery.	Association does not identify which individual dependency or reclamation event caused the recovery.	IO_HOL_SENSITIVE	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
GESUMMV	IO regresses (0.926x), while OO is 1.363x over Base.	0.925562007	1.362971036	PIB full=49978400; true cacheline/all-lines-reserved=3157387337; Tag-bank conflict=38798080; missqueue/downstream full=1455	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.239629942; numerator=3230867787; denominator=64*210667785	OOO-retire fraction=0.825609122; immediate/deferred/final-ref=1554745/33041305/33041305; wakeups=34607548	global reads Base/IO/OO=34394773/34595564/34598098; L2 misses=17020340/127045764/89362448; L2 reservation fails=142/949202091/572572229	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	The accepted IO HOL scale is high and OO has a lower cycle count with retained reclaim activity.	The accepted IO HOL scale is high and OO has a lower cycle count with retained reclaim activity.	The measurement establishes correlation, not a decomposition of the performance change.	IO_HOL_SENSITIVE	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
GEMM	Both modes benefit: IO 1.788x and OO 1.906x.	1.788227787	1.906280989	PIB full=128879948; true cacheline/all-lines-reserved=114099368; Tag-bank conflict=25214976; missqueue/downstream full=49091	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.837653055; numerator=79816676; denominator=64*1488845	OOO-retire fraction=0.906309607; immediate/deferred/final-ref=1096036/3008971/3008971; wakeups=6995242	global reads Base/IO/OO=16813388/4256815/4113199; L2 misses=0/0/0; L2 reservation fails=0/0/0	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Accepted traffic counters show fewer global reads/L1 misses in measured modes while L2 misses and reservation failures remain zero.	Accepted traffic counters show fewer global reads/L1 misses in measured modes while L2 misses and reservation failures remain zero.	The traffic contrast is measured; the exact micro-causal route is not proven here.	TRAFFIC_SENSITIVE	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
2DConvolution	Both modes materially benefit: IO 3.582x and OO 3.788x.	3.582373769	3.788140079	PIB full=122219084; true cacheline/all-lines-reserved=5576660; Tag-bank conflict=15720960; missqueue/downstream full=13	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.861553300; numerator=34587905; denominator=64*627281	OOO-retire fraction=0.921344116; immediate/deferred/final-ref=625323/2672439/2672439; wakeups=7829925	global reads Base/IO/OO=8362183/3375831/3305954; L2 misses=4193280/4193280/4193280; L2 reservation fails=0/4697599/2475747	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	High reported Base PIB-full pressure and a measured traffic contrast accompany the performance gain.	High reported Base PIB-full pressure and a measured traffic contrast accompany the performance gain.	Non-exclusive structural counters must not be read as a 100% stall breakdown.	CONVENTIONAL_STRUCTURE_LIMITED	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
Btree	Both modes benefit: IO 1.515x and OO 2.141x.	1.514865025	2.141132556	PIB full=18175485; true cacheline/all-lines-reserved=590; Tag-bank conflict=1751328; MSHR entry full=1622927	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.812078140; numerator=12693418; denominator=64*244231	OOO-retire fraction=0.852029856; immediate/deferred/final-ref=489403/4855/4855; wakeups=1248707	global reads Base/IO/OO=1458407/507779/502450; L2 misses=226984/291650/291654; L2 reservation fails=3372/5159/7260	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Reported Base PIB/MSHR-entry pressure and retained OO retire/reclaim values accompany the extra OO gain.	Reported Base PIB/MSHR-entry pressure and retained OO retire/reclaim values accompany the extra OO gain.	The table does not prove that any one pressure category exclusively causes the gain.	CONVENTIONAL_STRUCTURE_LIMITED	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
DWT2D	Both modes benefit: IO 1.426x and OO 1.467x.	1.425631784	1.466514100	PIB full=8289065; true cacheline/all-lines-reserved=1417779; Tag-bank conflict=1225446; MSHR entry full=346268; missqueue/downstream full=18367	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.379101093; numerator=5856475; denominator=64*241380	OOO-retire fraction=0.594458375; immediate/deferred/final-ref=143947/79876/79876; wakeups=248470	global reads Base/IO/OO=757359/232115/232015; L2 misses=1138288/1139332/1139252; L2 reservation fails=10034/1024582/1025335	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Measured L2 reservation-fail and traffic contrasts coexist with nonzero Base structural counters.	Measured L2 reservation-fail and traffic contrasts coexist with nonzero Base structural counters.	Counters are not mutually exclusive and do not establish a unique cause.	TRAFFIC_SENSITIVE	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
Gaussian	Both modes show a modest benefit: IO 1.108x and OO 1.107x.	1.107995520	1.107187216	PIB full=3706501; true cacheline/all-lines-reserved=29611524; Tag-bank conflict=8502071; MSHR entry full=2025717; missqueue/downstream full=78330	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.116848808; numerator=28548785; denominator=64*3817538	OOO-retire fraction=0.661515539; immediate/deferred/final-ref=588968/838754/838754; wakeups=5046491	global reads Base/IO/OO=1951815/1422278/1435914; L2 misses=0/0/0; L2 reservation fails=0/0/0	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	The accepted measurements show approximately 1.108x benefit and zero L2 misses/reservation failures; it must not be described mechanically as a non-beneficiary.	The accepted measurements show approximately 1.108x benefit and zero L2 misses/reservation failures; it must not be described mechanically as a non-beneficiary.	The near-equal IO/OO result does not identify why the benefit is modest.	GENUINE_MECHANISM_NON_BENEFICIARY	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
Hotspot1	Both modes benefit: IO 1.874x and OO 1.907x.	1.874113951	1.906620888	PIB full=5037171; true cacheline/all-lines-reserved=24303354; Tag-bank conflict=577925; MSHR entry full=866624; missqueue/downstream full=15056	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.824629524; numerator=4519392; denominator=64*85633	OOO-retire fraction=0.863595230; immediate/deferred/final-ref=38090/305582/305582; wakeups=352675	global reads Base/IO/OO=701725/351857/351837; L2 misses=230500/250340/250436; L2 reservation fails=0/2681/3205	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Reported Base PIB-full/cacheline-reserved pressure coexists with large gains; the IO-to-OO delta is small.	Reported Base PIB-full/cacheline-reserved pressure coexists with large gains; the IO-to-OO delta is small.	No OO-reclaim causal claim follows from the small incremental delta.	CONVENTIONAL_STRUCTURE_LIMITED	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
LUD	Both modes are near neutral: IO 1.021x and OO 1.024x.	1.020514216	1.023927034	PIB full=5720827; true cacheline/all-lines-reserved=6288688; Tag-bank conflict=1040112; missqueue/downstream full=1372	ACCEPTED_FAST64_EVIDENCE_NONEXCLUSIVE_COUNTERS	HOL fraction=0.127132283; numerator=8880847; denominator=64*1091487	OOO-retire fraction=0.740963565; immediate/deferred/final-ref=163771/346509/346509; wakeups=522005	global reads Base/IO/OO=1048098/517232/518472; L2 misses=0/0/0; L2 reservation fails=0/0/0	No source-proven performance-causal claim is made in Lane A; source-level mechanism claims require a source audit.	Accepted terminal rows retain a low-benefit observation despite reported structural fields.	Accepted terminal rows retain a low-benefit observation despite reported structural fields.	Low benefit is measured, not evidence of an implementation failure or a singular mechanism.	GENUINE_MECHANISM_NON_BENEFICIARY	MEASURED_CORRELATION	INSUFFICIENT_FOR_SOURCE_PROVEN_CAUSAL_CLAIM	FAST64_FINAL/{FAST12_summary,structural_pressure,io_oo_mechanism,traffic_pressure,causal_classification}.tsv
