field	kind	formula_or_semantics	unit	provenance
physical_free_minimum_per_sm_reported	raw	Accepted compact DTC_L1_io_physical_free_minimum_per_sm; source aggregation takes the minimum only among nonzero per-SM values.	lines	Core95 src/gpgpu-sim/dtc-l1-common.h:1495-1499; accepted compact path/SHA per raw row
physical_allocated_peak_per_sm	raw	Accepted compact DTC_L1_io_physical_allocated_peak_per_sm; source aggregation is max across SM-local peaks.	lines	Core95 src/gpgpu-sim/dtc-l1-common.h:1492-1494; accepted compact path/SHA per raw row
lower_requests_created	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
lower_requests_issued	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
lower_responses	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
l2_accesses	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
l2_misses	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
l2_reservation_fails	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
global_reads	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
global_writes	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
