scope	n_points	outcome	predictor	pearson_r	interpretation	evidence_class
POOLED_13_POINTS	13	duplicate_share_of_lower	physical_pool_kib	0.469526799	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	pending_hits_per_lower_request	-0.814546309	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	tag_evictions_per_lower_request	0.828348910	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	l2_misses_per_lower_request	0.906674910	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	l2_reservation_fails_per_lower_request	0.904040131	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	lower_requests_per_million_instructions	0.731804200	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
POOLED_13_POINTS	13	duplicate_share_of_lower	cycles_per_instruction	0.813574656	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	physical_pool_kib	0.772165420	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	pending_hits_per_lower_request	-0.919314637	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	tag_evictions_per_lower_request	0.935813481	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	l2_misses_per_lower_request	0.606282219	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	l2_reservation_fails_per_lower_request	0.639699114	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	lower_requests_per_million_instructions	0.935024378	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_BICG	4	duplicate_share_of_lower	cycles_per_instruction	0.585949266	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	physical_pool_kib	0.970988566	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	pending_hits_per_lower_request	-0.954921865	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	tag_evictions_per_lower_request	0.965303667	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	l2_misses_per_lower_request	0.927403169	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	l2_reservation_fails_per_lower_request	0.914375681	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	lower_requests_per_million_instructions	0.964873742	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_GESUMMV	4	duplicate_share_of_lower	cycles_per_instruction	0.876663136	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	physical_pool_kib	0.698100136	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	pending_hits_per_lower_request	1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	tag_evictions_per_lower_request	1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	l2_misses_per_lower_request	1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	l2_reservation_fails_per_lower_request	1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	lower_requests_per_million_instructions	1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_Btree	5	duplicate_share_of_lower	cycles_per_instruction	-1.000000000	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	physical_pool_kib	0.617897614	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	pending_hits_per_lower_request	-0.020157237	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	tag_evictions_per_lower_request	0.384509784	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	l2_misses_per_lower_request	0.737035917	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	l2_reservation_fails_per_lower_request	0.718719975	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	lower_requests_per_million_instructions	0.921491844	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
WITHIN_WORKLOAD_DEMEANED_13_POINTS	13	duplicate_share_of_lower	cycles_per_instruction	0.736162717	DESCRIPTIVE_ASSOCIATION_ONLY_NOT_CAUSAL_AND_SMALL_N	MEASURED_CORRELATION
