workload	accepted_fast64_commit	accepted_registry_path	accepted_evidence_path	accepted_evidence_sha256	accepted_core_sha	exact_oo_counter	exact_oo_counter_in_accepted_compact_row	available_but_rejected_proxy	proxy_disposition	required_observer_counter	evidence_class
ATAX	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json	f76ec67c8ec5ab04775fd7091e3ecb9b5c5566ccedb1f52723340efdfd6b4a1f	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
BICG	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	6d6c2414f4518901fcbca953bf81d27565f25acacbc8f4c4d124dfebecb67a99	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
GESUMMV	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	d853e4acc0adae47e7d7b95e749be76782989a8bcbb3599f4a5e5db217d35705	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
GEMM	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_gemm_oo_cap8192_a1_v3.json	17068540247c26557689db1be66d15debe2065e513808727f511c506294b6214	bbcbb5e7565417102087bc80b14c349b4e568c05	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
2DConvolution	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_2d_tag_identity_v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1.json	43946ac22d4795ffdfae5c27107fbfe59c17fd8ae43949b0f732f04ab132b7a9	6587238c60214d99491f4048e28ce8a3458c1509	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
Btree	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json	7e8306c558d494dc83b525f54a37d1213d8433675f2531842c9d7f7198a0765f	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
DWT2D	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_dwt2d_oo_cap8192_a1_v3_recovered_v2.json	3bd6c7a072edac23cbbfba76db18d07936b0207dd876daaf4e9fbafd84d118bb	bbcbb5e7565417102087bc80b14c349b4e568c05	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
Gaussian	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_oo_cap16384_core95_a1_v1.json	7bcf801d3050ea228a56ab0ba622164e625d17b574c5325b737a46f657ac52ae	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
Hotspot1	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1.json	53d4739cd1173f3818642625cb256e215a0f7750778da0ffc91acdaf9e081895	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
LUD	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_LUD_oo_cap16384_core95_a1_v1.json	c27456a63fce77b32f2a37dd2e41584920c9aa5ca00251c2b97e6987faa07e86	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	DTC_L1_oo_duplicate_after_eviction	ABSENT	DTC_L1_oo_new_misses	NOT_EQUIVALENT_DO_NOT_INFER_DUPLICATES	DTC_L1_oo_duplicate_after_eviction	INSUFFICIENT
