workload	io_duplicate_share_of_lower	oo_duplicate_share_of_lower	io_duplicate_payload_bytes	oo_duplicate_payload_bytes	OO_vs_IO_share_disposition	scope
ATAX	0.020028572166	0.010736295499	45688320	24481920	OO_LOWER	descriptive; no performance recovery inferred
BICG	0.015669425186	0.007019007053	35744128	16005504	OO_LOWER	descriptive; no performance recovery inferred
GESUMMV	0.017489988023	0.004049557869	77449728	17933696	OO_LOWER	descriptive; no performance recovery inferred
GEMM	0.103393734517	0.036553300728	56336384	19244928	OO_LOWER	descriptive; no performance recovery inferred
2DConvolution	0.422197971403	0.411672999685	182434432	174204416	OO_LOWER	descriptive; no performance recovery inferred
Btree	0.000015754885	0.000113444124	1024	7296	OO_HIGHER	descriptive; no performance recovery inferred
DWT2D	0.006548478125	0.006624571687	194560	196736	OO_HIGHER	descriptive; no performance recovery inferred
Gaussian	0.501996796688	0.506643851930	91389312	93119616	OO_HIGHER	descriptive; no performance recovery inferred
Hotspot1	0.012979704823	0.012920755918	584576	581888	OO_LOWER	descriptive; no performance recovery inferred
LUD	0.060777368763	0.048467419649	4023808	3216512	OO_LOWER	descriptive; no performance recovery inferred
MRI-Q	0.000000000000	0.000000000000	0	0	BOTH_ZERO	descriptive; no performance recovery inferred
NN	0.000000000000	0.000000000000	0	0	BOTH_ZERO	descriptive; no performance recovery inferred
