workload,variant,descriptor_capacity,cycles,instructions,wall_seconds,invariants_terminal_clean,invariants_payload_consistent,l1d_accesses,l1d_misses,l1d_line_alloc_fail,l1d_miss_queue_full,l1d_mshr_entry_fail,l1d_mshr_merge_fail,l1d_mshr_rw_pending,l1d_bank_latency_queue_conflict,tag_way_alloc_need,tag_way_alloc_block,tag_set_all_reserved_block,line_mshr_need,line_mshr_avg,line_mshr_p95,line_mshr_max,line_mshr_full_block,descriptor_need,descriptor_avg,descriptor_p95,descriptor_max,descriptor_pool_full_block,per_address_cap_check,per_address_cap_block,chain_depth_avg,chain_depth_p95,chain_depth_max,wad_avg,wad_p95,wad_max,wad_full_events,wad_hazard_events,wad_hazard_wait_cycles,resident_payload_avg,resident_payload_p95,resident_payload_max,resident_valid_avg,resident_dirty_avg,resident_pending_sector_avg,bypass_pending_avg,bypass_ready_avg,payload_service_port_denial,payload_capacity_allocation_denial,bank_logical_ops,bank_attempts,bank_grants,bank_retry_attempts,bank_true_conflict_ops,bank_true_conflict_events,bank_wait_cycles,missq_avg,missq_p95,missq_max,missq_full_block,l2_to_dram_full_block,dram_issue_attempt,dram_successful_read_issues,dram_successful_write_issues,dram_successful_read_bytes,dram_successful_write_bytes,scheduler_occ_avg,scheduler_occ_max,scheduler_full_cycles,scheduler_full_observed,scheduler_causal_block,returnq_occ_avg,returnq_occ_max,returnq_full_cycles,dram_to_l2_return_path_block,window_records,dram_bandwidth_util,bank_true_conflict_rate,bank0_logical_ops,bank0_grants,bank0_true_conflict_ops,bank0_wait_cycles,bank1_logical_ops,bank1_grants,bank1_true_conflict_ops,bank1_wait_cycles,bank2_logical_ops,bank2_grants,bank2_true_conflict_ops,bank2_wait_cycles,bank3_logical_ops,bank3_grants,bank3_true_conflict_ops,bank3_wait_cycles
vectorAdd_4M,B0-Legacy,512,73873,56000000,545.229,1,1,1500000,1500000,0,1249749,0,0,0,134032,968623,0,0,808728,68,88,110,0,2724003,262,339,368,0,1915275,0,3,4,4,33,65,90,0,0,0,898,1024,1024,832,292,68,0,0,0,0,0,0,0,0,0,0,0,89,NOT_EMITTED,128,1758898,1724003,2071031,1000000,100574,32000000,12873472,111,128,486133,970457,970457,0,1,0,0,448,0.789993871,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorAdd_4M,B0-Banked,512,73873,56000000,598.118,1,1,1500000,1500000,0,1249749,0,0,0,134032,968623,0,0,808728,68,88,110,0,2724003,262,339,368,0,1915275,0,3,4,4,33,65,90,0,0,0,898,1024,1024,832,292,68,0,0,0,0,1000000,1000000,1000000,0,0,0,0,89,NOT_EMITTED,128,1758898,1724003,2071031,1000000,100574,32000000,12873472,111,128,486133,970457,970457,0,1,0,0,448,0.789993871,0.000000000,250260,250260,0,0,249216,249216,0,0,259900,259900,0,0,240624,240624,0,0
scan,B0-Legacy,512,2163356,1963460720,11023.689,1,1,42764800,35947187,483274,38110564,137112313,0,0,60052924,34584722,222337,222337,27526268,67,95,128,19,80226602,237,322,399,0,52700334,0,3,4,32,64,110,128,2673263,596123,596123,1019,1024,1024,959,624,67,0,0,0,0,0,0,0,0,0,0,0,96,NOT_EMITTED,128,62317151,58792353,64122482,21405780,5260980,684984960,673405440,111,128,18868498,37455722,37455722,0,1,0,0,13824,0.816627838,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan,B0-Banked,512,2163356,1963460720,11679.034,1,1,42764800,35947187,483274,38110564,137112313,0,0,60052924,34584722,222337,222337,27526268,67,95,128,19,80226602,237,322,399,0,52700334,0,3,4,32,64,110,128,2673263,596123,596123,1019,1024,1024,959,624,67,0,0,0,0,28244350,28244350,28244350,0,0,0,0,96,NOT_EMITTED,128,62317151,58792353,64122482,21405780,5260980,684984960,673405440,111,128,18868498,37455722,37455722,0,1,0,0,13824,0.816627838,0.000000000,7058094,7058094,0,0,7060048,7060048,0,0,7052402,7052402,0,0,7073806,7073806,0,0
spmv,B0-Legacy,512,23560,21131849,185.201,1,1,650620,432595,0,72693,1385885,7305,0,600555,164839,0,0,167957,50,116,125,0,696157,179,382,403,0,528200,21040,3,4,32,0,0,0,0,0,0,576,1024,1024,533,0,50,0,0,0,0,0,0,0,0,0,0,0,52,NOT_EMITTED,128,288174,288174,375573,375334,0,12010688,0,47,128,124,239,239,0,1,0,0,128,0.663003081,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,B0-Banked,512,23560,21131849,152.301,1,1,650620,432595,0,72693,1385885,7305,0,600555,164839,0,0,167957,50,116,125,0,696157,179,382,403,0,528200,21040,3,4,32,0,0,0,0,0,0,576,1024,1024,533,0,50,0,0,0,0,420898,420898,420898,0,0,0,0,52,NOT_EMITTED,128,288174,288174,375573,375334,0,12010688,0,47,128,124,239,239,0,1,0,0,128,0.663003081,0.000000000,112265,112265,0,0,105957,105957,0,0,100658,100658,0,0,102018,102018,0,0
convolutionSeparable,B0-Legacy,512,292211,714547200,1407.052,1,1,5289984,5215296,5150930,1496702,2179701,0,0,3807655,2520512,0,0,2344560,46,128,128,931416,4941849,119,321,427,0,2597289,0,2,4,8,28,102,128,3407,0,0,970,1024,1024,941,460,46,0,0,0,0,0,0,0,0,0,0,0,34,NOT_EMITTED,128,1723839,2455970,5357820,2359490,547653,75503680,69797632,64,128,1243887,2450677,2450677,0,1,0,0,1856,0.646697654,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convolutionSeparable,B0-Banked,512,292211,714547200,1554.163,1,1,5289984,5215296,5150930,1496702,2179701,0,0,3807655,2520512,0,0,2344560,46,128,128,931416,4941849,119,321,427,0,2597289,0,2,4,8,28,102,128,3407,0,0,970,1024,1024,941,460,46,0,0,0,0,2729611,2729611,2729611,0,0,0,0,34,NOT_EMITTED,128,1723839,2455970,5357820,2359490,547653,75503680,69797632,64,128,1243887,2450677,2450677,0,1,0,0,1856,0.646697654,0.000000000,668982,668982,0,0,675883,675883,0,0,690549,690549,0,0,694197,694197,0,0
cfd_097k,B0-Legacy,512,79276,143129372,192.694,1,1,1539872,1332302,498,786016,451376,0,0,629408,113055,0,0,53375,3,37,68,0,212431,14,139,266,0,159056,0,3,4,4,2,29,65,0,8861,8861,755,1024,1024,752,493,3,0,0,599,0,0,0,0,0,0,0,0,0,NOT_EMITTED,86,0,0,349419,212416,31083,6797312,3978624,13,128,58213,105920,105920,0,1,0,0,480,0.176783224,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfd_097k,B0-Banked,512,81443,143129372,161.632,1,1,1539872,1333347,1250,786287,461031,0,0,634969,113103,0,0,53454,3,38,64,0,212597,14,143,251,0,159143,0,3,4,4,2,29,66,0,9408,9408,762,1024,1024,759,492,3,0,0,0,0,1093466,1109632,1093466,16166,16166,16166,16166,0,NOT_EMITTED,69,0,0,348079,212564,31131,6802048,3984768,13,128,57659,104384,104384,0,1,0,0,512,0.172253655,0.014784182,224017,224017,3386,3386,290410,290410,2857,2857,289617,289617,4221,4221,289422,289422,5702,5702
