workload,variant,descriptor_capacity,window_records,descriptor_avg_min,descriptor_avg_p95,descriptor_avg_max,line_mshr_avg_min,line_mshr_avg_p95,line_mshr_avg_max,lowerq_avg_min,lowerq_avg_p95,lowerq_avg_max
vectorAdd_4M,B0-Legacy,512,896,0,321,326,0,83,84,0,128,128
vectorAdd_4M,B0-Legacy,256,896,0,255,255,0,68,69,0,128,128
vectorAdd_4M,B0-Banked,512,896,0,321,326,0,83,84,0,128,128
vectorAdd_4M,B0-Banked,256,896,0,255,255,0,68,69,0,128,128
scan,B0-Legacy,512,27648,0,297,324,0,86,96,0,128,128
scan,B0-Legacy,256,27584,0,252,255,0,74,85,0,128,128
scan,B0-Banked,512,27648,0,297,324,0,86,96,0,128,128
scan,B0-Banked,256,27584,0,252,255,0,74,85,0,128,128
spmv,B0-Legacy,512,256,0,351,353,0,103,104,0,128,128
spmv,B0-Legacy,256,256,0,255,255,0,79,80,0,128,128
spmv,B0-Banked,512,256,0,351,353,0,103,104,0,128,128
spmv,B0-Banked,256,256,0,255,255,0,79,80,0,128,128
convolutionSeparable,B0-Legacy,512,3712,0,303,321,0,124,127,0,128,128
convolutionSeparable,B0-Legacy,256,3712,0,254,255,0,109,116,0,128,128
convolutionSeparable,B0-Banked,512,3712,0,303,321,0,124,127,0,128,128
convolutionSeparable,B0-Banked,256,3712,0,254,255,0,109,116,0,128,128
cfd_097k,B0-Legacy,512,960,0,95,154,0,25,39,0,23,72
cfd_097k,B0-Legacy,256,960,0,96,150,0,25,38,0,23,71
cfd_097k,B0-Banked,512,1024,0,89,146,0,23,37,0,18,77
cfd_097k,B0-Banked,256,1024,0,89,146,0,23,37,0,18,77
dwt2d,B0-Legacy,512,2112,0,61,123,0,16,31,0,21,110
dwt2d,B0-Legacy,256,2112,0,61,123,0,16,31,0,21,110
dwt2d,B0-Banked,512,2112,0,61,123,0,16,31,0,21,110
dwt2d,B0-Banked,256,2112,0,61,123,0,16,31,0,21,110
sad,B0-Legacy,512,1408,0,0,2,0,0,0,0,0,0
sad,B0-Legacy,256,1408,0,0,2,0,0,0,0,0,0
sad,B0-Banked,512,1408,0,0,2,0,0,0,0,0,0
sad,B0-Banked,256,1408,0,0,2,0,0,0,0,0,0
sgemm,B0-Legacy,512,4480,0,7,27,0,1,7,0,0,0
sgemm,B0-Legacy,256,4480,0,7,27,0,1,7,0,0,0
sgemm,B0-Banked,512,4480,0,7,27,0,1,7,0,0,0
sgemm,B0-Banked,256,4480,0,7,27,0,1,7,0,0,0
btree,B0-Legacy,512,1600,0,20,32,0,6,10,0,2,10
btree,B0-Legacy,256,1600,0,20,32,0,6,10,0,2,10
btree,B0-Banked,512,1600,0,20,32,0,6,10,0,2,10
btree,B0-Banked,256,1600,0,20,32,0,6,10,0,2,10
3mm,B0-Legacy,512,21248,0,0,30,0,0,8,0,0,13
3mm,B0-Legacy,256,21248,0,0,30,0,0,8,0,0,13
3mm,B0-Banked,512,21248,0,0,30,0,0,8,0,0,13
3mm,B0-Banked,256,21248,0,0,30,0,0,8,0,0,13
gemm,B0-Legacy,512,7104,0,1,29,0,0,8,0,0,12
gemm,B0-Legacy,256,7104,0,1,29,0,0,8,0,0,12
gemm,B0-Banked,512,7104,0,1,29,0,0,8,0,0,12
gemm,B0-Banked,256,7104,0,1,29,0,0,8,0,0,12
FWT_7_21,B0-Legacy,512,6336,0,202,298,0,58,92,0,86,128
FWT_7_21,B0-Legacy,256,6272,0,191,255,0,56,86,0,92,128
FWT_7_21,B0-Banked,512,6336,0,202,298,0,58,92,0,86,128
FWT_7_21,B0-Banked,256,6272,0,191,255,0,56,86,0,92,128
FWT_11_19,B0-Legacy,512,2176,0,122,132,0,38,41,0,54,60
FWT_11_19,B0-Legacy,256,2176,0,101,116,0,32,38,0,50,60
FWT_11_19,B0-Banked,512,2176,0,122,132,0,38,41,0,54,60
FWT_11_19,B0-Banked,256,2176,0,101,116,0,32,38,0,50,60
