workload,status,line_reuse_fraction,true_sector_temporal_reuse_fraction
scan,COMPLETE_VALID,0.7882397724328111,0.16043023337198284
vectorAdd_4M,COMPLETE_VALID,0.75,0.0
convolutionSeparable,COMPLETE_VALID,0.7738099620807717,0.09523984832308655
spmv,COMPLETE_VALID,0.7826400527039679,0.13215982247084523
FWT_7_21,COMPLETE_VALID,0.8717948717948718,0.48717948717948717
cfd_097k,COMPLETE_VALID,0.8907051202725172,0.5628204810900689
dwt2d,COMPLETE_VALID,0.7680055055817098,0.0720220223268391
sad,COMPLETE_VALID,0.7797159692501596,0.1188850954938286
btree,COMPLETE_VALID,0.9058846346434591,0.6929248975619389
gemm,COMPLETE_VALID,0.9986650830461092,0.9946603321844372
BlackScholes,COMPLETE_VALID,0.75,0.0
mergeSort,COMPLETE_VALID,0.7573727221968428,0.10496929089893914
transpose,COMPLETE_VALID,0.7894736842105263,0.15789473684210525
