workload,status,total_sector_reference_events,cold_new_line_sector_events,spatial_continuation_events,true_temporal_sector_reuse_events,cold_fraction,spatial_fraction,temporal_fraction
scan,COMPLETE_VALID,42762931,9055488,26846976,6860467,0.21176022756718899,0.6278095390608281,0.16043023337198284
vectorAdd_4M,COMPLETE_VALID,1500000,375000,1125000,0,0.25,0.75,0.0
convolutionSeparable,COMPLETE_VALID,5215296,1179648,3538944,496704,0.22619003791922837,0.6785701137576851,0.09523984832308655
spmv,COMPLETE_VALID,432605,94031,281401,57173,0.21735994729603217,0.6504802302331226,0.13215982247084523
FWT_7_21,COMPLETE_VALID,10223616,1310720,3932160,4980736,0.1282051282051282,0.38461538461538464,0.48717948717948717
cfd_097k,COMPLETE_VALID,1333347,145728,437184,750435,0.1092948797274828,0.32788463918244837,0.5628204810900689
dwt2d,COMPLETE_VALID,1641970,380928,1142784,118258,0.23199449441829023,0.6959834832548707,0.0720220223268391
sad,COMPLETE_VALID,471287,103817,311441,56029,0.22028403074984032,0.6608308737563311,0.1188850954938286
btree,COMPLETE_VALID,1417930,133449,301962,982519,0.09411536535654087,0.21295973708152025,0.6929248975619389
gemm,COMPLETE_VALID,18410134,24576,73728,18311830,0.0013349169538907212,0.004004750861672164,0.9946603321844372
BlackScholes,COMPLETE_VALID,62500,15625,46875,0,0.25,0.75,0.0
mergeSort,COMPLETE_VALID,19701,4780,12853,2068,0.2426272778031572,0.6524034312979037,0.10496929089893914
transpose,COMPLETE_VALID,1867776,393216,1179648,294912,0.21052631578947367,0.631578947368421,0.15789473684210525
