workload,status,sector_summary_csv,sector_distance_csv,motivation_summary_csv,blocking_breakdown_csv,core_commit,framework_commit,config_sha256,trace_id
scan,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g
vectorAdd_4M,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/preflight_vectoradd_r4/vectorAdd_4M/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_vectoradd_r4/vectorAdd_4M/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/preflight_vectoradd_r4/vectorAdd_4M/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_vectoradd_r4/vectorAdd_4M/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g
convolutionSeparable,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g
spmv,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g
FWT_7_21,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g
cfd_097k,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_cfd_097k_r1/cfd_097k/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_cfd_097k_r1/cfd_097k/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_cfd_097k_r1/cfd_097k/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_cfd_097k_r1/cfd_097k/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g
dwt2d,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g
sad,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/preflight_sad_r4/sad/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_sad_r4/sad/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/preflight_sad_r4/sad/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/preflight_sad_r4/sad/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g
btree,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_btree_r1/btree/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_btree_r1/btree/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_btree_r1/btree/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_btree_r1/btree/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g
gemm,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/formal_original_gemm_r1/gemm/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_gemm_r1/gemm/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_gemm_r1/gemm/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/formal_original_gemm_r1/gemm/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g
BlackScholes,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/screening_r1_BlackScholes/BlackScholes/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_BlackScholes/BlackScholes/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_BlackScholes/BlackScholes/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_BlackScholes/BlackScholes/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/BlackScholes/NO_ARGS/traces/kernelslist.g
mergeSort,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/screening_r1_mergeSort/mergeSort/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_mergeSort/mergeSort/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_mergeSort/mergeSort/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_mergeSort/mergeSort/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/mergeSort/NO_ARGS/traces/kernelslist.g
transpose,COMPLETE_VALID,/workspace/results/ep_l2_streaming_reuse/screening_r1_transpose/transpose/on/sector/sector_reuse_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_transpose/transpose/on/sector/sector_reuse_distance.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_transpose/transpose/on/motivation/motivation_summary.csv,/workspace/results/ep_l2_streaming_reuse/screening_r1_transpose/transpose/on/motivation/blocking_breakdown.csv,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,6412ba9303d54826739dd474ec234d7b6ca7ece4f25a955c0df211d762ff48c3,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/transpose/dimX512_dimY512/traces/kernelslist.g
