source,workload,variant,descriptor_capacity,window_records,descriptor_avg_min,descriptor_avg_p95,descriptor_avg_max,line_mshr_avg_min,line_mshr_avg_p95,line_mshr_avg_max,lowerq_avg_min,lowerq_avg_p95,lowerq_avg_max,bw_window_max,bw_window_p50,bw_window_p95,cell,descriptor_near_full_fraction,descriptor_window_max,descriptor_window_p50,descriptor_window_p95,dram_window_rows,l2_window_rows,line_mshr_window_max,line_mshr_window_p50,line_mshr_window_p95,lowerq_window_max,lowerq_window_p50,lowerq_window_p95,scheduler_active_window_fraction,scheduler_channel_max_over_mean,scheduler_window_max,scheduler_window_p50,scheduler_window_p95
D512_PROMOTED,vectorAdd_4M,B0-Legacy,512,896,0,321,326,0,83,84,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,vectorAdd_4M,B0-Legacy,256,896,0,255,255,0,68,69,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,vectorAdd_4M,B0-Banked,512,896,0,321,326,0,83,84,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,vectorAdd_4M,B0-Banked,256,896,0,255,255,0,68,69,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,scan,B0-Legacy,512,27648,0,297,324,0,86,96,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,scan,B0-Legacy,256,27584,0,252,255,0,74,85,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,scan,B0-Banked,512,27648,0,297,324,0,86,96,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,scan,B0-Banked,256,27584,0,252,255,0,74,85,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,spmv,B0-Legacy,512,256,0,351,353,0,103,104,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,spmv,B0-Legacy,256,256,0,255,255,0,79,80,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,spmv,B0-Banked,512,256,0,351,353,0,103,104,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,spmv,B0-Banked,256,256,0,255,255,0,79,80,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,convolutionSeparable,B0-Legacy,512,3712,0,303,321,0,124,127,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,convolutionSeparable,B0-Legacy,256,3712,0,254,255,0,109,116,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,convolutionSeparable,B0-Banked,512,3712,0,303,321,0,124,127,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,convolutionSeparable,B0-Banked,256,3712,0,254,255,0,109,116,0,128,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,cfd_097k,B0-Legacy,512,960,0,95,154,0,25,39,0,23,72,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,cfd_097k,B0-Legacy,256,960,0,96,150,0,25,38,0,23,71,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,cfd_097k,B0-Banked,512,1024,0,89,146,0,23,37,0,18,77,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,cfd_097k,B0-Banked,256,1024,0,89,146,0,23,37,0,18,77,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,dwt2d,B0-Legacy,512,2112,0,61,123,0,16,31,0,21,110,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,dwt2d,B0-Legacy,256,2112,0,61,123,0,16,31,0,21,110,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,dwt2d,B0-Banked,512,2112,0,61,123,0,16,31,0,21,110,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,dwt2d,B0-Banked,256,2112,0,61,123,0,16,31,0,21,110,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sad,B0-Legacy,512,1408,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sad,B0-Legacy,256,1408,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sad,B0-Banked,512,1408,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sad,B0-Banked,256,1408,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sgemm,B0-Legacy,512,4480,0,7,27,0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sgemm,B0-Legacy,256,4480,0,7,27,0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sgemm,B0-Banked,512,4480,0,7,27,0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,sgemm,B0-Banked,256,4480,0,7,27,0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,btree,B0-Legacy,512,1600,0,20,32,0,6,10,0,2,10,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,btree,B0-Legacy,256,1600,0,20,32,0,6,10,0,2,10,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,btree,B0-Banked,512,1600,0,20,32,0,6,10,0,2,10,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,btree,B0-Banked,256,1600,0,20,32,0,6,10,0,2,10,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,3mm,B0-Legacy,512,21248,0,0,30,0,0,8,0,0,13,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,3mm,B0-Legacy,256,21248,0,0,30,0,0,8,0,0,13,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,3mm,B0-Banked,512,21248,0,0,30,0,0,8,0,0,13,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,3mm,B0-Banked,256,21248,0,0,30,0,0,8,0,0,13,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,gemm,B0-Legacy,512,7104,0,1,29,0,0,8,0,0,12,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,gemm,B0-Legacy,256,7104,0,1,29,0,0,8,0,0,12,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,gemm,B0-Banked,512,7104,0,1,29,0,0,8,0,0,12,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,gemm,B0-Banked,256,7104,0,1,29,0,0,8,0,0,12,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_7_21,B0-Legacy,512,6336,0,202,298,0,58,92,0,86,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_7_21,B0-Legacy,256,6272,0,191,255,0,56,86,0,92,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_7_21,B0-Banked,512,6336,0,202,298,0,58,92,0,86,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_7_21,B0-Banked,256,6272,0,191,255,0,56,86,0,92,128,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_11_19,B0-Legacy,512,2176,0,122,132,0,38,41,0,54,60,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_11_19,B0-Legacy,256,2176,0,101,116,0,32,38,0,50,60,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_11_19,B0-Banked,512,2176,0,122,132,0,38,41,0,54,60,,,,,,,,,,,,,,,,,,,,,
D512_PROMOTED,FWT_11_19,B0-Banked,256,2176,0,101,116,0,32,38,0,50,60,,,,,,,,,,,,,,,,,,,,,
D256_L1_PROMOTED,vectorAdd_4M,,256,,,,,,,,,,,1.018109188,0.862849534,0.997869507,BASE,0.78125,255.0,253.0,255.0,448,896,69.0,66.0,68.0,128.0,128.0,128.0,0.8683035714285714,1.0220418315812472,127.0,127.0,127.0
D256_L1_PROMOTED,vectorAdd_4M,,256,,,,,,,,,,,1.031691079,0.8673591665,0.998135819,META-HR,0.7544642857142857,255.0,253.0,255.0,448,896,65.0,64.0,64.0,128.0,128.0,128.0,0.8705357142857143,1.0224023100926831,127.0,127.0,127.0
D256_L1_PROMOTED,vectorAdd_4M,,256,,,,,,,,,,,1.023701731,0.864580559,0.996005326,BANK-HR,0.7712053571428571,255.0,253.0,255.0,448,896,67.0,65.0,66.0,128.0,128.0,128.0,0.8571428571428571,1.0281037846767158,127.0,127.0,127.0
D256_L1_PROMOTED,scan,,256,,,,,,,,,,,1.070039947,0.915290357,0.97150466,BASE,0.5286397911832946,255.0,246.0,252.0,13792,27584,85.0,69.0,74.0,128.0,127.0,128.0,0.9274941995359629,1.0028582956913132,127.0,127.0,127.0
D256_L1_PROMOTED,scan,,256,,,,,,,,,,,1.087107086,0.918508655,0.975233023,META-HR,0.528125,256.0,246.0,252.0,13760,27520,86.0,65.0,69.0,128.0,127.0,128.0,0.9247093023255814,1.0031964486410214,127.0,127.0,127.0
D256_L1_PROMOTED,scan,,256,,,,,,,,,,,1.076697736,0.913715047,0.968566862,BANK-HR,0.5379774305555556,255.0,246.0,253.0,13824,27648,84.0,68.0,73.0,128.0,127.0,128.0,0.9295428240740741,1.0026745457578783,127.0,127.0,127.0
D256_L1_PROMOTED,spmv,,256,,,,,,,,,,,1.0,0.916111851,1.0,BASE,0.25,255.0,199.0,255.0,128,256,80.0,56.0,79.0,128.0,95.0,128.0,0.1796875,4.129032258064516,124.0,55.0,113.0
D256_L1_PROMOTED,spmv,,256,,,,,,,,,,,1.0,0.916111851,1.0,META-HR,0.26953125,255.0,207.5,255.0,128,256,73.0,58.0,72.0,128.0,103.0,128.0,0.0,0,115.0,50.0,108.0
D256_L1_PROMOTED,spmv,,256,,,,,,,,,,,1.0,0.916111851,1.0,BANK-HR,0.25,255.0,196.0,255.0,128,256,81.0,55.0,80.0,128.0,95.0,128.0,0.1015625,6.7368421052631575,118.0,55.0,112.0
D256_L1_PROMOTED,convolutionSeparable,,256,,,,,,,,,,,0.943275632,0.764846871,0.895339547,BASE,0.2677801724137931,255.0,50.0,254.0,1856,3712,116.0,16.0,108.0,128.0,2.0,128.0,0.5743534482758621,1.0632936378939355,127.0,56.5,127.0
D256_L1_PROMOTED,convolutionSeparable,,256,,,,,,,,,,,0.934469899,0.716036228,0.885486019,META-HR,0.28529094827586204,255.0,38.0,254.0,1856,3712,115.0,12.0,110.0,128.0,0.0,128.0,0.5210129310344828,1.0430579432037215,127.0,41.0,127.0
D256_L1_PROMOTED,convolutionSeparable,,256,,,,,,,,,,,0.931557923,0.713581891,0.892676431,BANK-HR,0.2874461206896552,255.0,43.0,254.0,1856,3712,114.0,15.0,110.0,128.0,2.0,128.0,0.5765086206896551,1.0293369727867216,127.0,51.0,127.0
D256_L1_PROMOTED,btree,,256,,,,,,,,,,,0.312383489,0.144759642,0.256724368,BASE,0.0,32.0,9.0,20.0,800,1600,10.0,3.0,6.0,10.0,0.0,2.0,0.0,0,18.0,2.0,9.0
D256_L1_PROMOTED,btree,,256,,,,,,,,,,,0.300665779,0.156591212,0.246604527,META-HR,0.0,43.0,9.0,21.0,768,1536,12.0,3.0,6.0,16.0,0.0,3.0,0.0,0,15.0,3.0,10.0
D256_L1_PROMOTED,btree,,256,,,,,,,,,,,0.300399467,0.15086551250000002,0.248202397,BANK-HR,0.0,41.0,9.0,19.0,768,1536,12.0,3.0,6.0,16.0,0.0,2.0,0.0,0,13.0,3.0,9.0
D256_L1_PROMOTED,sad,,256,,,,,,,,,,,0.134256793,0.0,0.010652463,BASE,0.0,2.0,0.0,0.0,704,1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D256_L1_PROMOTED,sad,,256,,,,,,,,,,,0.010918775,0.0,0.002396804,META-HR,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D256_L1_PROMOTED,sad,,256,,,,,,,,,,,0.010918775,0.0,0.005326232,BANK-HR,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D256_L1_PROMOTED,FWT_7_21,,256,,,,,,,,,,,0.935286285,0.0,0.839104955,BASE,0.030612244897959183,255.0,0.0,191.0,3136,6272,86.0,0.0,56.0,128.0,0.0,92.0,0.20344387755102042,1.1436704566142033,127.0,0.0,117.0
D256_L1_PROMOTED,FWT_7_21,,256,,,,,,,,,,,0.969099627,0.0,0.843408788,META-HR,0.030303030303030304,255.0,0.0,203.0,3168,6336,79.0,0.0,59.0,128.0,0.0,101.0,0.2086489898989899,1.1083135867285785,127.0,0.0,116.0
D256_L1_PROMOTED,FWT_7_21,,256,,,,,,,,,,,0.91662227,0.0,0.835419441,BANK-HR,0.030303030303030304,255.0,0.0,184.0,3168,6336,83.0,0.0,53.0,128.0,0.0,86.0,0.21306818181818182,1.1273380481615938,127.0,0.0,114.0
D512_L1_PROMOTED,vectorAdd_4M,,512,,,,,,,,,,,1.019973369,0.864580559,0.990945406,BASE,0.0,326.0,313.0,321.0,448,896,84.0,81.0,83.0,128.0,128.0,128.0,0.9241071428571429,1.0421557282195404,127.0,127.0,127.0
D512_L1_PROMOTED,vectorAdd_4M,,512,,,,,,,,,,,1.021038615,0.8645625050000001,0.992276964,D512-META-HR,0.0,326.0,314.0,322.0,448,896,82.0,79.0,81.0,128.0,128.0,128.0,0.9241071428571429,1.0364180620048444,127.0,127.0,127.0
D512_L1_PROMOTED,vectorAdd_4M,,512,,,,,,,,,,,1.023968043,0.8646956960000001,0.998135819,D512-BANK-HR,0.0,325.0,314.0,322.0,448,896,83.0,80.0,82.0,128.0,128.0,128.0,0.8973214285714286,1.0326265583480139,127.0,127.0,127.0
D512_L1_PROMOTED,scan,,512,,,,,,,,,,,1.074034621,0.911318242,0.965645806,BASE,0.0,324.0,280.0,297.0,13824,27648,96.0,78.0,86.0,128.0,128.0,128.0,0.9281684027777778,1.0038049523538684,127.0,127.0,127.0
D512_L1_PROMOTED,scan,,512,,,,,,,,,,,1.088948069,0.917954182,0.979227696,D512-META-HR,0.0,322.0,279.0,295.0,13728,27456,93.0,73.0,79.0,128.0,128.0,128.0,0.9263548951048951,1.0055211279068061,127.0,127.0,127.0
