bw_window_max,bw_window_p50,bw_window_p95,cell,descriptor_capacity,descriptor_near_full_fraction,descriptor_window_max,descriptor_window_p50,descriptor_window_p95,dram_window_rows,l2_window_rows,line_mshr_window_max,line_mshr_window_p50,line_mshr_window_p95,lowerq_window_max,lowerq_window_p50,lowerq_window_p95,scheduler_active_window_fraction,scheduler_channel_max_over_mean,scheduler_window_max,scheduler_window_p50,scheduler_window_p95,workload
1.018109188,0.862849534,0.997869507,BASE,256,0.78125,255.0,253.0,255.0,448,896,69.0,66.0,68.0,128.0,128.0,128.0,0.8683035714285714,1.0220418315812472,127.0,127.0,127.0,vectorAdd_4M
1.031691079,0.8673591665,0.998135819,META-HR,256,0.7544642857142857,255.0,253.0,255.0,448,896,65.0,64.0,64.0,128.0,128.0,128.0,0.8705357142857143,1.0224023100926831,127.0,127.0,127.0,vectorAdd_4M
1.023701731,0.864580559,0.996005326,BANK-HR,256,0.7712053571428571,255.0,253.0,255.0,448,896,67.0,65.0,66.0,128.0,128.0,128.0,0.8571428571428571,1.0281037846767158,127.0,127.0,127.0,vectorAdd_4M
1.070039947,0.915290357,0.97150466,BASE,256,0.5286397911832946,255.0,246.0,252.0,13792,27584,85.0,69.0,74.0,128.0,127.0,128.0,0.9274941995359629,1.0028582956913132,127.0,127.0,127.0,scan
1.087107086,0.918508655,0.975233023,META-HR,256,0.528125,256.0,246.0,252.0,13760,27520,86.0,65.0,69.0,128.0,127.0,128.0,0.9247093023255814,1.0031964486410214,127.0,127.0,127.0,scan
1.076697736,0.913715047,0.968566862,BANK-HR,256,0.5379774305555556,255.0,246.0,253.0,13824,27648,84.0,68.0,73.0,128.0,127.0,128.0,0.9295428240740741,1.0026745457578783,127.0,127.0,127.0,scan
1.0,0.916111851,1.0,BASE,256,0.25,255.0,199.0,255.0,128,256,80.0,56.0,79.0,128.0,95.0,128.0,0.1796875,4.129032258064516,124.0,55.0,113.0,spmv
1.0,0.916111851,1.0,META-HR,256,0.26953125,255.0,207.5,255.0,128,256,73.0,58.0,72.0,128.0,103.0,128.0,0.0,0,115.0,50.0,108.0,spmv
1.0,0.916111851,1.0,BANK-HR,256,0.25,255.0,196.0,255.0,128,256,81.0,55.0,80.0,128.0,95.0,128.0,0.1015625,6.7368421052631575,118.0,55.0,112.0,spmv
0.943275632,0.764846871,0.895339547,BASE,256,0.2677801724137931,255.0,50.0,254.0,1856,3712,116.0,16.0,108.0,128.0,2.0,128.0,0.5743534482758621,1.0632936378939355,127.0,56.5,127.0,convolutionSeparable
0.934469899,0.716036228,0.885486019,META-HR,256,0.28529094827586204,255.0,38.0,254.0,1856,3712,115.0,12.0,110.0,128.0,0.0,128.0,0.5210129310344828,1.0430579432037215,127.0,41.0,127.0,convolutionSeparable
0.931557923,0.713581891,0.892676431,BANK-HR,256,0.2874461206896552,255.0,43.0,254.0,1856,3712,114.0,15.0,110.0,128.0,2.0,128.0,0.5765086206896551,1.0293369727867216,127.0,51.0,127.0,convolutionSeparable
0.312383489,0.144759642,0.256724368,BASE,256,0.0,32.0,9.0,20.0,800,1600,10.0,3.0,6.0,10.0,0.0,2.0,0.0,0,18.0,2.0,9.0,btree
0.300665779,0.156591212,0.246604527,META-HR,256,0.0,43.0,9.0,21.0,768,1536,12.0,3.0,6.0,16.0,0.0,3.0,0.0,0,15.0,3.0,10.0,btree
0.300399467,0.15086551250000002,0.248202397,BANK-HR,256,0.0,41.0,9.0,19.0,768,1536,12.0,3.0,6.0,16.0,0.0,2.0,0.0,0,13.0,3.0,9.0,btree
0.134256793,0.0,0.010652463,BASE,256,0.0,2.0,0.0,0.0,704,1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.010918775,0.0,0.002396804,META-HR,256,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.010918775,0.0,0.005326232,BANK-HR,256,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.935286285,0.0,0.839104955,BASE,256,0.030612244897959183,255.0,0.0,191.0,3136,6272,86.0,0.0,56.0,128.0,0.0,92.0,0.20344387755102042,1.1436704566142033,127.0,0.0,117.0,FWT_7_21
0.969099627,0.0,0.843408788,META-HR,256,0.030303030303030304,255.0,0.0,203.0,3168,6336,79.0,0.0,59.0,128.0,0.0,101.0,0.2086489898989899,1.1083135867285785,127.0,0.0,116.0,FWT_7_21
0.91662227,0.0,0.835419441,BANK-HR,256,0.030303030303030304,255.0,0.0,184.0,3168,6336,83.0,0.0,53.0,128.0,0.0,86.0,0.21306818181818182,1.1273380481615938,127.0,0.0,114.0,FWT_7_21
