workload	variant	side	status	raw_log_gz	sha256
vectorAdd_4M	B0-Legacy	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Legacy/vectorAdd_4M/raw.log.gz	35d701a14f65a26cc6c648b56dd454da87845c90cd7bb5bab9f829dfb67dcbea
vectorAdd_4M	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/vectorAdd_4M/raw.log.gz	98720c022fc9b51f5a512710cc331052c6a7147d689dd70f7197ae77810d9e31
vectorAdd_4M	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/vectorAdd_4M/raw.log.gz	6b1d937c4d65ae03b093601e795215d9bed0319b7e49beb90a1962049299b1dd
vectorAdd_4M	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/vectorAdd_4M/raw.log.gz	d0d04c6ec92b3e08a75d0f550d80e36f1852d32832bb435b7ddbb38f4ce66dc1
cfd_097k	B0-Legacy	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Legacy/cfd_097k/raw.log.gz	86d987da42ec0c685c2baa2b80821754491aaa51bb52ac46a2c0235bc1526758
cfd_097k	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/cfd_097k/raw.log.gz	ac2535eeb70ae2f2ba1e8f1a2674c93ce4adf93137bb9d037b83f7931eccddb5
cfd_097k	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/cfd_097k/raw.log.gz	b1e9c15f06ea5264784181314d84134244ee3f20a32cbf4d3535644c84e985ee
cfd_097k	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/cfd_097k/raw.log.gz	fc307b457a4492e4cc3b537c4d81fd98d6e84370742b53b57dfd300f2811e6f7
sad	B0-Legacy	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Legacy/sad/raw.log.gz	c0c242a268348aad006e8ace5ca93dd2b627c805cdc59bd2b396280ef3219260
sad	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/sad/raw.log.gz	132063fc282a383aab5cccd6b33de5d1e62b2b09c4d89493e38beccf75bbc341
sad	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/sad/raw.log.gz	ae19e2ef945b733208a75e1c3579f1e63c3063724ca499ffc9f5725fe19f186f
sad	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/sad/raw.log.gz	9008f9d9d82dc1e7104158eb283b284c355a59ad71c66f7689af0960e0f8fe6e
FWT_7_21	B0-Legacy	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Legacy/FWT_7_21/raw.log.gz	0b34dafb50b9a2ed25a122c8517cf052568801e653c536303a9af728e605986e
FWT_7_21	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/FWT_7_21/raw.log.gz	5c0ccd4a57532d190c8a6662cd195bececb9533f903751e7726798316bc77a2f
FWT_7_21	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/FWT_7_21/raw.log.gz	fbafcec33f9f6a8119f75291926a07728fc1f7dc946b08186e4a745d77a77659
FWT_7_21	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/FWT_7_21/raw.log.gz	df7eb14fa7f5f3b9f75f169593835d6374a2d6db78fa4d449403d10318b3a1fb
convolutionSeparable	B0-Legacy	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Legacy/convolutionSeparable/raw.log.gz	cdd7b7f1302c8d987bc483adc16cad92d7dbfc6817eeb178d4427efa706d33b7
convolutionSeparable	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/convolutionSeparable/raw.log.gz	be22472be21a687333bfada4adba2c5841ce9238d480eb178622fc03863a5202
convolutionSeparable	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/convolutionSeparable/raw.log.gz	f9292644c0978105ede6aa529d91517408dcb9bc8743f2dc97c5ccf7ccf1f1cb
convolutionSeparable	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/convolutionSeparable/raw.log.gz	a2b6db25d5a7fbb634783e1f38ab71cac5ead6dd93ac669f524de148f56ffdfe
