eligible_demand_references,line_reuse_coverage,one_touch_line_fraction,one_touch_unique_lines,reuse_instance_fraction,reuse_instances,unique_lines,unique_lines_reused_at_least_once,workload
42762931,0.9882396177875781,0.011760382212421904,106496,0.7882397724328111,33707443,9055488,8948992,scan
1500000,1.0,0.0,0,0.75,1125000,375000,375000,vectorAdd_4M
5215296,1.0,0.0,0,0.7738099620807717,4035648,1179648,1179648,convolutionSeparable
432605,0.9992342950729015,0.00076570492709851,72,0.7826400527039679,338574,94031,93959,spmv
10223616,1.0,0.0,0,0.8717948717948718,8912896,1310720,1310720,FWT_7_21
1333347,1.0,0.0,0,0.8907051202725172,1187619,145728,145728,cfd_097k
1641970,1.0,0.0,0,0.7680055055817098,1261042,380928,380928,dwt2d
471287,1.0,0.0,0,0.7797159692501596,367470,103817,103817,sad
1417930,0.8371887387691178,0.16281126123088221,21727,0.9058846346434591,1284481,133449,111722,btree
18410134,1.0,0.0,0,0.9986650830461092,18385558,24576,24576,gemm
