projected_blocked_miss_admission_cycles,wbuf_alloc_opportunities,wbuf_capacity,wbuf_trace_projected_would_block_cycles,workload
70642479,29195159,4,4752437,scan
70546606,29195159,8,4656214,scan
70103487,29195159,16,4212555,scan
1849743,467101,4,90845,vectorAdd_4M
1841892,467101,8,82994,vectorAdd_4M
1787921,467101,16,29023,vectorAdd_4M
2863329,1382446,4,231513,convolutionSeparable
2847161,1382446,8,215345,convolutionSeparable
2799898,1382446,16,168082,convolutionSeparable
309214,0,4,0,spmv
309214,0,8,0,spmv
309214,0,16,0,spmv
1435813,601925,4,61826,FWT_7_21
1433174,601925,8,59187,FWT_7_21
1429376,601925,16,55389,FWT_7_21
9594,31131,4,186,cfd_097k
9464,31131,8,56,cfd_097k
9408,31131,16,0,cfd_097k
102534,237884,4,8969,dwt2d
100641,237884,8,7076,dwt2d
97432,237884,16,3867,dwt2d
0,3975,4,0,sad
0,3975,8,0,sad
0,3975,16,0,sad
674,412,4,0,btree
674,412,8,0,btree
674,412,16,0,btree
0,0,4,0,gemm
0,0,8,0,gemm
0,0,16,0,gemm
