workload,status,distance_bin,temporal_reuse_instances,events,conditional_fraction,display
BlackScholes,COMPLETE_VALID,<=8,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,9-16,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,17-32,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,33-64,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,65-128,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,129-256,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,257-512,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,513-1024,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,1025-2048,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,2049-4096,0,0,N/A,NO TEMPORAL REUSE
BlackScholes,COMPLETE_VALID,>4096,0,0,N/A,NO TEMPORAL REUSE
dwt2d,COMPLETE_VALID,<=8,118258,2903,0.024548022121124998,
dwt2d,COMPLETE_VALID,9-16,118258,3489,0.029503289418052057,
dwt2d,COMPLETE_VALID,17-32,118258,6696,0.05662196215055218,
dwt2d,COMPLETE_VALID,33-64,118258,8790,0.07432900945390587,
dwt2d,COMPLETE_VALID,65-128,118258,11945,0.10100796563446025,
dwt2d,COMPLETE_VALID,129-256,118258,18782,0.1588222361277884,
dwt2d,COMPLETE_VALID,257-512,118258,17448,0.14754181535287253,
dwt2d,COMPLETE_VALID,513-1024,118258,20710,0.17512557289993066,
dwt2d,COMPLETE_VALID,1025-2048,118258,9713,0.08213397825094286,
dwt2d,COMPLETE_VALID,2049-4096,118258,17782,0.1503661485903702,
dwt2d,COMPLETE_VALID,>4096,118258,0,0.0,
convolutionSeparable,COMPLETE_VALID,<=8,496704,4906,0.009877109908516944,
convolutionSeparable,COMPLETE_VALID,9-16,496704,4157,0.008369169565777606,
convolutionSeparable,COMPLETE_VALID,17-32,496704,7626,0.015353208349439505,
convolutionSeparable,COMPLETE_VALID,33-64,496704,14377,0.028944804148949878,
convolutionSeparable,COMPLETE_VALID,65-128,496704,24649,0.04962512884937508,
convolutionSeparable,COMPLETE_VALID,129-256,496704,43772,0.08812491946914057,
convolutionSeparable,COMPLETE_VALID,257-512,496704,77300,0.15562588583945366,
convolutionSeparable,COMPLETE_VALID,513-1024,496704,124839,0.25133479899497485,
convolutionSeparable,COMPLETE_VALID,1025-2048,496704,147685,0.2973299993557531,
convolutionSeparable,COMPLETE_VALID,2049-4096,496704,47343,0.09531431194433707,
convolutionSeparable,COMPLETE_VALID,>4096,496704,50,0.00010066357428166474,
mergeSort,COMPLETE_VALID,<=8,2068,1452,0.7021276595744681,
mergeSort,COMPLETE_VALID,9-16,2068,397,0.19197292069632496,
mergeSort,COMPLETE_VALID,17-32,2068,219,0.10589941972920697,
mergeSort,COMPLETE_VALID,33-64,2068,0,0.0,
mergeSort,COMPLETE_VALID,65-128,2068,0,0.0,
mergeSort,COMPLETE_VALID,129-256,2068,0,0.0,
mergeSort,COMPLETE_VALID,257-512,2068,0,0.0,
mergeSort,COMPLETE_VALID,513-1024,2068,0,0.0,
mergeSort,COMPLETE_VALID,1025-2048,2068,0,0.0,
mergeSort,COMPLETE_VALID,2049-4096,2068,0,0.0,
mergeSort,COMPLETE_VALID,>4096,2068,0,0.0,
sad,COMPLETE_VALID,<=8,56029,8558,0.1527423298648914,
sad,COMPLETE_VALID,9-16,56029,1803,0.03217976405075943,
sad,COMPLETE_VALID,17-32,56029,901,0.016080958075282443,
sad,COMPLETE_VALID,33-64,56029,4508,0.08045833407699585,
sad,COMPLETE_VALID,65-128,56029,9219,0.16453979189348372,
sad,COMPLETE_VALID,129-256,56029,19999,0.3569401559906477,
sad,COMPLETE_VALID,257-512,56029,8711,0.15547305859465635,
sad,COMPLETE_VALID,513-1024,56029,536,0.009566474504274572,
sad,COMPLETE_VALID,1025-2048,56029,13,0.00023202270252904746,
sad,COMPLETE_VALID,2049-4096,56029,1781,0.031787110246479504,
sad,COMPLETE_VALID,>4096,56029,0,0.0,
spmv,COMPLETE_VALID,<=8,57173,4693,0.08208420058419184,
spmv,COMPLETE_VALID,9-16,57173,3272,0.05722981127455267,
spmv,COMPLETE_VALID,17-32,57173,4508,0.07884840746506218,
spmv,COMPLETE_VALID,33-64,57173,5408,0.09459010372028755,
spmv,COMPLETE_VALID,65-128,57173,6896,0.12061637486226016,
spmv,COMPLETE_VALID,129-256,57173,8229,0.14393157609361062,
spmv,COMPLETE_VALID,257-512,57173,9567,0.16733423119304566,
spmv,COMPLETE_VALID,513-1024,57173,9145,0.15995312472670667,
spmv,COMPLETE_VALID,1025-2048,57173,4919,0.0860371154216151,
spmv,COMPLETE_VALID,2049-4096,57173,536,0.009375054658667554,
spmv,COMPLETE_VALID,>4096,57173,0,0.0,
transpose,COMPLETE_VALID,<=8,294912,4108,0.013929578993055556,
transpose,COMPLETE_VALID,9-16,294912,60765,0.20604451497395834,
transpose,COMPLETE_VALID,17-32,294912,145999,0.4950595431857639,
transpose,COMPLETE_VALID,33-64,294912,42662,0.1446601019965278,
transpose,COMPLETE_VALID,65-128,294912,23353,0.07918633355034722,
transpose,COMPLETE_VALID,129-256,294912,13251,0.044932047526041664,
transpose,COMPLETE_VALID,257-512,294912,4774,0.016187879774305556,
transpose,COMPLETE_VALID,513-1024,294912,0,0.0,
transpose,COMPLETE_VALID,1025-2048,294912,0,0.0,
transpose,COMPLETE_VALID,2049-4096,294912,0,0.0,
transpose,COMPLETE_VALID,>4096,294912,0,0.0,
scan,COMPLETE_VALID,<=8,6860467,27681,0.004034856519242787,
scan,COMPLETE_VALID,9-16,6860467,3838,0.0005594371345274308,
scan,COMPLETE_VALID,17-32,6860467,3498,0.0005098778261013427,
scan,COMPLETE_VALID,33-64,6860467,3319,0.00048378630784172563,
scan,COMPLETE_VALID,65-128,6860467,3123,0.0004552168241608042,
