workload,status,distance_bin,temporal_reuse_instances,events,conditional_fraction,display
dwt2d,COMPLETE_VALID,<=8,118258,2903,0.024548022121124998,
dwt2d,COMPLETE_VALID,9-16,118258,3489,0.029503289418052057,
dwt2d,COMPLETE_VALID,17-32,118258,6696,0.05662196215055218,
dwt2d,COMPLETE_VALID,33-64,118258,8790,0.07432900945390587,
dwt2d,COMPLETE_VALID,65-128,118258,11945,0.10100796563446025,
dwt2d,COMPLETE_VALID,129-256,118258,18782,0.1588222361277884,
dwt2d,COMPLETE_VALID,257-512,118258,17448,0.14754181535287253,
dwt2d,COMPLETE_VALID,513-1024,118258,20710,0.17512557289993066,
dwt2d,COMPLETE_VALID,1025-2048,118258,9713,0.08213397825094286,
dwt2d,COMPLETE_VALID,2049-4096,118258,17782,0.1503661485903702,
dwt2d,COMPLETE_VALID,>4096,118258,0,0.0,
convolutionSeparable,COMPLETE_VALID,<=8,496704,4906,0.009877109908516944,
convolutionSeparable,COMPLETE_VALID,9-16,496704,4157,0.008369169565777606,
convolutionSeparable,COMPLETE_VALID,17-32,496704,7626,0.015353208349439505,
convolutionSeparable,COMPLETE_VALID,33-64,496704,14377,0.028944804148949878,
convolutionSeparable,COMPLETE_VALID,65-128,496704,24649,0.04962512884937508,
convolutionSeparable,COMPLETE_VALID,129-256,496704,43772,0.08812491946914057,
convolutionSeparable,COMPLETE_VALID,257-512,496704,77300,0.15562588583945366,
convolutionSeparable,COMPLETE_VALID,513-1024,496704,124839,0.25133479899497485,
convolutionSeparable,COMPLETE_VALID,1025-2048,496704,147685,0.2973299993557531,
convolutionSeparable,COMPLETE_VALID,2049-4096,496704,47343,0.09531431194433707,
convolutionSeparable,COMPLETE_VALID,>4096,496704,50,0.00010066357428166474,
spmv,COMPLETE_VALID,<=8,57173,4693,0.08208420058419184,
spmv,COMPLETE_VALID,9-16,57173,3272,0.05722981127455267,
spmv,COMPLETE_VALID,17-32,57173,4508,0.07884840746506218,
spmv,COMPLETE_VALID,33-64,57173,5408,0.09459010372028755,
spmv,COMPLETE_VALID,65-128,57173,6896,0.12061637486226016,
spmv,COMPLETE_VALID,129-256,57173,8229,0.14393157609361062,
spmv,COMPLETE_VALID,257-512,57173,9567,0.16733423119304566,
spmv,COMPLETE_VALID,513-1024,57173,9145,0.15995312472670667,
spmv,COMPLETE_VALID,1025-2048,57173,4919,0.0860371154216151,
spmv,COMPLETE_VALID,2049-4096,57173,536,0.009375054658667554,
spmv,COMPLETE_VALID,>4096,57173,0,0.0,
scan,COMPLETE_VALID,<=8,6860467,27681,0.004034856519242787,
scan,COMPLETE_VALID,9-16,6860467,3838,0.0005594371345274308,
scan,COMPLETE_VALID,17-32,6860467,3498,0.0005098778261013427,
scan,COMPLETE_VALID,33-64,6860467,3319,0.00048378630784172563,
scan,COMPLETE_VALID,65-128,6860467,3123,0.0004552168241608042,
scan,COMPLETE_VALID,129-256,6860467,3643,0.0005310134135183508,
scan,COMPLETE_VALID,257-512,6860467,71332,0.010397542907793303,
scan,COMPLETE_VALID,513-1024,6860467,3171479,0.46228325272900517,
scan,COMPLETE_VALID,1025-2048,6860467,3572530,0.5207415180336848,
scan,COMPLETE_VALID,2049-4096,6860467,24,3.4983041241944607e-06,
scan,COMPLETE_VALID,>4096,6860467,0,0.0,
FWT_7_21,COMPLETE_VALID,<=8,4980736,96,1.927425986842105e-05,
FWT_7_21,COMPLETE_VALID,9-16,4980736,168,3.3729954769736845e-05,
FWT_7_21,COMPLETE_VALID,17-32,4980736,689,0.00013833296926398026,
FWT_7_21,COMPLETE_VALID,33-64,4980736,4880,0.000979774876644737,
FWT_7_21,COMPLETE_VALID,65-128,4980736,55684,0.011179873817845395,
FWT_7_21,COMPLETE_VALID,129-256,4980736,185333,0.03720996254368832,
FWT_7_21,COMPLETE_VALID,257-512,4980736,206524,0.04146455463610197,
FWT_7_21,COMPLETE_VALID,513-1024,4980736,1466949,0.2945245441637541,
FWT_7_21,COMPLETE_VALID,1025-2048,4980736,3059233,0.614213040000514,
FWT_7_21,COMPLETE_VALID,2049-4096,4980736,1180,0.00023691277754934212,
FWT_7_21,COMPLETE_VALID,>4096,4980736,0,0.0,
cfd_097k,COMPLETE_VALID,<=8,750435,15780,0.021027803873753224,
cfd_097k,COMPLETE_VALID,9-16,750435,14065,0.018742462704964453,
cfd_097k,COMPLETE_VALID,17-32,750435,27647,0.036841298713412886,
cfd_097k,COMPLETE_VALID,33-64,750435,54032,0.07200090614110483,
cfd_097k,COMPLETE_VALID,65-128,750435,98289,0.1309760339003378,
cfd_097k,COMPLETE_VALID,129-256,750435,148910,0.1984315763523823,
cfd_097k,COMPLETE_VALID,257-512,750435,153362,0.20436413546809518,
cfd_097k,COMPLETE_VALID,513-1024,750435,103218,0.13754422434987706,
cfd_097k,COMPLETE_VALID,1025-2048,750435,134382,0.17907213815986728,
cfd_097k,COMPLETE_VALID,2049-4096,750435,750,0.0009994203362050011,
cfd_097k,COMPLETE_VALID,>4096,750435,0,0.0,
btree,COMPLETE_VALID,<=8,982519,136419,0.1388461698959511,
btree,COMPLETE_VALID,9-16,982519,79505,0.08091955473634607,
btree,COMPLETE_VALID,17-32,982519,119935,0.1220688861996562,
btree,COMPLETE_VALID,33-64,982519,144374,0.14694270543368626,
btree,COMPLETE_VALID,65-128,982519,98839,0.10059754569631732,
btree,COMPLETE_VALID,129-256,982519,60322,0.06139525037174853,
btree,COMPLETE_VALID,257-512,982519,74787,0.07611761197493382,
btree,COMPLETE_VALID,513-1024,982519,81410,0.08285844853890867,
btree,COMPLETE_VALID,1025-2048,982519,119159,0.12127907959031836,
btree,COMPLETE_VALID,2049-4096,982519,67769,0.06897474756213366,
btree,COMPLETE_VALID,>4096,982519,0,0.0,
