workload	status	result_root
vectorAdd_4M	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/preflight_vectoradd_r4/vectorAdd_4M/on
convolutionSeparable	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on
sad	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/preflight_sad_r4/sad/on
spmv	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on
FWT_7_21	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on
cfd_097k	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_cfd_097k_r1/cfd_097k/on
dwt2d	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on
btree	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_btree_r1/btree/on
gemm	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/formal_original_gemm_r1/gemm/on
scan	RUNNING_PENDING_FINAL_DELTA	/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on
BlackScholes	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/screening_r1_BlackScholes/BlackScholes/on
mergeSort	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/screening_r1_mergeSort/mergeSort/on
transpose	COMPLETE_VALID	/workspace/results/ep_l2_streaming_reuse/screening_r1_transpose/transpose/on
hotspot	FAILED_SIMULATOR	/workspace/results/ep_l2_streaming_reuse/screening_r1_hotspot
hybridsort	STOPPED_NONFORMAL_RESOURCE_CLOSEOUT	/workspace/results/ep_l2_streaming_reuse/screening_r1_hybridsort
