one_touch_sector_fraction,one_touch_unique_sectors,total_sector_reference_events,unique_sector_identities,unique_sectors_reused_at_least_once,workload
1.0,1500000,1500000,1500000,0,vectorAdd_4M
0.8947347005208334,4221888,5215296,4718592,496704,convolutionSeparable
0.8755544745676183,363581,471287,415258,51677,sad
0.9735451426623197,365500,432605,375432,9932,spmv
0.05,262144,10223616,5242880,4980736,FWT_7_21
0.8959619976943346,522267,1333347,582912,60645,cfd_097k
0.9305085212953629,1417827,1641970,1523712,105885,dwt2d
0.46882830245446255,204133,1417930,435411,231278,btree
0.0,0,18410134,98304,98304,gemm
1.0,62500,62500,62500,0,BlackScholes
0.9026824703680599,15917,19701,17633,1716,mergeSort
0.9375,1474560,1867776,1572864,98304,transpose
