workload,legacy_cycles,legacy_tag_way_need,legacy_tag_way_block,legacy_tag_reserved_set_max,legacy_line_mshr_need,legacy_line_mshr_full_block,legacy_descriptor_need,legacy_descriptor_pool_full_block,legacy_per_address_cap_check,legacy_per_address_cap_block,legacy_wad_full,legacy_wad_hazard,legacy_wad_hazard_wait_cycles,legacy_payload_capacity_denial,legacy_payload_service_denial,legacy_bank_logical_ops,legacy_bank_attempts,legacy_bank_grants,legacy_bank_retry_attempts,legacy_bank_true_conflict_ops,legacy_bank_true_conflict_events,legacy_bank_wait_cycles,legacy_block_bank,legacy_l1_accesses,legacy_l1_misses,legacy_l1_line_alloc_fail,legacy_l1_mshr_entry_fail,legacy_l1_mshr_merge_fail,legacy_l1_missq_full,legacy_l1_rw_pending,legacy_l1_bank_latency_conflict,legacy_lower_issue_q_full,legacy_l2_to_dram_full,legacy_scheduler_causal_block,legacy_returnq_full,legacy_dram_to_l2_full,legacy_dram_read_bytes,legacy_dram_write_bytes,legacy_descriptor_application_slice_avg_coarse,legacy_descriptor_application_slice_p95_max,legacy_descriptor_application_slice_max,legacy_line_mshr_application_slice_avg_coarse,legacy_line_mshr_application_slice_p95_max,legacy_line_mshr_application_slice_max,legacy_wad_application_slice_avg_coarse,legacy_wad_application_slice_p95_max,legacy_wad_application_slice_max,legacy_resident_payload_application_slice_avg_coarse,legacy_resident_payload_application_slice_p95_max,legacy_resident_payload_application_slice_max,legacy_kernel_count,banked_cycles,banked_tag_way_need,banked_tag_way_block,banked_tag_reserved_set_max,banked_line_mshr_need,banked_line_mshr_full_block,banked_descriptor_need,banked_descriptor_pool_full_block,banked_per_address_cap_check,banked_per_address_cap_block,banked_wad_full,banked_wad_hazard,banked_wad_hazard_wait_cycles,banked_payload_capacity_denial,banked_payload_service_denial,banked_bank_logical_ops,banked_bank_attempts,banked_bank_grants,banked_bank_retry_attempts,banked_bank_true_conflict_ops,banked_bank_true_conflict_events,banked_bank_wait_cycles,banked_block_bank,banked_l1_accesses,banked_l1_misses,banked_l1_line_alloc_fail,banked_l1_mshr_entry_fail,banked_l1_mshr_merge_fail,banked_l1_missq_full,banked_l1_rw_pending,banked_l1_bank_latency_conflict,banked_lower_issue_q_full,banked_l2_to_dram_full,banked_scheduler_causal_block,banked_returnq_full,banked_dram_to_l2_full,banked_dram_read_bytes,banked_dram_write_bytes,banked_descriptor_application_slice_avg_coarse,banked_descriptor_application_slice_p95_max,banked_descriptor_application_slice_max,banked_line_mshr_application_slice_avg_coarse,banked_line_mshr_application_slice_p95_max,banked_line_mshr_application_slice_max,banked_wad_application_slice_avg_coarse,banked_wad_application_slice_p95_max,banked_wad_application_slice_max,banked_resident_payload_application_slice_avg_coarse,banked_resident_payload_application_slice_p95_max,banked_resident_payload_application_slice_max,banked_kernel_count,banked_over_legacy_cycle_ratio
3mm,1661135,57344,0,3,106501,0,333799,0,227298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113344512,5214033,0,0,163888205,44771040,0,52725554,0,0,0,0,0,7340032,0,0.0,1,248,0.0,1,76,0.0,0,0,595.5,896,896,3,1661135,57344,0,3,106501,0,333799,0,227298,0,0,0,0,0,0,55249546,55249546,55249546,0,0,0,0,0,113344512,5214033,0,0,163888205,44771040,0,52725554,0,0,0,0,0,7340032,0,0.0,1,248,0.0,1,76,0.0,0,0,595.5,896,896,3,1.0
FWT_11_19,171549,61126,0,4,61126,0,250837,119765,189711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162688,1114112,0,274558,0,2680785,0,1095194,0,119765,0,0,0,4194304,0,6.0,0,256,2.0,0,96,0.0,0,0,412.0,512,512,16,171549,61126,0,4,61126,0,250837,119765,189711,0,0,0,0,0,0,2162688,2162688,2162688,0,0,0,0,0,2162688,1114112,0,274558,0,2680785,0,1095194,0,119765,0,0,0,4194304,0,6.0,0,256,2.0,0,96,0.0,0,0,412.0,512,512,16,1.0
FWT_7_21,493466,594069,0,5,596844,0,2408066,1189823,1811222,0,0,286123,286123,0,0,0,0,0,0,0,0,0,0,10223616,5242880,0,4709556,0,19940958,0,8909207,1631,1190064,888688,0,0,38945024,22871040,25.625,255,256,7.015625,73,102,4.203125,48,115,998.953125,1024,1024,19,493466,594069,0,5,596844,0,2408066,1189823,1811222,0,0,286123,286123,0,0,10223616,10223616,10223616,0,0,0,0,0,10223616,5242880,0,4709556,0,19940958,0,8909207,1631,1190064,888688,0,0,38945024,22871040,25.625,255,256,7.015625,73,102,4.203125,48,115,998.953125,1024,1024,19,1.0
btree,126259,135047,0,5,139249,0,477174,0,337925,674,0,0,0,0,0,0,0,0,0,0,0,0,0,4249841,1340267,0,0,527591,233530,0,346228,0,0,0,0,0,13958016,52736,9.3125,48,253,2.90625,15,69,0.0,0,3,717.75,1004,1020,2,126259,135047,0,5,139249,0,477174,0,337925,674,0,0,0,0,0,1370834,1370834,1370834,0,0,0,0,0,4249841,1340267,0,0,527591,233530,0,346228,0,0,0,0,0,13958016,52736,9.3125,48,253,2.90625,15,69,0.0,0,3,717.75,1004,1020,2,1.0
cfd_097k,79555,113091,0,4,53418,0,212610,64,159192,0,0,9367,9367,0,488,0,0,0,0,0,0,0,0,1539872,1328553,498,454367,0,780328,0,628708,0,64,106679,0,0,6800768,3983104,14.828125,139,256,3.640625,37,68,2.25,29,65,756.890625,1024,1024,5,81443,113103,0,4,53454,0,212597,0,159143,0,0,9408,9408,0,0,1093466,1109632,1093466,16166,16166,16166,16166,16166,1539872,1333347,1250,461031,0,786287,0,634969,0,0,104384,0,0,6802048,3984768,14.359375,143,251,3.40625,38,64,2.140625,29,66,762.953125,1024,1024,5,1.023732009301741
convolutionSeparable,290308,2012678,0,7,1958245,0,5865143,3373327,3906898,0,8266,0,0,0,0,0,0,0,0,0,0,0,0,5289984,5215696,5179994,2242333,0,1460359,0,3811459,22662,3133633,2510412,0,0,75504448,69831744,109.609375,256,256,42.78125,112,126,27.484375,93,128,969.421875,1024,1024,2,290308,2012678,0,7,1958245,0,5865143,3373327,3906898,0,8266,0,0,0,0,2740470,2740470,2740470,0,0,0,0,0,5289984,5215696,5179994,2242333,0,1460359,0,3811459,22662,3133633,2510412,0,0,75504448,69831744,109.609375,256,256,42.78125,112,126,27.484375,93,128,969.421875,1024,1024,2,1.0
dwt2d,166961,306102,0,4,111818,0,446140,0,334322,0,74044,19521,19521,0,0,0,0,0,0,0,0,0,0,1704000,1641970,0,0,0,1929192,0,602591,0,0,281249,0,0,14015232,20971520,15.0,104,233,4.0,28,59,8.0,48,128,967.0,1024,1024,10,166961,306102,0,4,111818,0,446140,0,334322,0,74044,19521,19521,0,0,847374,847374,847374,0,0,0,0,0,1704000,1641970,0,0,0,1929192,0,602591,0,0,281249,0,0,14015232,20971520,15.0,104,233,4.0,28,59,8.0,48,128,967.0,1024,1024,10,1.0
gemm,556340,24576,0,3,49152,0,162036,0,112884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37814272,1615010,0,0,58227284,14259191,0,18509661,0,0,0,0,0,3145728,0,0.0,3,231,0.0,1,76,0.0,0,0,266.0,384,384,1,556340,24576,0,3,49152,0,162036,0,112884,0,0,0,0,0,0,18346402,18346402,18346402,0,0,0,0,0,37814272,1615010,0,0,58227284,14259191,0,18509661,0,0,0,0,0,3145728,0,0.0,3,231,0.0,1,76,0.0,0,0,266.0,384,384,1,1.0
sad,110653,69907,0,1,848,0,6402,0,5554,0,0,0,0,0,2,0,0,0,0,0,0,0,0,505098,422873,0,0,0,340795,0,17622,0,0,0,0,0,63456,508800,0.0,0,84,0.0,0,7,0.0,0,10,301.4375,962,1024,3,110653,69907,0,1,848,0,6402,0,5554,0,0,0,0,0,0,188826,188826,188826,0,0,0,0,0,505098,422873,0,0,0,340795,0,17622,0,0,0,0,0,63456,508800,0.0,0,84,0.0,0,7,0.0,0,10,301.4375,962,1024,3,1.0
scan,2157997,24712819,222849,16,20943070,0,83641439,60513316,62698369,0,2318944,585398,585398,0,0,0,0,0,0,0,0,0,0,42764800,35947209,471629,124523721,0,38533635,0,55242027,2053094,62160071,37119745,0,0,684980256,673405056,207.53125,256,256,60.0,82,113,57.9375,108,128,1019.0,1024,1024,33,2157997,24712819,222849,16,20943070,0,83641439,60513316,62698369,0,2318944,585398,585398,0,0,28244978,28244978,28244978,0,0,0,0,0,42764800,35947209,471629,124523721,0,38533635,0,55242027,2053094,62160071,37119745,0,0,684980256,673405056,207.53125,256,256,60.0,82,113,57.9375,108,128,1019.0,1024,1024,33,1.0
