workload,variant,lower_issue_q_full,l2_to_dram_full,scheduler_causal_block,returnq_full,dram_to_l2_full,lower_admission_byte_rate_norm,native_dram_data_bus_util_weighted_mean,native_dram_data_bus_util_p50,native_dram_data_bus_util_p95,native_dram_data_bus_util_max,native_dram_n_cmd_sum,native_dram_snapshot_status,scheduler_full_cycle_fraction,returnq_full_cycle_fraction
3mm,B0-Legacy,0,0,0,0,0,0.005746730000000005,0.005747000000000003,0.005747,0.005747,0.005747,39914176,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
3mm,B0-Banked,0,0,0,0,0,0.005746730000000005,0.005747000000000003,0.005747,0.005747,0.005747,39914176,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
FWT_11_19,B0-Legacy,0,119765,0,0,0,0.031798033,0.031797999999999986,0.031798,0.031798,0.031798,4122016,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
FWT_11_19,B0-Banked,0,119765,0,0,0,0.031798033,0.031797999999999986,0.031798,0.031798,0.031798,4122016,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
FWT_7_21,B0-Legacy,1631,1190064,888688,0,0,0.162919157375,0.16291921875,0.162954,0.163558,0.163612,11857120,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.04105303065303826,0.0
FWT_7_21,B0-Banked,1631,1190064,888688,0,0,0.162919157375,0.16291921875,0.162954,0.163558,0.163612,11857120,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.04105303065303826,0.0
btree,B0-Legacy,0,0,0,0,0,0.14431971603124996,0.14431968750000002,0.144115,0.149822,0.150729,3033792,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
btree,B0-Banked,0,0,0,0,0,0.14431971603124996,0.14431968750000002,0.144115,0.149822,0.150729,3033792,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
cfd_097k,B0-Legacy,0,64,106679,0,0,0.17629444562500005,0.17629446875000002,0.176443,0.177314,0.177447,1911552,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.032410777698863635,0.0
cfd_097k,B0-Banked,0,0,104384,0,0,0.17225365459375,0.17225362499999997,0.172025,0.173202,0.173595,1956928,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.02999373689116756,0.0
convolutionSeparable,B0-Legacy,22662,3133633,2510412,0,0,0.6510932990625001,0.6510933124999998,0.651066,0.651259,0.651342,6975584,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.1831974388115902,0.0
convolutionSeparable,B0-Banked,22662,3133633,2510412,0,0,0.6510932990625001,0.6510933124999998,0.651066,0.651259,0.651342,6975584,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.1831974388115902,0.0
dwt2d,B0-Legacy,0,0,281249,0,0,0.2725316666875,0.2725316875,0.27251,0.272733,0.272925,4011776,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.04085067875129132,0.0
dwt2d,B0-Banked,0,0,281249,0,0,0.2725316666875,0.2725316875,0.27251,0.272733,0.272925,4011776,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.04085067875129132,0.0
gemm,B0-Legacy,0,0,0,0,0,0.007353751,0.007354000000000004,0.007354,0.007354,0.007354,13367872,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
gemm,B0-Banked,0,0,0,0,0,0.007353751,0.007354000000000004,0.007354,0.007354,0.007354,13367872,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
sad,B0-Legacy,0,0,0,0,0,0.006725926312500002,0.006726125,0.006716,0.006824,0.006836,2658816,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
sad,B0-Banked,0,0,0,0,0,0.006725926312500002,0.006726125,0.006716,0.006824,0.006836,2658816,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
scan,B0-Legacy,2053094,62160071,37119745,0,0,0.8186527288124996,0.8186528124999998,0.818637,0.818721,0.818722,51852928,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.3605242950611799,0.0
scan,B0-Banked,2053094,62160071,37119745,0,0,0.8186527288124996,0.8186528124999998,0.818637,0.818721,0.818722,51852928,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.3605242950611799,0.0
sgemm,B0-Legacy,0,0,0,0,0,0.04624495050000003,0.046245000000000036,0.04623,0.04626,0.04626,8500128,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
sgemm,B0-Banked,0,0,0,0,0,0.04624495050000003,0.046245000000000036,0.04623,0.04626,0.04626,8500128,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0,0.0
spmv,B0-Legacy,0,348466,411,0,0,0.6660526689687499,0.6660526249999998,0.665247,0.679557,0.685576,563520,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0004515414835530697,0.0
spmv,B0-Banked,0,348466,411,0,0,0.6660526689687499,0.6660526249999998,0.665247,0.679557,0.685576,563520,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.0004515414835530697,0.0
vectorAdd_4M,B0-Legacy,0,2176661,989094,0,0,0.795837192625,0.7958373750000001,0.795656,0.796818,0.797036,1761888,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.28298535146960907,0.0
vectorAdd_4M,B0-Banked,0,2176661,989094,0,0,0.795837192625,0.7958373750000001,0.795656,0.796818,0.797036,1761888,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,0.28298535146960907,0.0
