workload	variant	status	cycles	wall_seconds	raw_log	raw_log_bytes	raw_included
vectorAdd_4M	B0-Legacy	COMPLETE_VALID	73325	465.759	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M/raw.log.gz	163938	NO
scan	B0-Legacy	COMPLETE_VALID	2157997	14422.618	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan/raw.log.gz	3213789	NO
spmv	B0-Legacy	COMPLETE_VALID	23453	127.003	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv/raw.log.gz	116380	NO
convolutionSeparable	B0-Legacy	COMPLETE_VALID	290308	1112.396	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable/raw.log.gz	348232	NO
cfd_097k	B0-Legacy	COMPLETE_VALID	79555	291.964	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k/raw.log.gz	214297	NO
dwt2d	B0-Legacy	COMPLETE_VALID	166961	424.503	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d/raw.log.gz	607133	NO
sad	B0-Legacy	COMPLETE_VALID	110653	319.219	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad/raw.log.gz	151850	NO
sgemm	B0-Legacy	COMPLETE_VALID	353756	824.269	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm/raw.log.gz	126803	NO
btree	B0-Legacy	COMPLETE_VALID	126259	414.948	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree/raw.log.gz	244541	NO
3mm	B0-Legacy	COMPLETE_VALID	1661135	8314.269	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm/raw.log.gz	320616	NO
gemm	B0-Legacy	COMPLETE_VALID	556340	1706.915	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm/raw.log.gz	136015	NO
FWT_7_21	B0-Legacy	COMPLETE_VALID	493466	1236.671	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21/raw.log.gz	1148628	NO
FWT_11_19	B0-Legacy	COMPLETE_VALID	171549	248.577	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19/raw.log.gz	646563	NO
vectorAdd_4M	B0-Banked	COMPLETE_VALID	73325	472.482	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/vectorAdd_4M/raw.log.gz	171822	NO
scan	B0-Banked	COMPLETE_VALID	2157997	14954.222	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan/raw.log.gz	3445387	NO
spmv	B0-Banked	COMPLETE_VALID	23453	126.739	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/spmv/raw.log.gz	126815	NO
convolutionSeparable	B0-Banked	COMPLETE_VALID	290308	1155.36	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable/raw.log.gz	373298	NO
cfd_097k	B0-Banked	COMPLETE_VALID	81443	282.928	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k/raw.log.gz	241725	NO
dwt2d	B0-Banked	COMPLETE_VALID	166961	407.366	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d/raw.log.gz	664996	NO
sad	B0-Banked	COMPLETE_VALID	110653	362.221	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad/raw.log.gz	170325	NO
sgemm	B0-Banked	COMPLETE_VALID	353756	815.565	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sgemm/raw.log.gz	147933	NO
btree	B0-Banked	COMPLETE_VALID	126259	419.707	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree/raw.log.gz	268326	NO
3mm	B0-Banked	COMPLETE_VALID	1661135	8235.27	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm/raw.log.gz	396081	NO
gemm	B0-Banked	COMPLETE_VALID	556340	1576.776	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/gemm/raw.log.gz	162912	NO
FWT_7_21	B0-Banked	COMPLETE_VALID	493466	1213.806	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21/raw.log.gz	1183438	NO
FWT_11_19	B0-Banked	COMPLETE_VALID	171549	259.628	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19/raw.log.gz	650462	NO
