bytes	included_in_pack	raw_log	sha256	variant	workload
163938	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M/raw.log.gz	eee92421aca67252c2274b69d1b2d1137122c5d16c048f6b7da12b0d898ae3b7	B0-Legacy	vectorAdd_4M
171822	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/vectorAdd_4M/raw.log.gz	097d3844ac3e06ca64368e502637c9e1d01b486fcf9f7056589fd194e22e07b4	B0-Banked	vectorAdd_4M
3213789	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan/raw.log.gz	30d2fc420c31e1623b4cf1267c5cb281da30d47345ce23c8b3e44838dccfe13b	B0-Legacy	scan
3445387	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan/raw.log.gz	0af897ead202bda92013454a287ede0f949d190cbd7588d35f6235ceb8edf0ee	B0-Banked	scan
116380	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv/raw.log.gz	960fb62df6b4a471ee31c818fb6b18d5113f36c6011c30d4f26e140b3d845150	B0-Legacy	spmv
126815	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/spmv/raw.log.gz	2e9b76c95faf515ccf2584744dfe7f94a0db3a69a0ec1eb9818b55ee2589c558	B0-Banked	spmv
348232	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable/raw.log.gz	4f6bccd620c18c0f802396f9aa410d4ba05b84b38258de40e40f23c3785b792c	B0-Legacy	convolutionSeparable
373298	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable/raw.log.gz	9c8169f021e804ccb52f0d72f3fe1312f605a321e5d95a5181f28f51642cd025	B0-Banked	convolutionSeparable
214297	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k/raw.log.gz	a45fd53f769aa4ce56b648e187ee409f33959e46fffaf1c6c4d92c2ce1f2d3b9	B0-Legacy	cfd_097k
241725	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k/raw.log.gz	ffe42aa782977ca86829065f966dff5bcf438db887e6439f06f71386f41103e2	B0-Banked	cfd_097k
607133	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d/raw.log.gz	ba0488adfaf71d51abbefa8a29cc85b38438ac61ea270ffbca7846452176dd7f	B0-Legacy	dwt2d
664996	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d/raw.log.gz	6ca1f1a6a0a9ed3a8f6fb6e5d768431fb2bcb4780db58ba31175529fa47c9e84	B0-Banked	dwt2d
151850	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad/raw.log.gz	1d87fa7c846a33b6d538550b77a2a1c23a924dd70c4f7c84bbb9675139b25f38	B0-Legacy	sad
170325	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad/raw.log.gz	592939d630a1228c2b303e55d447411c553404095d99c11cad121ef6880134b3	B0-Banked	sad
126803	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm/raw.log.gz	f2baf9d7ee38f3a13b5299498843b7622d32bb421e92c95770225af3d9e0d5a3	B0-Legacy	sgemm
147933	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sgemm/raw.log.gz	7f702f658f5c5ca5ee94e7e97490f5401451a0fabb7911f40174637362e6de46	B0-Banked	sgemm
244541	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree/raw.log.gz	5d66c47bbd2554ed5485c6d54b85342efe595c30a06c812f01fcac0b295a8e7d	B0-Legacy	btree
268326	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree/raw.log.gz	fb0c47ea19433f89e4da7482778fcd5e8a302a138e0141a932aa0ca25db7bd54	B0-Banked	btree
1148628	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21/raw.log.gz	372d3626a8929a85be6aa9a5a75d10cc59b4873aa8704b4a1fee82d1d1a5b7d2	B0-Legacy	FWT_7_21
1183438	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21/raw.log.gz	4f3965094c059626faffcda92b81b1930f1953337b9c6b0f74595338936bb1a8	B0-Banked	FWT_7_21
646563	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19/raw.log.gz	82c81f840771dfcbb6de8a32f2aa4cacb21b57ffbd70f4cba23b9cd1d531d7a6	B0-Legacy	FWT_11_19
650462	NO	/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19/raw.log.gz	348670524c821c23cf3e1be9f0adaf627f62352833e3c3f8bfe2a5c89dafce1f	B0-Banked	FWT_11_19
