config_sha,core_sha,cycles,formal_validity,framework_sha,instructions,normal_simulator_exit,parser_success,payload_consistency,required_artifacts_present,status,terminal_clean,trace,variant,wall_seconds,workload
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,73325,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,56000000,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g,B0-Legacy,465.759,vectorAdd_4M
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,73325,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,56000000,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g,B0-Banked,472.482,vectorAdd_4M
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,2157997,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,1963460720,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g,B0-Legacy,14422.618,scan
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,2157997,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,1963460720,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g,B0-Banked,14954.222,scan
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,23453,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,21131849,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,B0-Legacy,127.003,spmv
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,23453,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,21131849,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,B0-Banked,126.739,spmv
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,290308,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,714547200,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,B0-Legacy,1112.396,convolutionSeparable
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,290308,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,714547200,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,B0-Banked,1155.36,convolutionSeparable
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,79555,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,143129372,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g,B0-Legacy,291.964,cfd_097k
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,81443,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,143129372,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g,B0-Banked,282.928,cfd_097k
