bank_true_conflict_pressure,bank_wait_cycles,descriptor_pool_pressure,dram_bandwidth_util,interpretation,l1_missq_full,line_mshr_pressure,payload_capacity_denial,payload_service_denial,per_address_cap_pressure,scheduler_causal_block,tag_pressure,variant,wad_full_events,wad_hazard_events,window_records,workload
INSUFFICIENT_EVIDENCE,0,STRONG,0.795837193,pressure labels are exact-field event ratios; occupancy alone is not causal,1263518,NONE_OBSERVED,0,0,NONE_OBSERVED,989094,NONE_OBSERVED,LEGACY,0,0,448,vectorAdd_4M
NONE_OBSERVED,0,STRONG,0.795837193,pressure labels are exact-field event ratios; occupancy alone is not causal,1263518,NONE_OBSERVED,0,0,NONE_OBSERVED,989094,NONE_OBSERVED,BANKED,0,0,448,vectorAdd_4M
INSUFFICIENT_EVIDENCE,0,STRONG,0.818652729,pressure labels are exact-field event ratios; occupancy alone is not causal,38533635,NONE_OBSERVED,0,0,NONE_OBSERVED,37119745,WEAK,LEGACY,2318944,585398,13792,scan
NONE_OBSERVED,0,STRONG,0.818652729,pressure labels are exact-field event ratios; occupancy alone is not causal,38533635,NONE_OBSERVED,0,0,NONE_OBSERVED,37119745,WEAK,BANKED,2318944,585398,13792,scan
INSUFFICIENT_EVIDENCE,0,STRONG,0.666052669,pressure labels are exact-field event ratios; occupancy alone is not causal,73304,NONE_OBSERVED,0,0,MODERATE,411,NONE_OBSERVED,LEGACY,0,0,128,spmv
NONE_OBSERVED,0,STRONG,0.666052669,pressure labels are exact-field event ratios; occupancy alone is not causal,73304,NONE_OBSERVED,0,0,MODERATE,411,NONE_OBSERVED,BANKED,0,0,128,spmv
INSUFFICIENT_EVIDENCE,0,STRONG,0.651093299,pressure labels are exact-field event ratios; occupancy alone is not causal,1460359,NONE_OBSERVED,0,0,NONE_OBSERVED,2510412,NONE_OBSERVED,LEGACY,8266,0,1856,convolutionSeparable
NONE_OBSERVED,0,STRONG,0.651093299,pressure labels are exact-field event ratios; occupancy alone is not causal,1460359,NONE_OBSERVED,0,0,NONE_OBSERVED,2510412,NONE_OBSERVED,BANKED,8266,0,1856,convolutionSeparable
INSUFFICIENT_EVIDENCE,0,WEAK,0.176294446,pressure labels are exact-field event ratios; occupancy alone is not causal,780328,NONE_OBSERVED,0,488,NONE_OBSERVED,106679,NONE_OBSERVED,LEGACY,0,9367,480,cfd_097k
MODERATE,16166,NONE_OBSERVED,0.172253655,pressure labels are exact-field event ratios; occupancy alone is not causal,786287,NONE_OBSERVED,0,0,NONE_OBSERVED,104384,NONE_OBSERVED,BANKED,0,9408,512,cfd_097k
INSUFFICIENT_EVIDENCE,0,NONE_OBSERVED,0.272531667,pressure labels are exact-field event ratios; occupancy alone is not causal,1929192,NONE_OBSERVED,0,0,NONE_OBSERVED,281249,NONE_OBSERVED,LEGACY,74044,19521,1056,dwt2d
NONE_OBSERVED,0,NONE_OBSERVED,0.272531667,pressure labels are exact-field event ratios; occupancy alone is not causal,1929192,NONE_OBSERVED,0,0,NONE_OBSERVED,281249,NONE_OBSERVED,BANKED,74044,19521,1056,dwt2d
INSUFFICIENT_EVIDENCE,0,NONE_OBSERVED,0.006725926,pressure labels are exact-field event ratios; occupancy alone is not causal,340795,NONE_OBSERVED,0,2,NONE_OBSERVED,0,NONE_OBSERVED,LEGACY,0,0,704,sad
NONE_OBSERVED,0,NONE_OBSERVED,0.006725926,pressure labels are exact-field event ratios; occupancy alone is not causal,340795,NONE_OBSERVED,0,0,NONE_OBSERVED,0,NONE_OBSERVED,BANKED,0,0,704,sad
INSUFFICIENT_EVIDENCE,0,NONE_OBSERVED,0.046244951,pressure labels are exact-field event ratios; occupancy alone is not causal,331698,NONE_OBSERVED,0,0,WEAK,0,NONE_OBSERVED,LEGACY,0,0,2240,sgemm
NONE_OBSERVED,0,NONE_OBSERVED,0.046244951,pressure labels are exact-field event ratios; occupancy alone is not causal,331698,NONE_OBSERVED,0,0,WEAK,0,NONE_OBSERVED,BANKED,0,0,2240,sgemm
INSUFFICIENT_EVIDENCE,0,NONE_OBSERVED,0.144319716,pressure labels are exact-field event ratios; occupancy alone is not causal,233530,NONE_OBSERVED,0,0,WEAK,0,NONE_OBSERVED,LEGACY,0,0,800,btree
NONE_OBSERVED,0,NONE_OBSERVED,0.144319716,pressure labels are exact-field event ratios; occupancy alone is not causal,233530,NONE_OBSERVED,0,0,WEAK,0,NONE_OBSERVED,BANKED,0,0,800,btree
INSUFFICIENT_EVIDENCE,0,STRONG,0.162919157,pressure labels are exact-field event ratios; occupancy alone is not causal,19940958,NONE_OBSERVED,0,0,NONE_OBSERVED,888688,NONE_OBSERVED,LEGACY,0,286123,3136,FWT_7_21
NONE_OBSERVED,0,STRONG,0.162919157,pressure labels are exact-field event ratios; occupancy alone is not causal,19940958,NONE_OBSERVED,0,0,NONE_OBSERVED,888688,NONE_OBSERVED,BANKED,0,286123,3136,FWT_7_21
INSUFFICIENT_EVIDENCE,0,STRONG,0.031798033,pressure labels are exact-field event ratios; occupancy alone is not causal,2680785,NONE_OBSERVED,0,0,NONE_OBSERVED,0,NONE_OBSERVED,LEGACY,0,0,1088,FWT_11_19
NONE_OBSERVED,0,STRONG,0.031798033,pressure labels are exact-field event ratios; occupancy alone is not causal,2680785,NONE_OBSERVED,0,0,NONE_OBSERVED,0,NONE_OBSERVED,BANKED,0,0,1088,FWT_11_19
