aggregation_scope,banked_bank0_grants,banked_bank0_logical_ops,banked_bank0_true_conflict_ops,banked_bank0_wait_cycles,banked_bank1_grants,banked_bank1_logical_ops,banked_bank1_true_conflict_ops,banked_bank1_wait_cycles,banked_bank2_grants,banked_bank2_logical_ops,banked_bank2_true_conflict_ops,banked_bank2_wait_cycles,banked_bank3_grants,banked_bank3_logical_ops,banked_bank3_true_conflict_ops,banked_bank3_wait_cycles,banked_bank_attempts,banked_bank_grants,banked_bank_logical_ops,banked_bank_retry_attempts,banked_bank_true_conflict_events,banked_bank_true_conflict_ops,banked_bank_true_conflict_rate,banked_bank_wait_cycles,banked_bypass_pending_avg,banked_bypass_ready_avg,banked_chain_depth_avg,banked_chain_depth_max,banked_chain_depth_p95,banked_cycles,banked_descriptor_avg,banked_descriptor_max,banked_descriptor_need,banked_descriptor_p95,banked_descriptor_pool_full_block,banked_dram_bandwidth_util,banked_dram_issue_attempt,banked_dram_successful_read_bytes,banked_dram_successful_read_issues,banked_dram_successful_write_bytes,banked_dram_successful_write_issues,banked_dram_to_l2_return_path_block,banked_instructions,banked_invariants_payload_consistent,banked_invariants_terminal_clean,banked_l1d_accesses,banked_l1d_bank_latency_queue_conflict,banked_l1d_line_alloc_fail,banked_l1d_miss_queue_full,banked_l1d_misses,banked_l1d_mshr_entry_fail,banked_l1d_mshr_merge_fail,banked_l1d_mshr_rw_pending,banked_l2_to_dram_full_block,banked_line_mshr_avg,banked_line_mshr_full_block,banked_line_mshr_max,banked_line_mshr_need,banked_line_mshr_p95,banked_missq_avg,banked_missq_full_block,banked_missq_max,banked_missq_p95,banked_over_legacy,banked_payload_capacity_allocation_denial,banked_payload_service_port_denial,banked_per_address_cap_block,banked_per_address_cap_check,banked_resident_dirty_avg,banked_resident_payload_avg,banked_resident_payload_max,banked_resident_payload_p95,banked_resident_pending_sector_avg,banked_resident_valid_avg,banked_returnq_full_cycles,banked_returnq_occ_avg,banked_returnq_occ_max,banked_scheduler_causal_block,banked_scheduler_full_cycles,banked_scheduler_full_observed,banked_scheduler_occ_avg,banked_scheduler_occ_max,banked_tag_set_all_reserved_block,banked_tag_way_alloc_block,banked_tag_way_alloc_need,banked_wad_avg,banked_wad_full_events,banked_wad_hazard_events,banked_wad_hazard_wait_cycles,banked_wad_max,banked_wad_p95,banked_wall_seconds,banked_window_records,legacy_bank0_grants,legacy_bank0_logical_ops,legacy_bank0_true_conflict_ops,legacy_bank0_wait_cycles,legacy_bank1_grants,legacy_bank1_logical_ops,legacy_bank1_true_conflict_ops,legacy_bank1_wait_cycles,legacy_bank2_grants,legacy_bank2_logical_ops,legacy_bank2_true_conflict_ops,legacy_bank2_wait_cycles,legacy_bank3_grants,legacy_bank3_logical_ops,legacy_bank3_true_conflict_ops,legacy_bank3_wait_cycles,legacy_bank_attempts,legacy_bank_grants,legacy_bank_logical_ops,legacy_bank_retry_attempts,legacy_bank_true_conflict_events,legacy_bank_true_conflict_ops,legacy_bank_true_conflict_rate,legacy_bank_wait_cycles,legacy_bypass_pending_avg,legacy_bypass_ready_avg,legacy_chain_depth_avg,legacy_chain_depth_max,legacy_chain_depth_p95,legacy_cycles,legacy_descriptor_avg,legacy_descriptor_max,legacy_descriptor_need,legacy_descriptor_p95,legacy_descriptor_pool_full_block,legacy_dram_bandwidth_util,legacy_dram_issue_attempt,legacy_dram_successful_read_bytes,legacy_dram_successful_read_issues,legacy_dram_successful_write_bytes,legacy_dram_successful_write_issues,legacy_dram_to_l2_return_path_block,legacy_instructions,legacy_invariants_payload_consistent,legacy_invariants_terminal_clean,legacy_l1d_accesses,legacy_l1d_bank_latency_queue_conflict,legacy_l1d_line_alloc_fail,legacy_l1d_miss_queue_full,legacy_l1d_misses,legacy_l1d_mshr_entry_fail,legacy_l1d_mshr_merge_fail,legacy_l1d_mshr_rw_pending,legacy_l2_to_dram_full_block,legacy_line_mshr_avg,legacy_line_mshr_full_block,legacy_line_mshr_max,legacy_line_mshr_need,legacy_line_mshr_p95,legacy_missq_avg,legacy_missq_full_block,legacy_missq_max,legacy_missq_p95,legacy_over_banked_speedup,legacy_payload_capacity_allocation_denial,legacy_payload_service_port_denial,legacy_per_address_cap_block,legacy_per_address_cap_check,legacy_resident_dirty_avg,legacy_resident_payload_avg,legacy_resident_payload_max,legacy_resident_payload_p95,legacy_resident_pending_sector_avg,legacy_resident_valid_avg,legacy_returnq_full_cycles,legacy_returnq_occ_avg,legacy_returnq_occ_max,legacy_scheduler_causal_block,legacy_scheduler_full_cycles,legacy_scheduler_full_observed,legacy_scheduler_occ_avg,legacy_scheduler_occ_max,legacy_tag_set_all_reserved_block,legacy_tag_way_alloc_block,legacy_tag_way_alloc_need,legacy_wad_avg,legacy_wad_full_events,legacy_wad_hazard_events,legacy_wad_hazard_wait_cycles,legacy_wad_max,legacy_wad_p95,legacy_wall_seconds,legacy_window_records,workload
INTERIM_11_PAIR_ONLY,248616,248616,0,0,251144,251144,0,0,258920,258920,0,0,241320,241320,0,0,1000000,1000000,1000000,0,0,0,0.000000000,0,0,0,3,4,4,73325,223,256,3176663,256,2176663,0.795837193,2089638,32000000,1000000,12869632,100544,0,56000000,1,1,1500000,144409,0,1263518,1500000,0,0,0,2176661,58,0,92,822987,71,42,0,114,NOT_EMITTED,1.0,0,0,0,2353676,291,895,1024,1024,58,839,0,0,1,989094,496563,989094,112,128,0,0,947987,28,0,0,0,95,61,472.482,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,4,4,73325,223,256,3176663,256,2176663,0.795837193,2089638,32000000,1000000,12869632,100544,0,56000000,1,1,1500000,144409,0,1263518,1500000,0,0,0,2176661,58,0,92,822987,71,42,0,114,NOT_EMITTED,1.0,0,0,0,2353676,291,895,1024,1024,58,839,0,0,1,989094,496563,989094,112,128,0,0,947987,28,0,0,0,95,61,465.759,448,vectorAdd_4M
INTERIM_11_PAIR_ONLY,7044581,7044581,0,0,7069598,7069598,0,0,7049440,7049440,0,0,7081359,7081359,0,0,28244978,28244978,28244978,0,0,0,0.000000000,0,0,0,3,32,4,2157997,207,256,83641439,256,60513316,0.818652729,63786355,684980256,21405633,673405056,5260977,0,1963460720,1,1,42764800,55242027,471629,38533635,35947209,124523721,0,0,62160071,60,0,113,20943070,82,60,2053094,128,NOT_EMITTED,1.0,0,0,0,62698369,624,1019,1024,1024,60,967,0,0,1,37119745,18691183,37119745,111,128,222849,222849,24712819,57,2318944,585398,585398,128,108,14954.222,13792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,32,4,2157997,207,256,83641439,256,60513316,0.818652729,63786355,684980256,21405633,673405056,5260977,0,1963460720,1,1,42764800,55242027,471629,38533635,35947209,124523721,0,0,62160071,60,0,113,20943070,82,60,2053094,128,NOT_EMITTED,1.0,0,0,0,62698369,624,1019,1024,1024,60,967,0,0,1,37119745,18691183,37119745,111,128,222849,222849,24712819,57,2318944,585398,585398,128,108,14422.618,13792,scan
INTERIM_11_PAIR_ONLY,112637,112637,0,0,106137,106137,0,0,101051,101051,0,0,102677,102677,0,0,422502,422502,422502,0,0,0,0.000000000,0,0,0,3,32,4,23453,142,256,755597,256,361635,0.666052669,375745,12010688,375334,0,0,0,21131849,1,1,650620,604733,0,73304,432620,1399927,7324,0,348466,41,0,99,184141,87,15,0,76,NOT_EMITTED,1.0,0,0,8598,571456,0,567,1024,1024,41,532,0,0,1,411,217,411,47,128,0,0,179912,0,0,0,0,0,0,126.739,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,32,4,23453,142,256,755597,256,361635,0.666052669,375745,12010688,375334,0,0,0,21131849,1,1,650620,604733,0,73304,432620,1399927,7324,0,348466,41,0,99,184141,87,15,0,76,NOT_EMITTED,1.0,0,0,8598,571456,0,567,1024,1024,41,532,0,0,1,411,217,411,47,128,0,0,179912,0,0,0,0,0,0,127.003,128,spmv
INTERIM_11_PAIR_ONLY,674668,674668,0,0,674943,674943,0,0,696933,696933,0,0,693926,693926,0,0,2740470,2740470,2740470,0,0,0,0.000000000,0,0,0,2,8,4,290308,109,256,5865143,256,3373327,0.651093299,5418276,75504448,2359514,69831744,548350,0,714547200,1,1,5289984,3811459,5179994,1460359,5215696,2242333,0,0,3133633,42,0,126,1958245,112,21,22662,128,NOT_EMITTED,1.0,0,0,0,3906898,459,969,1024,1024,42,943,0,0,1,2510412,1276637,2510412,66,128,0,0,2012678,27,8266,0,0,128,93,1155.36,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,2,8,4,290308,109,256,5865143,256,3373327,0.651093299,5418276,75504448,2359514,69831744,548350,0,714547200,1,1,5289984,3811459,5179994,1460359,5215696,2242333,0,0,3133633,42,0,126,1958245,112,21,22662,128,NOT_EMITTED,1.0,0,0,0,3906898,459,969,1024,1024,42,943,0,0,1,2510412,1276637,2510412,66,128,0,0,2012678,27,8266,0,0,128,93,1112.396,1856,convolutionSeparable
INTERIM_11_PAIR_ONLY,224017,224017,3386,3386,290410,290410,2857,2857,289617,289617,4221,4221,289422,289422,5702,5702,1109632,1093466,1093466,16166,16166,16166,0.014784182,16166,0,0,3,4,4,81443,14,251,212597,143,0,0.172253655,348079,6802048,212564,3984768,31131,0,143129372,1,1,1539872,634969,1250,786287,1333347,461031,0,0,0,3,0,64,53454,38,0,0,69,NOT_EMITTED,1.023732009,0,0,0,159143,492,762,1024,1024,3,759,0,0,1,104384,57659,104384,13,128,0,0,113103,2,0,9408,9408,66,29,282.928,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,5,4,79555,14,256,212610,139,64,0.176294446,350321,6800768,212524,3983104,31118,0,143129372,1,1,1539872,628708,498,780328,1328553,454367,0,0,64,3,0,68,53418,37,0,0,80,NOT_EMITTED,0.976818143,0,488,0,159192,493,756,1024,1024,3,753,0,0,1,106679,58412,106679,13,128,0,0,113091,2,0,9367,9367,65,29,291.964,480,cfd_097k
INTERIM_11_PAIR_ONLY,199200,199200,0,0,216376,216376,0,0,219144,219144,0,0,212654,212654,0,0,847374,847374,847374,0,0,0,0.000000000,0,0,0,3,9,4,166961,15,233,446140,104,0,0.272531667,883065,14015232,437976,20971520,163840,0,148684429,1,1,1704000,602591,0,1929192,1641970,0,0,0,0,4,0,59,111818,28,0,0,120,NOT_EMITTED,1.0,0,0,0,334322,584,967,1024,1024,4,963,0,0,1,281249,161970,281249,17,128,0,0,306102,8,74044,19521,19521,128,48,407.366,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,9,4,166961,15,233,446140,104,0,0.272531667,883065,14015232,437976,20971520,163840,0,148684429,1,1,1704000,602591,0,1929192,1641970,0,0,0,0,4,0,59,111818,28,0,0,120,NOT_EMITTED,1.0,0,0,0,334322,584,967,1024,1024,4,963,0,0,1,281249,161970,281249,17,128,0,0,306102,8,74044,19521,19521,128,48,424.503,1056,dwt2d
INTERIM_11_PAIR_ONLY,40709,40709,0,0,46105,46105,0,0,51489,51489,0,0,50523,50523,0,0,188826,188826,188826,0,0,0,0.000000000,0,0,0,5,16,16,110653,0,84,6402,0,0,0.006725926,5958,63456,1983,508800,3975,0,157583646,1,1,505098,17622,0,340795,422873,0,0,0,0,0,0,7,848,0,0,0,1,NOT_EMITTED,1.0,0,0,0,5554,296,301,1024,962,0,301,0,0,1,0,0,0,0,10,0,0,69907,0,0,0,0,10,0,362.221,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,5,16,16,110653,0,84,6402,0,0,0.006725926,5958,63456,1983,508800,3975,0,157583646,1,1,505098,17622,0,340795,422873,0,0,0,0,0,0,7,848,0,0,0,1,NOT_EMITTED,1.0,0,2,0,5554,296,301,1024,962,0,301,0,0,1,0,0,0,0,10,0,0,69907,0,0,0,0,10,0,319.219,704,sad
INTERIM_11_PAIR_ONLY,457720,457720,0,0,443460,443460,0,0,465366,465366,0,0,453352,453352,0,0,1819898,1819898,1819898,0,0,0,0.000000000,0,0,0,6,32,16,353756,5,120,1162247,30,0,0.046244951,393088,12578816,393088,0,0,0,1658916864,1,1,9698304,329353,0,331698,2452480,0,0,0,0,0,0,22,116218,3,0,0,1,NOT_EMITTED,1.0,0,0,1409,1046029,13,521,1024,1024,0,520,0,0,1,0,0,0,0,37,0,0,98272,0,0,0,0,0,0,815.565,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,6,32,16,353756,5,120,1162247,30,0,0.046244951,393088,12578816,393088,0,0,0,1658916864,1,1,9698304,329353,0,331698,2452480,0,0,0,0,0,0,22,116218,3,0,0,1,NOT_EMITTED,1.0,0,0,1409,1046029,13,521,1024,1024,0,520,0,0,1,0,0,0,0,37,0,0,98272,0,0,0,0,0,0,824.269,2240,sgemm
INTERIM_11_PAIR_ONLY,474909,474909,0,0,279352,279352,0,0,293926,293926,0,0,322647,322647,0,0,1370834,1370834,1370834,0,0,0,0.000000000,0,0,0,3,32,4,126259,9,253,477174,48,0,0.144319716,436600,13958016,436188,52736,412,0,444467849,1,1,4249841,346228,0,233530,1340267,0,527591,0,0,2,0,69,139249,15,0,0,23,NOT_EMITTED,1.0,0,0,674,337925,16,717,1020,1004,2,714,0,0,1,0,0,0,3,92,0,0,135047,0,0,0,0,3,0,419.707,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,32,4,126259,9,253,477174,48,0,0.144319716,436600,13958016,436188,52736,412,0,444467849,1,1,4249841,346228,0,233530,1340267,0,527591,0,0,2,0,69,139249,15,0,0,23,NOT_EMITTED,1.0,0,0,674,337925,16,717,1020,1004,2,714,0,0,1,0,0,0,3,92,0,0,135047,0,0,0,0,3,0,414.948,800,btree
INTERIM_11_PAIR_ONLY,2556304,2556304,0,0,2557404,2557404,0,0,2555924,2555924,0,0,2553984,2553984,0,0,10223616,10223616,10223616,0,0,0,0.000000000,0,0,0,3,4,4,493466,25,256,2408066,255,1189823,0.162919157,2284400,38945024,1217032,22871040,178680,0,791609344,1,1,10223616,8909207,0,19940958,5242880,4709556,0,0,1190064,7,0,102,596844,73,4,1631,128,NOT_EMITTED,1.0,0,0,0,1811222,930,998,1024,1024,7,992,0,0,1,888688,483384,888688,18,128,0,0,594069,4,0,286123,286123,115,48,1213.806,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,0,0,3,4,4,493466,25,256,2408066,255,1189823,0.162919157,2284400,38945024,1217032,22871040,178680,0,791609344,1,1,10223616,8909207,0,19940958,5242880,4709556,0,0,1190064,7,0,102,596844,73,4,1631,128,NOT_EMITTED,1.0,0,0,0,1811222,930,998,1024,1024,7,992,0,0,1,888688,483384,888688,18,128,0,0,594069,4,0,286123,286123,115,48,1236.671,3136,FWT_7_21
