dram_bandwidth_util,dram_issue_attempt,dram_successful_read_bytes,dram_successful_read_issues,dram_successful_write_bytes,dram_successful_write_issues,dram_to_l2_return_path_block,l2_to_dram_full_block,missq_avg,missq_full_block,missq_max,missq_p95,returnq_full_cycles,returnq_occ_avg,returnq_occ_max,scheduler_causal_block,scheduler_full_cycles,scheduler_full_observed,scheduler_occ_avg,scheduler_occ_max,variant,workload
0.795837193,2089638,32000000,1000000,12869632,100544,0,2176661,42,0,114,NOT_EMITTED,0,0,1,989094,496563,989094,112,128,LEGACY,vectorAdd_4M
0.795837193,2089638,32000000,1000000,12869632,100544,0,2176661,42,0,114,NOT_EMITTED,0,0,1,989094,496563,989094,112,128,BANKED,vectorAdd_4M
0.818652729,63786355,684980256,21405633,673405056,5260977,0,62160071,60,2053094,128,NOT_EMITTED,0,0,1,37119745,18691183,37119745,111,128,LEGACY,scan
0.818652729,63786355,684980256,21405633,673405056,5260977,0,62160071,60,2053094,128,NOT_EMITTED,0,0,1,37119745,18691183,37119745,111,128,BANKED,scan
0.666052669,375745,12010688,375334,0,0,0,348466,15,0,76,NOT_EMITTED,0,0,1,411,217,411,47,128,LEGACY,spmv
0.666052669,375745,12010688,375334,0,0,0,348466,15,0,76,NOT_EMITTED,0,0,1,411,217,411,47,128,BANKED,spmv
0.651093299,5418276,75504448,2359514,69831744,548350,0,3133633,21,22662,128,NOT_EMITTED,0,0,1,2510412,1276637,2510412,66,128,LEGACY,convolutionSeparable
0.651093299,5418276,75504448,2359514,69831744,548350,0,3133633,21,22662,128,NOT_EMITTED,0,0,1,2510412,1276637,2510412,66,128,BANKED,convolutionSeparable
0.176294446,350321,6800768,212524,3983104,31118,0,64,0,0,80,NOT_EMITTED,0,0,1,106679,58412,106679,13,128,LEGACY,cfd_097k
0.172253655,348079,6802048,212564,3984768,31131,0,0,0,0,69,NOT_EMITTED,0,0,1,104384,57659,104384,13,128,BANKED,cfd_097k
0.272531667,883065,14015232,437976,20971520,163840,0,0,0,0,120,NOT_EMITTED,0,0,1,281249,161970,281249,17,128,LEGACY,dwt2d
0.272531667,883065,14015232,437976,20971520,163840,0,0,0,0,120,NOT_EMITTED,0,0,1,281249,161970,281249,17,128,BANKED,dwt2d
0.006725926,5958,63456,1983,508800,3975,0,0,0,0,1,NOT_EMITTED,0,0,1,0,0,0,0,10,LEGACY,sad
0.006725926,5958,63456,1983,508800,3975,0,0,0,0,1,NOT_EMITTED,0,0,1,0,0,0,0,10,BANKED,sad
0.046244951,393088,12578816,393088,0,0,0,0,0,0,1,NOT_EMITTED,0,0,1,0,0,0,0,37,LEGACY,sgemm
0.046244951,393088,12578816,393088,0,0,0,0,0,0,1,NOT_EMITTED,0,0,1,0,0,0,0,37,BANKED,sgemm
0.144319716,436600,13958016,436188,52736,412,0,0,0,0,23,NOT_EMITTED,0,0,1,0,0,0,3,92,LEGACY,btree
0.144319716,436600,13958016,436188,52736,412,0,0,0,0,23,NOT_EMITTED,0,0,1,0,0,0,3,92,BANKED,btree
0.162919157,2284400,38945024,1217032,22871040,178680,0,1190064,4,1631,128,NOT_EMITTED,0,0,1,888688,483384,888688,18,128,LEGACY,FWT_7_21
0.162919157,2284400,38945024,1217032,22871040,178680,0,1190064,4,1631,128,NOT_EMITTED,0,0,1,888688,483384,888688,18,128,BANKED,FWT_7_21
0.031798033,131072,4194304,131072,0,0,0,119765,1,0,79,NOT_EMITTED,0,0,1,0,0,0,0,42,LEGACY,FWT_11_19
0.031798033,131072,4194304,131072,0,0,0,119765,1,0,79,NOT_EMITTED,0,0,1,0,0,0,0,42,BANKED,FWT_11_19
