dram_channel_window_records,l2_window_records,variant,workload
448,448,LEGACY,vectorAdd_4M
448,448,BANKED,vectorAdd_4M
13792,13792,LEGACY,scan
13792,13792,BANKED,scan
128,128,LEGACY,spmv
128,128,BANKED,spmv
1856,1856,LEGACY,convolutionSeparable
1856,1856,BANKED,convolutionSeparable
480,480,LEGACY,cfd_097k
512,512,BANKED,cfd_097k
1056,1056,LEGACY,dwt2d
1056,1056,BANKED,dwt2d
704,704,LEGACY,sad
704,704,BANKED,sad
2240,2240,LEGACY,sgemm
2240,2240,BANKED,sgemm
800,800,LEGACY,btree
800,800,BANKED,btree
3136,3136,LEGACY,FWT_7_21
3136,3136,BANKED,FWT_7_21
1088,1088,LEGACY,FWT_11_19
1088,1088,BANKED,FWT_11_19
