workload,variant,lower_issue_q_avg,lower_issue_q_p95,lower_issue_q_max,l2_to_dram_avg,l2_to_dram_p95,l2_to_dram_max,l2_to_dram_full,dram_to_l2,scheduler_block_events,dram_bw_util,mshr_pending_lifetime
FWT_11_19,B0-Banked,3,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,119106,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
FWT_11_19,B0-Legacy,3,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,119765,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
FWT_7_21,B0-Banked,7,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,1064160,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
FWT_7_21,B0-Legacy,9,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,1190064,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
btree,B0-Banked,0,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
btree,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
cfd_097k,B0-Banked,3,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,234,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
cfd_097k,B0-Legacy,2,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,64,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
convolutionSeparable,B0-Banked,43,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,2654659,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
convolutionSeparable,B0-Legacy,48,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,3133633,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
dwt2d,B0-Banked,4,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
dwt2d,B0-Legacy,4,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Banked,0,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Banked,0,NOT_EMITTED_BY_EPL2B0V1,5,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,5,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Banked,0,NOT_EMITTED_BY_EPL2B0V1,18,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,23,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Banked,65,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,320909,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Legacy,67,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,348466,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Banked,111,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,2141755,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Legacy,112,NOT_EMITTED_BY_EPL2B0V1,128,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,2176661,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
