suite,application,input_or_dataset,asset_family,trace_list,trace_tree_bytes,kernel_count,trace_reported_insts,trace_stats_status,same_tree_historical_result,kernel_symbols,sass_binary_version,trace_sha256,kernelslist_sha256,runnable_status,missing_kernel_files,provenance_path,tracer_sha256,cuda_nvcc,capture_gpu,capture_case,framework_at_capture,provenance_missing
PolyBench,polybench-2DConvolution,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-2DConvolution/NO_ARGS/traces/kernelslist.g,840990934,1,20440576,available,MISSING (no result adjacent to this trace asset),_Z20Convolution2D_kernelPfS_,70,MISSING (no recorded per-trace SHA256),23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-3mm,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g,2918140935,3,56745984,available,MISSING (no result adjacent to this trace asset),_Z11mm3_kernel1PfS_S_;_Z11mm3_kernel2PfS_S_;_Z11mm3_kernel3PfS_S_,70,MISSING (no recorded per-trace SHA256),024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-atax,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-atax/NO_ARGS/traces/kernelslist.g,238280936,2,4552832,available,MISSING (no result adjacent to this trace asset),_Z12atax_kernel1PfS_S_;_Z12atax_kernel2PfS_S_,70,MISSING (no recorded per-trace SHA256),b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-bicg,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g,238281448,2,4552832,available,MISSING (no result adjacent to this trace asset),_Z12bicg_kernel1PfS_S_;_Z12bicg_kernel2PfS_S_,70,MISSING (no recorded per-trace SHA256),388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-gemm,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g,1110675117,1,23126016,available,MISSING (no result adjacent to this trace asset),_Z11gemm_kernelPfS_S_,70,MISSING (no recorded per-trace SHA256),fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-gesummv,NO_ARGS,V100-NVBit-staged,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces/kernelslist.g,316381690,1,5966592,available,MISSING (no result adjacent to this trace asset),_Z14gesummv_kernelPfS_S_S_S_,70,MISSING (no recorded per-trace SHA256),ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
UNKNOWN,ccws-baseline-traces,srad_v1_1of40_trim,trimmed-derived,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/ccws-baseline-traces/srad_v1_1of40_trim/traces/kernelslist.g,531327305,502,MISSING,MISSING stats.csv,MISSING (no result adjacent to this trace asset),_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_;_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_;_Z6reduceliiPfS_;_Z7extractlPf;_Z7preparelPfS_S_;_Z8compresslPf,70,MISSING (no recorded per-trace SHA256),2f8045a55fa10cfcb9a6bb1921351cbd8f5cdda00351166a0c5c45f9103d3044,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
UNKNOWN,ccws-baseline-traces,srad_v1_1of40_trim.incomplete-20260816_011442,trimmed-derived,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/ccws-baseline-traces/srad_v1_1of40_trim.incomplete-20260816_011442/traces/kernelslist.g,130542341,502,MISSING,MISSING stats.csv,MISSING (no result adjacent to this trace asset),<missing-trace-file>;_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_;_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_;_Z6reduceliiPfS_;_Z7extractlPf;_Z7preparelPfS_S_,70,MISSING (no recorded per-trace SHA256),2f8045a55fa10cfcb9a6bb1921351cbd8f5cdda00351166a0c5c45f9103d3044,NOT runnable: referenced trace missing,379,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-mvt,NO_ARGS,historical-diagnosis-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-bank-diagnosis/20260825-b07c0ad-full/traces/polybench/11.0/polybench-mvt/NO_ARGS/traces/kernelslist.g,238280934,2,4552832,available,MISSING (no result adjacent to this trace asset),_Z11mvt_kernel1PfS_S_;_Z11mvt_kernel2PfS_S_,70,MISSING (no recorded per-trace SHA256),f3f1e934a86753827094baaf935235d056d88241aec50ba7ccff99425c869944,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-syrk,NO_ARGS,historical-diagnosis-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-bank-diagnosis/20260825-b07c0ad-full/traces/polybench/11.0/polybench-syrk/NO_ARGS/traces/kernelslist.g,8701427470,1,175931392,available,MISSING (no result adjacent to this trace asset),_Z11syrk_kernelffPfS_,70,MISSING (no recorded per-trace SHA256),1e2783e4e092143278ae7a70c6d4c4c18596be7cd069899b0715b8a995cf96af,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
