block_dataport_blocked,block_dataport_eligible,block_dataport_episodes,block_dataport_ratio,block_dataport_requests,block_missq_blocked,block_missq_eligible,block_missq_episodes,block_missq_ratio,block_missq_requests,block_mshr_merge_blocked,block_mshr_merge_eligible,block_mshr_merge_episodes,block_mshr_merge_ratio,block_mshr_merge_requests,block_mshr_new_blocked,block_mshr_new_eligible,block_mshr_new_episodes,block_mshr_new_ratio,block_mshr_new_requests,block_mshr_rw_pending_blocked,block_mshr_rw_pending_eligible,block_mshr_rw_pending_episodes,block_mshr_rw_pending_ratio,block_mshr_rw_pending_requests,block_respq_blocked,block_respq_eligible,block_respq_episodes,block_respq_ratio,block_respq_requests,block_set_blocked,block_set_eligible,block_set_episodes,block_set_ratio,block_set_requests,cycles,cycles_any_set_all_reserved,data_accept_dirty,data_accept_hit,data_accept_other,data_busy_ratio,dirty_avg,dirty_cap,dirty_full_ratio,dirty_max,dirty_p50,dirty_p95,dirty_util_avg,dram_issue_credit,dram_issue_eligible,dram_issue_returnq,dram_issue_scheduler,dram_read_credit,dram_read_returnq,dram_read_scheduler,dram_return_blocked,dram_return_eligible,dram_return_episodes,dram_return_ratio,dram_return_requests,dram_wb_credit,dram_wb_scheduler,draml2q_avg,draml2q_cap,draml2q_full_ratio,draml2q_max,draml2q_p50,draml2q_p95,draml2q_util_avg,fill_blocked,fill_busy_ratio,fill_eligible,fill_episodes,fill_ratio,fill_requests,icntl2q_avg,icntl2q_cap,icntl2q_full_ratio,icntl2q_max,icntl2q_p50,icntl2q_p95,icntl2q_util_avg,l2dram_bytes,l2dram_requests,l2dram_wb_bytes,l2dram_wb_requests,l2dramq_avg,l2dramq_cap,l2dramq_full_ratio,l2dramq_max,l2dramq_p50,l2dramq_p95,l2dramq_util_avg,l2icntq_avg,l2icntq_cap,l2icntq_full_ratio,l2icntq_max,l2icntq_p50,l2icntq_p95,l2icntq_util_avg,lower_drain_blocked,lower_drain_eligible,lower_drain_episodes,lower_drain_ratio,lower_drain_requests,max_reserved_ways_any_set,merge_depth_avg,merge_depth_cap,merge_depth_full_ratio,merge_depth_max,merge_depth_p50,merge_depth_p95,merge_depth_util_avg,merge_limit_entries_avg,merge_limit_entries_cap,merge_limit_entries_full_ratio,merge_limit_entries_max,merge_limit_entries_p50,merge_limit_entries_p95,merge_limit_entries_util_avg,missq_avg,missq_cap,missq_demand_avg,missq_demand_cap,missq_demand_full_ratio,missq_demand_max,missq_demand_p50,missq_demand_p95,missq_demand_util_avg,missq_full_ratio,missq_max,missq_other_avg,missq_other_cap,missq_other_full_ratio,missq_other_max,missq_other_p50,missq_other_p95,missq_other_util_avg,missq_p50,missq_p95,missq_util_avg,missq_wb_avg,missq_wb_cap,missq_wb_full_ratio,missq_wb_max,missq_wb_p50,missq_wb_p95,missq_wb_util_avg,mshr_avg,mshr_cap,mshr_full_ratio,mshr_lifetime_drain_avg,mshr_lifetime_drain_cap,mshr_lifetime_drain_full_ratio,mshr_lifetime_drain_max,mshr_lifetime_drain_p50,mshr_lifetime_drain_p95,mshr_lifetime_drain_util_avg,mshr_lifetime_pending_avg,mshr_lifetime_pending_cap,mshr_lifetime_pending_full_ratio,mshr_lifetime_pending_max,mshr_lifetime_pending_p50,mshr_lifetime_pending_p95,mshr_lifetime_pending_util_avg,mshr_lifetime_total_avg,mshr_lifetime_total_cap,mshr_lifetime_total_full_ratio,mshr_lifetime_total_max,mshr_lifetime_total_p50,mshr_lifetime_total_p95,mshr_lifetime_total_util_avg,mshr_max,mshr_p50,mshr_p95,mshr_ready_avg,mshr_ready_cap,mshr_ready_full_ratio,mshr_ready_max,mshr_ready_p50,mshr_ready_p95,mshr_ready_util_avg,mshr_response_blocked,mshr_response_eligible,mshr_response_episodes,mshr_response_ratio,mshr_response_requests,mshr_target_avg,mshr_target_cap,mshr_target_full_ratio,mshr_target_max,mshr_target_p50,mshr_target_p95,mshr_target_util_avg,mshr_util_avg,reserved_avg,reserved_cap,reserved_full_ratio,reserved_max,reserved_p50,reserved_p95,reserved_util_avg,rop_avg,rop_cap,rop_full_ratio,rop_input_blocked,rop_input_eligible,rop_input_episodes,rop_input_ratio,rop_input_requests,rop_max,rop_p50,rop_p95,rop_util_avg,schema_version,set_reserved_avg,set_reserved_cap,set_reserved_fraction_0,set_reserved_fraction_1plus,set_reserved_fraction_all,set_reserved_fraction_half_or_more,set_reserved_full_ratio,set_reserved_max,set_reserved_p50,set_reserved_p95,set_reserved_util_avg,sets_all_ways_reserved_avg,sets_all_ways_reserved_max,slice,valid_avg,valid_cap,valid_full_ratio,valid_max,valid_p50,valid_p95,valid_util_avg,wb_bytes,wb_requests
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.88193,768,0.0,20,0,8,0.001148,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.661448,64,0.012462,64,0,21,0.041585,0.030516,64,0.0,3,0,0,0.000477,39,207,0,0.188406,0,2,0.095542,4,0.0,1,0,1,0.023886,0.0,192,0.0,0,0,0,0.0,0.016297,32,0.016297,32,0.0,4,0,0,0.000509,0.0,4,0.0,32,0.0,0,0,0,0.0,0,0,0.000509,0.0,32,0.0,0,0,0,0.0,6.475156,192,0.0,1.0,0,0.0,1,1,1,0.0,240.238095,0,0.0,358,241,348,0.0,241.238095,0,0.0,359,242,349,0.0,121,0,65,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.475156,768,0.0,121,0,65,0.008431,0.033725,2.283272,768,0.0,36,0,29,0.002973,6.379294,0,0.0,0,248,0,0.0,0,121,0,33,0.0,L2CHARV1,0.071352,24,0.935957,0.0640428,0,0,0.0,2,0,1,0.002973,0,0,0,48.903819,768,0.0,104,42,92,0.063677,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.919636,768,0.0,20,0,9,0.001197,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.683815,64,0.01406,64,0,21,0.041935,0.030516,64,0.0,2,0,0,0.000477,49,217,0,0.225806,0,2,0.092667,4,0.0,1,0,1,0.023167,0.0,192,0.0,0,0,0,0.0,0.025723,32,0.025723,32,0.0,5,0,0,0.000804,0.0,5,0.0,32,0.0,0,0,0,0.0,0,0,0.000804,0.0,32,0.0,0,0,0,0.0,6.478032,192,0.0,1.0,0,0.0,1,1,1,0.0,240.345238,0,0.0,355,251,324,0.0,241.345238,0,0.0,356,252,325,0.0,122,0,69,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.478032,768,0.0,122,0,69,0.008435,0.03374,2.290462,768,0.0,36,0,28,0.002982,6.379294,0,0.0,0,248,0,0.0,0,118,0,36,0.0,L2CHARV1,0.071577,24,0.935852,0.0641476,0,0,0.0,2,0,1,0.002982,0,0,1,48.936891,768,0.0,104,42,93,0.06372,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.793737,768,0.0,20,0,8,0.001034,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.76418,64,0.017095,64,0,23,0.04319,0.026841,64,0.0,1,0,0,0.000419,60,228,0,0.263158,0,2,0.096022,4,0.0,1,0,1,0.024005,0.0,192,0.0,0,0,0,0.0,0.119029,32,0.119029,32,0.0,13,0,0,0.00372,0.0,13,0.0,32,0.0,0,0,0,0.0,0,0,0.00372,0.0,32,0.0,0,0,0,0.0,6.699633,192,0.0,1.0,0,0.0,1,1,1,0.0,248.60119,0,0.0,379,250,358,0.0,249.60119,0,0.0,380,251,359,0.0,130,0,70,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.699633,768,0.0,130,0,70,0.008723,0.034894,2.316664,768,0.0,37,0,28,0.003016,6.379294,0,0.0,0,248,0,0.0,0,128,0,40,0.0,L2CHARV1,0.072396,24,0.93419,0.0658102,0,0,0.0,2,0,1,0.003016,0,0,2,48.811951,768,0.0,104,42,92,0.063557,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.796613,768,0.0,20,0,6,0.001037,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.787826,64,0.017255,64,0,23,0.04356,0.02796,64,0.0,2,0,0,0.000437,65,233,0,0.27897,0,2,0.093465,4,0.0,1,0,1,0.023366,0.0,192,0.0,0,0,0,0.0,0.142355,32,0.142355,32,0.0,16,0,0,0.004449,0.0,16,0.0,32,0.0,0,0,0,0.0,0,0,0.004449,0.0,32,0.0,0,0,0,0.0,6.71497,192,0.0,1.0,0,0.0,1,1,1,0.0,249.172619,0,0.0,384,250,365,0.0,250.172619,0,0.0,385,251,366,0.0,132,0,67,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.71497,768,0.0,132,0,67,0.008743,0.034974,2.339831,768,0.0,37,0,28,0.003047,6.379294,0,0.0,0,248,0,0.0,0,129,0,36,0.0,L2CHARV1,0.07312,24,0.933551,0.0664493,0,0,0.0,2,0,1,0.003047,0,0,3,48.816105,768,0.0,104,42,90,0.063563,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,1.028599,768,0.0,20,0,10,0.001339,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.367151,64,0.002876,64,0,15,0.036987,0.031155,64,0.0,3,0,0,0.000487,9,177,0,0.050847,0,2,0.094744,4,0.0,1,0,1,0.023686,0.0,192,0.0,0,0,0,0.0,0.004154,32,0.004154,32,0.0,3,0,0,0.00013,0.0,3,0.0,32,0.0,0,0,0,0.0,0,0,0.00013,0.0,32,0.0,0,0,0,0.0,6.169196,192,0.0,1.0,0,0.0,1,1,1,0.0,228.839286,0,0.0,336,226,327,0.0,229.839286,0,0.0,337,227,328,0.0,119,0,63,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.169196,768,0.0,119,0,63,0.008033,0.032131,2.183256,768,0.0,36,0,26,0.002843,6.379294,0,0.0,0,248,0,0.0,0,114,0,40,0.0,L2CHARV1,0.068227,24,0.941235,0.0587654,0,0,0.0,2,0,1,0.002843,0,0,4,48.970283,768,0.0,104,42,94,0.063763,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.872344,768,0.0,20,0,7,0.001136,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.434734,64,0.006391,64,0,15,0.038043,0.033392,64,0.0,4,0,0,0.000522,13,181,0,0.071823,0,2,0.094104,4,0.0,1,0,1,0.023526,0.0,192,0.0,0,0,0,0.0,0.003195,32,0.003195,32,0.0,2,0,0,0.0001,0.0,2,0.0,32,0.0,0,0,0,0.0,0,0,0.0001,0.0,32,0.0,0,0,0,0.0,6.255951,192,0.0,1.0,0,0.0,1,1,1,0.0,232.071429,0,0.0,345,235,325,0.0,233.071429,0,0.0,346,236,326,0.0,119,0,64,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.255951,768,0.0,119,0,64,0.008146,0.032583,2.230069,768,0.0,36,0,28,0.002904,6.379294,0,0.0,0,248,0,0.0,0,118,0,36,0.0,L2CHARV1,0.06969,24,0.940311,0.059689,0,0,0.0,2,0,1,0.002904,0,0,5,48.820259,768,0.0,104,42,91,0.063568,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,1.016616,768,0.0,20,0,10,0.001324,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.272248,64,0.00687,64,0,14,0.035504,0.037865,64,0.0,5,0,0,0.000592,25,193,0,0.129534,0,2,0.09714,4,0.0,1,0,1,0.024285,0.0,192,0.0,0,0,0,0.0,0.015178,32,0.015178,32,0.0,4,0,0,0.000474,0.0,4,0.0,32,0.0,0,0,0,0.0,0,0,0.000474,0.0,32,0.0,0,0,0,0.0,6.119508,192,0.0,1.0,0,0.0,1,1,1,0.0,226.988095,0,0.0,375,220,350,0.0,227.988095,0,0.0,376,221,351,0.0,121,0,63,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.119508,768,0.0,121,0,63,0.007968,0.031872,2.202908,768,0.0,36,0,24,0.002868,6.379294,0,0.0,0,248,0,0.0,0,122,0,35,0.0,L2CHARV1,0.068841,24,0.939882,0.0601184,0,0,0.0,2,0,1,0.002868,0,0,6,48.9583,768,0.0,104,42,94,0.063748,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,1.005432,768,0.0,20,0,9,0.001309,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,2.288385,64,0.007669,64,0,14,0.035756,0.037546,64,0.0,4,0,0,0.000587,26,194,0,0.134021,0,2,0.092027,4,0.0,1,0,1,0.023007,0.0,192,0.0,0,0,0,0.0,0.022048,32,0.022048,32,0.0,6,0,0,0.000689,0.0,6,0.0,32,0.0,0,0,0,0.0,0,0,0.000689,0.0,32,0.0,0,0,0,0.0,6.075092,192,0.0,1.0,0,0.0,1,1,1,0.0,225.333333,0,0.0,363,221,317,0.0,226.333333,0,0.0,364,222,318,0.0,122,0,62,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,6.075092,768,0.0,122,0,62,0.00791,0.031641,2.189807,768,0.0,36,0,24,0.002851,6.379294,0,0.0,0,248,0,0.0,0,124,0,36,0.0,L2CHARV1,0.068431,24,0.940625,0.0593745,0,0,0.0,2,0,1,0.002851,0,0,7,48.935133,768,0.0,104,42,93,0.063718,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.837674,768,0.0,20,0,7,0.001091,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,1.869148,64,0.0,54,0,19,0.029205,0.029557,64,0.0,4,0,0,0.000462,0,168,0,0.0,0,2,0.094104,4,0.0,1,0,1,0.023526,0.0,192,0.0,0,0,0,0.0,0.0,32,0.0,32,0.0,0,0,0,0.0,0.0,0,0.0,32,0.0,0,0,0,0.0,0,0,0.0,0.0,32,0.0,0,0,0,0.0,5.589232,192,0.0,1.0,0,0.0,1,1,1,0.0,207.232143,0,0.0,329,198,277,0.0,208.232143,0,0.0,330,199,278,0.0,101,0,63,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,5.589232,768,0.0,101,0,63,0.007278,0.029111,1.604889,768,0.0,30,0,18,0.00209,6.379294,0,0.0,0,248,0,0.0,0,96,0,54,0.0,L2CHARV1,0.050153,24,0.95167,0.0483304,0,0,0.0,2,0,0,0.00209,0,0,8,48.52101,768,0.0,104,42,91,0.063178,0,0
0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,168,0,0.0,0,0,0,0,0.0,0,0,80,0,0.0,0,0,248,0,0.0,0,6259,0,0,0,0,0.0,0.977952,768,0.0,20,0,9,0.001273,0,168,0,0,0,0,0,0,168,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,168,0,0.0,0,0.039623,64,0.0,1,0,0,0.000619,5376,168,0,0,1.896948,64,0.0,53,0,21,0.02964,0.040741,64,0.0,5,0,0,0.000637,0,168,0,0.0,0,2,0.096661,4,0.0,1,0,1,0.024165,0.0,192,0.0,0,0,0,0.0,0.0,32,0.0,32,0.0,0,0,0,0.0,0.0,0,0.0,32,0.0,0,0,0,0.0,0,0,0.0,0.0,32,0.0,0,0,0,0.0,5.696437,192,0.0,1.0,0,0.0,1,1,1,0.0,211.22619,0,0.0,325,207,274,0.0,212.22619,0,0.0,326,208,275,0.0,107,0,64,0.026841,192,0.0,1,0,0,0.00014,0,168,0,0.0,0,5.696437,768,0.0,107,0,64,0.007417,0.029669,1.610481,768,0.0,33,0,18,0.002097,6.379294,0,0.0,0,248,0,0.0,0,96,0,54,0.0,L2CHARV1,0.050328,24,0.951695,0.0483054,0,0,0.0,2,0,0,0.002097,0,0,9,48.654258,768,0.0,104,42,93,0.063352,0,0
