expert	assignments
0	10
1	287
2	0
3	0
4	1
5	0
6	1
7	0
8	46
9	45
10	2
11	1406
12	1
13	0
14	4
15	5
16	0
17	26
18	1425
19	631
20	378
21	250
22	1
23	152
24	120
25	3
26	10
27	0
28	1602
29	3
30	1
31	0
32	7
33	247
34	1
35	163
36	4
37	775
38	11
39	5
40	3
41	401
42	0
43	14
44	0
45	117
46	6
47	373
48	0
49	44
50	9
51	0
52	16
53	3
54	459
55	0
56	12
57	511
58	4
59	211
60	0
61	0
62	1174
63	0
64	29
65	51
66	0
67	13
68	0
69	6
70	0
71	0
72	0
73	6
74	1
75	11
76	19
77	108
78	205
79	14
80	3
81	0
82	1
83	0
84	19
85	357
86	0
87	0
88	0
89	424
90	0
91	1074
92	128
93	0
94	3
95	6
96	41
97	0
98	1
99	8
100	5
101	529
102	1
103	16
104	0
105	2
106	310
107	8
108	793
109	104
110	1
111	421
112	13
113	2
114	4
115	18
116	0
117	0
118	3
119	23
120	0
121	0
122	135
123	10
124	14
125	457
126	0
127	7
