kind	identity	path_or_type	sha256_or_commit
B0	L1:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_WARP_REFERENCE_10_80/run.log	52064eb87faff4ec4783f92796aa7f9443ea98111ca7ea90d0a2c3c80af6656e
B0	L1:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_WARP_REFERENCE_10_80/command.json	8d52e213676dabcabdef71e3b725025c02e27870b4fceaf4439656cde8b6472d
B0	L1:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_WARP_REFERENCE_10_80/grammar.json	00b606f045da1ce3feee19b5bfaf5bf3b37559007e3cbbf0e9290268f38c7839
B0	L1:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_WARP_REFERENCE_10_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B0	L1:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_WARP_REFERENCE_10_80/wall_seconds.txt	adb88dec08a483ef76ff64fe231c511c56262905d001ceec6001e0c98f19c023
B1	L1:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_VIPT_LIKE_B1_0_80/run.log	349db452adef5793040bb86f2d891235c7019fdb03ac3f6c9eede65043bf1db5
B1	L1:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_VIPT_LIKE_B1_0_80/command.json	952651532b43df8df80bc7b7f18e66d2e548eaebd2884f5f00e73de896755a6a
B1	L1:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_VIPT_LIKE_B1_0_80/grammar.json	00b606f045da1ce3feee19b5bfaf5bf3b37559007e3cbbf0e9290268f38c7839
B1	L1:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_VIPT_LIKE_B1_0_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B1	L1:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L1_VIPT_LIKE_B1_0_80/wall_seconds.txt	051fe7d4e66a2b11be261f39c9d2d36e70d7de1971c6c52bebf87ec3b20e9265
B0	M1:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_WARP_REFERENCE_10_80/run.log	ef964cd43294c76bdc889bd56235e9c578d0387ee2835bd9868718452befce2a
B0	M1:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_WARP_REFERENCE_10_80/command.json	1a2c5c67af4cdc4b9805a987aec082604cf276448f4f8ff4481410e090fc5879
B0	M1:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_WARP_REFERENCE_10_80/grammar.json	3c94d0e0485c42e6b0bdd22bb61121ca6059092742ac61ec39c3806a21bc6081
B0	M1:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_WARP_REFERENCE_10_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B0	M1:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_WARP_REFERENCE_10_80/wall_seconds.txt	63c3e6d3f811a04e9d47f82327edccdc1e9cd85fabb98df88e1a6ad1dcfad80c
B1	M1:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_VIPT_LIKE_B1_0_80/run.log	16db4e8eb0aa6eee46ca96053c0720c15e1228658f218d283ec7d0f99fa37eec
B1	M1:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_VIPT_LIKE_B1_0_80/command.json	7d73d45d037b6332cf77deb4bbea7298e5b3b9970baecd2fd680c104a9395c10
B1	M1:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_VIPT_LIKE_B1_0_80/grammar.json	3c94d0e0485c42e6b0bdd22bb61121ca6059092742ac61ec39c3806a21bc6081
B1	M1:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_VIPT_LIKE_B1_0_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B1	M1:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M1_VIPT_LIKE_B1_0_80/wall_seconds.txt	4dc38c9af4bd913706e7858cf61e870b7333e29a98ef3adc23faf3af0f8b9660
B0	M2:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M2_WARP_REFERENCE_10_80/run.log	b07d28e7a14fe098f08b18e2aa0560f07dde22bd318013b6aeb537fd92c87116
B0	M2:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M2_WARP_REFERENCE_10_80/command.json	1466b5ef136d316ac47bf6971bdb36598811f0b15dffa593fd1f64b1fbad6f2c
B0	M2:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M2_WARP_REFERENCE_10_80/grammar.json	3e4c339363c4741599c386eee367c2c4f8f9d53137200fe4d7b9502a068e861c
B0	M2:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M2_WARP_REFERENCE_10_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B0	M2:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/M2_WARP_REFERENCE_10_80/wall_seconds.txt	bb14f51efc7cb5437e6c8e7403b161156ac558065afd880a61a5f7056126dc96
B0	L2:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_WARP_REFERENCE_10_80/run.log	663d8be04ae343f9495bad35a59053a86f50231849dab4617ae123bd8a574e4c
B0	L2:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_WARP_REFERENCE_10_80/command.json	4bc5b09705eba19482c058185238edce9f7a7dfb94ed171b32ff9fdab82b823d
B0	L2:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_WARP_REFERENCE_10_80/grammar.json	091b645ac0209efb29694d348274acf34c9c149bd9bf916e52e4aa103ebe1c9f
B0	L2:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_WARP_REFERENCE_10_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
B0	L2:wall_seconds.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_WARP_REFERENCE_10_80/wall_seconds.txt	cef0a34d425b75b86f73f50ffaad53a40855e05402e21e7caa38ac930a7364c6
B1	L2:run.log	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_VIPT_LIKE_B1_0_80/run.log	11eed074b36e68ba4df102209bad50468ca73a7c2133e2cc4d3a6eb3acf0d724
B1	L2:command.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_VIPT_LIKE_B1_0_80/command.json	3db0835327107f50e004376da8eacbdae09d5e71fc7f47fad7b2b16c03ec6ae9
B1	L2:grammar.json	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_VIPT_LIKE_B1_0_80/grammar.json	091b645ac0209efb29694d348274acf34c9c149bd9bf916e52e4aa103ebe1c9f
B1	L2:rc.txt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/raw/L2_VIPT_LIKE_B1_0_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
