suite_id	phase	decode_step	normalized_kernel_family	grid	block	asset_status	new_capture_action	match_count	accepted_target	payload_sha256	join_basis
R02	DECODE	1	AT_NATIVE_ELEMENTWISE	3586,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R03	DECODE	2	AT_NATIVE_ELEMENTWISE	3588,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R04	DECODE	3	AT_NATIVE_ELEMENTWISE	3590,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R05	DECODE	4	AT_NATIVE_ELEMENTWISE	3591,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R06	DECODE	5	AT_NATIVE_ELEMENTWISE	3593,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R07	DECODE	6	AT_NATIVE_ELEMENTWISE	3595,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R08	DECODE	7	AT_NATIVE_ELEMENTWISE	3597,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R09	DECODE	8	AT_NATIVE_ELEMENTWISE	3598,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R10	DECODE	9	AT_NATIVE_ELEMENTWISE	3600,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R11	DECODE	10	AT_NATIVE_ELEMENTWISE	3602,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R12	DECODE	11	AT_NATIVE_ELEMENTWISE	3604,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R13	DECODE	12	AT_NATIVE_ELEMENTWISE	3605,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R14	DECODE	13	AT_NATIVE_ELEMENTWISE	3607,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R15	DECODE	14	AT_NATIVE_ELEMENTWISE	3609,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R16	DECODE	15	AT_NATIVE_ELEMENTWISE	3611,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R17	DECODE	16	AT_NATIVE_ELEMENTWISE	3612,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R18	DECODE	17	AT_NATIVE_ELEMENTWISE	3614,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R19	DECODE	18	AT_NATIVE_ELEMENTWISE	3616,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R20	DECODE	19	AT_NATIVE_ELEMENTWISE	3618,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R21	DECODE	20	AT_NATIVE_ELEMENTWISE	3619,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R22	DECODE	21	AT_NATIVE_ELEMENTWISE	3621,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R23	DECODE	22	AT_NATIVE_ELEMENTWISE	3623,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
