point_id	pattern	layout_point	mode	allocated_bytes	cold_gpu_ms	repeat_gpu_ms	cold_repeat_ratio	migration_bytes	htod_bytes	dtoh_bytes	prefetch_runtime_calls	fault_counters
D1_FULL_M0	D1	FULL	M0	16381470720	2173.903564	96.516479	22.523652	16381603840	16381538304	65536	0	UNAVAILABLE
D1_FULL_M1	D1	FULL	M1	16381470720	900.896667	134.819748	6.682231	16381603840	16381538304	65536	2394	UNAVAILABLE
D2_RESIDENT_M0	D2	RESIDENT	M0	12750684160	2038.302368	168.064545	12.128093	12750815232	12750749696	65536	0	UNAVAILABLE
D2_RESIDENT_M1	D2	RESIDENT	M1	12750684160	728.709961	178.086273	4.091893	12750815232	12750749696	65536	32	UNAVAILABLE
D2_NEAR_CAPACITY_M0	D2	NEAR_CAPACITY	M0	16240345088	2573.686523	214.010757	12.025968	16240476160	16240410624	65536	0	UNAVAILABLE
D2_NEAR_CAPACITY_M1	D2	NEAR_CAPACITY	M1	16240345088	926.304443	225.917282	4.100193	16240476160	16240410624	65536	32	UNAVAILABLE
D2_MILD_OVERSUB_M0	D2	MILD_OVERSUB	M0	18790481920	8685.383789	9701.657227	0.895247	195006562304	105696854016	89309708288	0	UNAVAILABLE
D2_MILD_OVERSUB_M1	D2	MILD_OVERSUB	M1	18790481920	10480.876953	11211.173828	0.934860	270168621056	143277883392	126890737664	32	UNAVAILABLE
D3_ACTUAL_DECODE8_M0	D3	ACTUAL_DECODE8	M0	13838323712	1072.174072	136.573761	7.850513	7625248768	7625183232	65536	0	UNAVAILABLE
D3_ACTUAL_DECODE8_M1	D3	ACTUAL_DECODE8	M1	13838323712	622.635986	194.212387	3.205954	7464992768	7464927232	65536	6144	UNAVAILABLE
