allocated_bytes	cold_runs	immediate_repeat_runs	layout_point	mode	pattern	point_id	status
16381470720	1	1	FULL	M0	D1	D1_FULL_M0	PLANNED
16381470720	1	1	FULL	M1	D1	D1_FULL_M1	PLANNED
12750684160	1	1	RESIDENT	M0	D2	D2_RESIDENT_M0	PLANNED
12750684160	1	1	RESIDENT	M1	D2	D2_RESIDENT_M1	PLANNED
16240345088	1	1	NEAR_CAPACITY	M0	D2	D2_NEAR_CAPACITY_M0	PLANNED
16240345088	1	1	NEAR_CAPACITY	M1	D2	D2_NEAR_CAPACITY_M1	PLANNED
18790481920	1	1	MILD_OVERSUB	M0	D2	D2_MILD_OVERSUB_M0	PLANNED
18790481920	1	1	MILD_OVERSUB	M1	D2	D2_MILD_OVERSUB_M1	PLANNED
13838323712	1	1	ACTUAL_DECODE8	M0	D3	D3_ACTUAL_DECODE8_M0	PLANNED
13838323712	1	1	ACTUAL_DECODE8	M1	D3	D3_ACTUAL_DECODE8_M1	PLANNED
