pattern	point	mode	repetition	step	active_bytes	selected_experts	step_ms	point_id	allocated_bytes	migration_count	migration_bytes	migration_time_ns	gpu_fault_events
D1	FULL	M0	cold	0	16381470720		2109.41	D1_FULL_M0	16381470720	275487	16381538304	988950797	UNAVAILABLE
D1	FULL	M0	cold	1	16381470720		32.1918	D1_FULL_M0	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M0	cold	2	16381470720		32.1757	D1_FULL_M0	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M0	repeat	0	16381470720		32.1776	D1_FULL_M0	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M0	repeat	1	16381470720		32.158	D1_FULL_M0	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M0	repeat	2	16381470720		32.1582	D1_FULL_M0	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M1	cold	0	16381470720		808.439	D1_FULL_M1	16381470720	8145	16381538304	692763046	UNAVAILABLE
D1	FULL	M1	cold	1	16381470720		46.8232	D1_FULL_M1	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M1	cold	2	16381470720		45.5482	D1_FULL_M1	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M1	repeat	0	16381470720		44.9028	D1_FULL_M1	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M1	repeat	1	16381470720		44.8697	D1_FULL_M1	16381470720	0	0	0	UNAVAILABLE
D1	FULL	M1	repeat	2	16381470720		44.9972	D1_FULL_M1	16381470720	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	cold	0	796917760		108.87	D2_RESIDENT_M0	12750684160	14796	796983296	50051239	UNAVAILABLE
D2	RESIDENT	M0	cold	1	1593835520		108.889	D2_RESIDENT_M0	12750684160	35862	796917760	73103366	UNAVAILABLE
D2	RESIDENT	M0	cold	2	2390753280		121.361	D2_RESIDENT_M0	12750684160	41574	796917760	79004001	UNAVAILABLE
D2	RESIDENT	M0	cold	3	3187671040		119.085	D2_RESIDENT_M0	12750684160	36262	796917760	73110449	UNAVAILABLE
D2	RESIDENT	M0	cold	4	3984588800		128.468	D2_RESIDENT_M0	12750684160	42880	796917760	80379818	UNAVAILABLE
D2	RESIDENT	M0	cold	5	4781506560		129.417	D2_RESIDENT_M0	12750684160	41966	796917760	79271324	UNAVAILABLE
D2	RESIDENT	M0	cold	6	5578424320		127.848	D2_RESIDENT_M0	12750684160	39526	796917760	76798537	UNAVAILABLE
D2	RESIDENT	M0	cold	7	6375342080		132.902	D2_RESIDENT_M0	12750684160	43543	796917760	81102506	UNAVAILABLE
D2	RESIDENT	M0	cold	8	7172259840		144.748	D2_RESIDENT_M0	12750684160	51654	796917760	90295387	UNAVAILABLE
D2	RESIDENT	M0	cold	9	7969177600		132.483	D2_RESIDENT_M0	12750684160	41574	796917760	78916125	UNAVAILABLE
D2	RESIDENT	M0	cold	10	8766095360		137.075	D2_RESIDENT_M0	12750684160	43772	796917760	81413570	UNAVAILABLE
D2	RESIDENT	M0	cold	11	9563013120		121.315	D2_RESIDENT_M0	12750684160	29798	796917760	66003783	UNAVAILABLE
D2	RESIDENT	M0	cold	12	10359930880		123.577	D2_RESIDENT_M0	12750684160	31922	796917760	68134178	UNAVAILABLE
D2	RESIDENT	M0	cold	13	11156848640		137.743	D2_RESIDENT_M0	12750684160	41228	796917760	78660930	UNAVAILABLE
D2	RESIDENT	M0	cold	14	11953766400		130.411	D2_RESIDENT_M0	12750684160	35880	796917760	72551316	UNAVAILABLE
D2	RESIDENT	M0	cold	15	12750684160		133.881	D2_RESIDENT_M0	12750684160	37478	796917760	74239119	UNAVAILABLE
D2	RESIDENT	M0	repeat	0	796917760		1.24691	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	1	1593835520		2.47094	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	2	2390753280		3.71078	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	3	3187671040		4.94125	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	4	3984588800		6.17053	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	5	4781506560		7.42582	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	6	5578424320		8.65024	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	7	6375342080		9.88957	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	8	7172259840		11.1407	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	9	7969177600		12.3463	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	10	8766095360		13.5748	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	11	9563013120		14.8363	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	12	10359930880		16.0635	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	13	11156848640		17.2212	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	14	11953766400		18.5124	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M0	repeat	15	12750684160		19.7557	D2_RESIDENT_M0	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	cold	0	796917760		36.4886	D2_RESIDENT_M1	12750684160	382	796983296	33674770	UNAVAILABLE
D2	RESIDENT	M1	cold	1	1593835520		37.5532	D2_RESIDENT_M1	12750684160	380	796917760	33770547	UNAVAILABLE
D2	RESIDENT	M1	cold	2	2390753280		38.8955	D2_RESIDENT_M1	12750684160	380	796917760	33764595	UNAVAILABLE
D2	RESIDENT	M1	cold	3	3187671040		39.9288	D2_RESIDENT_M1	12750684160	380	796917760	33762581	UNAVAILABLE
D2	RESIDENT	M1	cold	4	3984588800		41.3291	D2_RESIDENT_M1	12750684160	380	796917760	33817781	UNAVAILABLE
D2	RESIDENT	M1	cold	5	4781506560		42.3642	D2_RESIDENT_M1	12750684160	380	796917760	33763730	UNAVAILABLE
D2	RESIDENT	M1	cold	6	5578424320		43.7338	D2_RESIDENT_M1	12750684160	380	796917760	33786229	UNAVAILABLE
D2	RESIDENT	M1	cold	7	6375342080		44.8184	D2_RESIDENT_M1	12750684160	380	796917760	33768435	UNAVAILABLE
D2	RESIDENT	M1	cold	8	7172259840		46.1681	D2_RESIDENT_M1	12750684160	380	796917760	33778004	UNAVAILABLE
D2	RESIDENT	M1	cold	9	7969177600		47.2708	D2_RESIDENT_M1	12750684160	380	796917760	33765075	UNAVAILABLE
D2	RESIDENT	M1	cold	10	8766095360		48.669	D2_RESIDENT_M1	12750684160	380	796917760	33838385	UNAVAILABLE
D2	RESIDENT	M1	cold	11	9563013120		49.7629	D2_RESIDENT_M1	12750684160	380	796917760	33793619	UNAVAILABLE
D2	RESIDENT	M1	cold	12	10359930880		51.0731	D2_RESIDENT_M1	12750684160	380	796917760	33807634	UNAVAILABLE
D2	RESIDENT	M1	cold	13	11156848640		52.2146	D2_RESIDENT_M1	12750684160	380	796917760	33748817	UNAVAILABLE
D2	RESIDENT	M1	cold	14	11953766400		53.6052	D2_RESIDENT_M1	12750684160	380	796917760	33786964	UNAVAILABLE
D2	RESIDENT	M1	cold	15	12750684160		54.5799	D2_RESIDENT_M1	12750684160	380	796917760	33723380	UNAVAILABLE
D2	RESIDENT	M1	repeat	0	796917760		1.90624	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	1	1593835520		3.08285	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	2	2390753280		4.40013	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	3	3187671040		5.69226	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	4	3984588800		6.78	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	5	4781506560		8.02816	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	6	5578424320		9.20006	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	7	6375342080		10.5589	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	8	7172259840		11.7407	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	9	7969177600		12.9708	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	10	8766095360		14.24	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	11	9563013120		15.4457	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	12	10359930880		16.6548	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	13	11156848640		17.8689	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	14	11953766400		19.0792	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	RESIDENT	M1	repeat	15	12750684160		20.3299	D2_RESIDENT_M1	12750684160	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	0	1015021568		136.746	D2_NEAR_CAPACITY_M0	16240345088	18952	1015087104	63687886	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	1	2030043136		157.043	D2_NEAR_CAPACITY_M0	16240345088	56870	1015021568	106049384	UNAVAILABLE
D2	NEAR_CAPACITY	M0	cold	2	3045064704		145.837	D2_NEAR_CAPACITY_M0	16240345088	42258	1015021568	88913131	UNAVAILABLE
