point_id	pattern	layout_point	mode	status	migration_count	migration_bytes	migration_time_ns	htod_bytes	dtoh_bytes	prefetch_runtime_calls	gpu_fault_events	cpu_fault_events	observability	breakdown_json
D1_FULL_M0	D1	FULL	M0	COMPLETE	275489	16381603840	988954892	16381538304	65536	0	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 3791953920, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 12589584384}"
D1_FULL_M1	D1	FULL	M1	COMPLETE	8147	16381603840	692767173	16381538304	65536	2394	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 16381472768}"
D2_RESIDENT_M0	D2	RESIDENT	M0	COMPLETE	609717	12750815232	1203039775	12750749696	65536	0	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 2922729472, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 9828020224}"
D2_RESIDENT_M1	D2	RESIDENT	M1	COMPLETE	6084	12750815232	540354641	12750749696	65536	32	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 12750684160}"
D2_NEAR_CAPACITY_M0	D2	NEAR_CAPACITY	M0	COMPLETE	755148	16240476160	1509979113	16240410624	65536	0	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 3663310848, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 12577099776}"
D2_NEAR_CAPACITY_M1	D2	NEAR_CAPACITY	M1	COMPLETE	7748	16240476160	687922025	16240410624	65536	32	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 16240345088}"
D2_MILD_OVERSUB_M0	D2	MILD_OVERSUB	M0	COMPLETE	2894452	195006562304	10965455200	105696854016	89309708288	0	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 89309642752, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24683720704, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 81013133312}"
D2_MILD_OVERSUB_M1	D2	MILD_OVERSUB	M1	COMPLETE	2152711	270168621056	13142352932	143277883392	126890737664	32	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 126890672128, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 25152823296, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 80544096256, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 37580963840}"
D3_ACTUAL_DECODE8_M0	D3	ACTUAL_DECODE8	M0	COMPLETE	140641	7625248768	473591169	7625183232	65536	0	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 1752010752, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 5873172480}"
D3_ACTUAL_DECODE8_M1	D3	ACTUAL_DECODE8	M1	COMPLETE	21205	7464992768	335609911	7464927232	65536	6144	UNAVAILABLE	UNAVAILABLE	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4096, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 61440, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 220798976, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 742518784, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 6501609472}"
