pattern	mode	repetition	step	active_bytes	expert_id	step_ms	checksum	expected	point_id	ratio_id	allocated_bytes	migration_count	migration_bytes	migration_time_ns	gpu_fault_events
P1	M0	cold	0	12878610432	-1	1714.46	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	238454	12878741504	802219168	UNAVAILABLE
P1	M0	cold	1	12878610432	-1	19.9541	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	4	131072	8990	UNAVAILABLE
P1	M0	cold	2	12878610432	-1	19.9689	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	4	131072	9182	UNAVAILABLE
P1	M0	repeat	0	12878610432	-1	19.9574	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	4	131072	9054	UNAVAILABLE
P1	M0	repeat	1	12878610432	-1	19.9552	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	4	131072	8990	UNAVAILABLE
P1	M0	repeat	2	12878610432	-1	19.9211	54228637853417472	54228637853417472	P1_R0_M0	R0	12878610432	4	131072	9054	UNAVAILABLE
P1	M1	cold	0	12878610432	-1	20.1246	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	9310	UNAVAILABLE
P1	M1	cold	1	12878610432	-1	19.9604	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	9310	UNAVAILABLE
P1	M1	cold	2	12878610432	-1	19.9435	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	8958	UNAVAILABLE
P1	M1	repeat	0	12878610432	-1	19.9469	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	8958	UNAVAILABLE
P1	M1	repeat	1	12878610432	-1	19.9527	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	9055	UNAVAILABLE
P1	M1	repeat	2	12878610432	-1	19.968	54228637853417472	54228637853417472	P1_R0_M1	R0	12878610432	4	131072	8926	UNAVAILABLE
P1	M0	cold	0	16312905728	-1	2085.67	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	302128	16313036800	1015354649	UNAVAILABLE
P1	M0	cold	1	16312905728	-1	25.3063	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	4	131072	9022	UNAVAILABLE
P1	M0	cold	2	16312905728	-1	25.2822	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	4	131072	9022	UNAVAILABLE
P1	M0	repeat	0	16312905728	-1	25.2841	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	4	131072	9086	UNAVAILABLE
P1	M0	repeat	1	16312905728	-1	25.2565	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	4	131072	8894	UNAVAILABLE
P1	M0	repeat	2	16312905728	-1	25.2693	68689604498213888	68689604498213888	P1_R1_M0	R1	16312905728	4	131072	8959	UNAVAILABLE
P1	M1	cold	0	16312905728	-1	25.4409	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	9246	UNAVAILABLE
P1	M1	cold	1	16312905728	-1	25.276	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	8926	UNAVAILABLE
P1	M1	cold	2	16312905728	-1	25.2471	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	8926	UNAVAILABLE
P1	M1	repeat	0	16312905728	-1	25.2849	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	8958	UNAVAILABLE
P1	M1	repeat	1	16312905728	-1	25.2885	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	8990	UNAVAILABLE
P1	M1	repeat	2	16312905728	-1	25.2609	68689604498213888	68689604498213888	P1_R1_M1	R1	16312905728	4	131072	8926	UNAVAILABLE
P1	M0	cold	0	18888626176	-1	2514.71	79535325170000896	79535325170000896	P1_R2_M0	R2	18888626176	353670	21390659584	1274585724	UNAVAILABLE
P1	M0	cold	1	18888626176	-1	3145.75	79535325170000896	79535325170000896	P1_R2_M0	R2	18888626176	379917	37094825984	1896763349	UNAVAILABLE
P1	M0	cold	2	18888626176	-1	3248.93	79535325170000896	79535325170000896	P1_R2_M0	R2	18888626176	380191	37777383424	1923171149	UNAVAILABLE
P1	M0	repeat	0	18888626176	-1	3258.17	79535325170000896	79535325170000896	P1_R2_M0	R2	18888626176	380255	37777383424	1919367096	UNAVAILABLE
