point_id	pattern	ratio_id	mode	status	migration_count	migration_bytes	migration_time_ns	htod_bytes	dtoh_bytes	prefetch_runtime_calls	gpu_fault_events	cpu_fault_events	breakdown_json	observability
P1_R0_M0	P1	R0	M0	COMPLETE	238474	12879396864	802264438	12879003648	393216	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 3173695488, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 9705308160}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R0_M1	P1	R0	M1	COMPLETE	6165	12879396864	544537904	12879003648	393216	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 12878610432}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R1_M0	P1	R1	M0	COMPLETE	302148	16313692160	1015399632	16313298944	393216	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 4004450304, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 12308848640}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R1_M1	P1	R1	M1	COMPLETE	7803	16313692160	688959887	16313298944	393216	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 16312905728}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R2_M0	P1	R2	M0	COMPLETE	2254225	209595019264	10852207827	113272446976	96322572288	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 96322179072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 27108077568, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 86164369408}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R2_M1	P1	R2	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
P1_R3_M0	P1	R3	M0	COMPLETE	2569121	241311678464	12493508782	128849412096	112462266368	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 24576, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 112461873152, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 368640, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 30777790464, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 98071621632}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P1_R3_M1	P1	R3	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
P2_R0_M0	P2	R0	M0	COMPLETE	203249	12879233024	761024014	12878921728	311296	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 2213134336, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 10665787392}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P2_R0_M1	P2	R0	M1	COMPLETE	6181	12879233024	544127362	12878921728	311296	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 12878610432}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
