target	mode	domain	metric	width	mean	p50	p95	p99	peak	top1_start_cycle	top1_end_cycle	top1_value
A1	off	progress	instructions	32	9779.386599383	10016	14592	16608	143104	5120	5151	143104
A1	off	progress	instructions	128	39106.582959641	40224	57640	65412	471296	4992	5119	471296
A1	off	progress	instructions	512	156426.331838565	162308	222912	241792	471296	4608	5119	471296
A1	off	scheduler	dependency_scoreboard	32	6004.402579198	6424	8428	8678	8918	97824	97855	8918
A1	off	scheduler	dependency_scoreboard	128	24010.878923767	25688	33686	34686	35449	97792	97919	35449
A1	off	scheduler	dependency_scoreboard	512	96043.515695067	102853	134832	137840	140691	97280	97791	140691
A1	off	scheduler	eligible_structural	32	2585.460611158	1755	8864	9728	9728	5184	5215	9728
A1	off	scheduler	eligible_structural	128	10338.943946188	7013	35450	38870	38912	5248	5375	38912
A1	off	scheduler	eligible_structural	512	41355.775784753	28008	141791	153549	155648	5632	6143	155648
A1	off	memory	admissions	32	114.668909448	111	280	320	382	7200	7231	382
A1	off	memory	admissions	128	458.547085202	442	1143	1269	1361	7168	7295	1361
A1	off	memory	admissions	512	1834.188340807	1758	3735	5063	5069	11264	11775	5069
A1	off	memory	l1_reservation_fail	32	2541.041211102	2462	5780	6715	7550	16608	16639	7550
A1	off	memory	l1_reservation_fail	128	10161.316143498	9882	23196	26920	29762	16512	16639	29762
A1	off	memory	l1_reservation_fail	512	40645.264573991	39362	92575	104842	116466	16384	16895	116466
A1	off	memory	icnt_to_l2_occupancy	32	14.578637511	7	30	53	55	11456	11487	55
A1	off	memory	icnt_to_l2_occupancy	128	14.565022422	7	30	52	54	11264	11391	54
A1	off	memory	icnt_to_l2_occupancy	512	14.569506726	7	31	52	54	11264	11775	54
A1	off	memory	dram_queue_occupancy	32	28.374824783	27	61	63	63	11712	11743	63
A1	off	memory	dram_queue_occupancy	128	28.382286996	27	60	63	63	12160	12287	63
A1	off	memory	dram_queue_occupancy	512	28.349775785	27	59	63	63	12288	12799	63
A1	off	translation	translation_ready	32	114.668909448	111	281	320	382	7200	7231	382
A1	off	translation	translation_ready	128	458.547085202	441	1143	1269	1361	7168	7295	1361
A1	off	translation	translation_ready	512	1834.188340807	1759	3734	5064	5068	11264	11775	5068
A1	off	translation	translation_not_ready	32	938.497897393	864	2120	2430	2432	5184	5215	2432
A1	off	translation	translation_not_ready	128	3752.939461883	3437	8470	9710	9728	5248	5375	9728
A1	off	translation	translation_not_ready	512	15011.757847534	13897	33849	38366	38897	5632	6143	38897
A1	candidate	progress	instructions	32	9963.745215653	10048	15040	17632	143104	5120	5151	143104
A1	candidate	progress	instructions	128	39820.858447489	39904	59100	69248	471296	4992	5119	471296
A1	candidate	progress	instructions	512	159283.433789954	160286	235124	257216	471296	4608	5119	471296
A1	candidate	scheduler	dependency_scoreboard	32	5989.016852328	6555	8362	8633	8767	96288	96319	8767
A1	candidate	scheduler	dependency_scoreboard	128	23935.557077626	26208	33485	34518	34915	96256	96383	34915
A1	candidate	scheduler	dependency_scoreboard	512	95742.228310502	104279	134096	138118	138479	96256	96767	138479
A1	candidate	scheduler	eligible_structural	32	2559.523279063	1834	8936	9728	9728	5184	5215	9728
A1	candidate	scheduler	eligible_structural	128	10229.327625571	7302	35613	38869	38912	5248	5375	38912
A1	candidate	scheduler	eligible_structural	512	40917.310502283	29449	143120	152276	155648	5632	6143	155648
A1	candidate	memory	admissions	32	116.830619823	113	271	300	380	7200	7231	380
A1	candidate	memory	admissions	128	466.922374429	456	1098	1211	1269	6912	7039	1269
A1	candidate	memory	admissions	512	1867.689497717	1835	4370	4704	4876	12288	12799	4876
A1	candidate	memory	l1_reservation_fail	32	2532.690945444	2708	5413	5917	6113	43040	43071	6113
A1	candidate	memory	l1_reservation_fail	128	10122.090182648	10757	21710	23547	24232	43136	43263	24232
A1	candidate	memory	l1_reservation_fail	512	40488.360730594	43060	86165	93771	94493	43008	43519	94493
A1	candidate	memory	icnt_to_l2_occupancy	32	15.063696087	7	38	52	55	13120	13151	55
A1	candidate	memory	icnt_to_l2_occupancy	128	15.047945205	7	38	52	54	13056	13183	54
A1	candidate	memory	icnt_to_l2_occupancy	512	15.059360731	7	39	51	52	11264	11775	52
A1	candidate	memory	dram_queue_occupancy	32	28.313624679	30	56	63	63	10528	10559	63
A1	candidate	memory	dram_queue_occupancy	128	28.262557078	30	56	63	63	10496	10623	63
A1	candidate	memory	dram_queue_occupancy	512	28.273972603	29	53	63	63	10752	11263	63
A1	candidate	translation	translation_ready	32	83.688089117	81	194	216	249	7104	7135	249
A1	candidate	translation	translation_ready	128	334.465753425	325	784	868	888	7040	7167	888
A1	candidate	translation	translation_ready	512	1337.863013699	1304	3123	3363	3492	12288	12799	3492
A1	candidate	translation	translation_not_ready	32	931.534133105	863	2151	2430	2432	5184	5215	2432
A1	candidate	translation	translation_not_ready	128	3722.946347032	3430	8610	9710	9728	5248	5375	9728
A1	candidate	translation	translation_not_ready	512	14891.785388128	13804	34542	37981	38899	5632	6143	38899
A2	off	progress	instructions	32	9481.672193531	9888	13600	15328	143104	5120	5151	143104
A2	off	progress	instructions	128	37916.382608696	39510	53486	59104	471296	4992	5119	471296
A2	off	progress	instructions	512	151665.530434783	160608	208200	230118	471296	4608	5119	471296
A2	off	scheduler	dependency_scoreboard	32	5835.321282957	6458	8030	8271	8451	102944	102975	8451
A2	off	scheduler	dependency_scoreboard	128	23334.942391304	25793	32124	32967	33656	102912	103039	33656
A2	off	scheduler	dependency_scoreboard	512	93339.769565217	102827	128193	131933	133541	102400	102911	133541
A2	off	scheduler	eligible_structural	32	2644.958412612	2069	8882	9728	9728	5184	5215	9728
