kind	id	path_or_authority	sha256	evidence_class
control_run_log	T0	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T0_OWNER_ONLY_NO_SHARE_10_80/run.log	2e3f37a59002e0b66c65e98e33511fab7fd97cbcdee011a47709aa6258f9cc22	NEW_RUN
control_command	T0	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T0_OWNER_ONLY_NO_SHARE_10_80/command.json	72267dbc624f816e4365f1d2c64b72547750729f86295abc05be0b74c0dc05c9	PROVENANCE
frozen_candidate_run_log	T0	/root/share/mnt164/huangrulin/awma_c1_nonblocking_opportunistic_sharing_v1/raw/T0_NONBLOCKING_SHARE_10_80/run.log	eac9605388177b7dd750244131b72a9f518505bf1274d377ad200542e7d02040	ACCEPTED_REUSED_NO_RERUN
accepted_off_run_log	T0	/root/share/mnt164/huangrulin/awma_literature_guided_mechanism_exploration_v1/raw/T0_none_10_80/run.log	16c3a69544170326df60ca43135fa6b78c50e5190082e9b95ab7fcc61fe74786	ACCEPTED_REUSED_NO_RERUN
control_run_log	T1	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T1_OWNER_ONLY_NO_SHARE_10_80/run.log	decfd743c8476e5eb61aa8abf679c1e9eafcb2c05e80e6ca77ba0edac17d1def	NEW_RUN
control_command	T1	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T1_OWNER_ONLY_NO_SHARE_10_80/command.json	729dbc51b7c2c3cab8a7598249d76d0c8f4dbfac74fe860111e00e40fd0d3764	PROVENANCE
frozen_candidate_run_log	T1	/root/share/mnt164/huangrulin/awma_c1_nonblocking_opportunistic_sharing_v1/raw/T1_NONBLOCKING_SHARE_10_80/run.log	dde311de126d07f22dc63db7752b49468578066ed69427aafcafe58b8f6191bf	ACCEPTED_REUSED_NO_RERUN
accepted_off_run_log	T1	/root/share/mnt164/huangrulin/awma_literature_guided_mechanism_exploration_v1/raw/T1_none_10_80/run.log	d208579d44799167aae1e9a8f53ad9743f377d6ed7373eb908f61e9d08edc719	ACCEPTED_REUSED_NO_RERUN
control_run_log	T2	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T2_OWNER_ONLY_NO_SHARE_10_80/run.log	516a2f9252d55cec36730079831998f6c56c1f33670fef6fca9b7de0db635d70	NEW_RUN
control_command	T2	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/T2_OWNER_ONLY_NO_SHARE_10_80/command.json	4b3b094edf67e0cb5772b502899643377b6670cba7ea185dc3b1ef7b04b7188f	PROVENANCE
frozen_candidate_run_log	T2	/root/share/mnt164/huangrulin/awma_c1_nonblocking_opportunistic_sharing_v1/raw/T2_NONBLOCKING_SHARE_10_80/run.log	0e3017f31722700363e90a2c1b9bd77f56f9fb3bd3f717d406dabc017eb6a4f3	ACCEPTED_REUSED_NO_RERUN
accepted_off_run_log	T2	/root/share/mnt164/huangrulin/awma_literature_guided_mechanism_exploration_v1/raw/T2_none_10_80/run.log	b181bc023efc855377ebe47dfebd433d98381b70857f6e828a218f995375440e	ACCEPTED_REUSED_NO_RERUN
control_run_log	SPLITKV	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/SPLITKV_OWNER_ONLY_NO_SHARE_10_80/run.log	8c942cd3cdba732e30f40812840fcf66b115e4661bb5209460fce15d71d2d4b9	NEW_RUN
control_command	SPLITKV	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/SPLITKV_OWNER_ONLY_NO_SHARE_10_80/command.json	67d78bdb63cc1b8dbe07f77b2e109fca04d553582d782b3c66a2875caf3c3211	PROVENANCE
frozen_candidate_run_log	SPLITKV	/root/share/mnt164/huangrulin/awma_c1_nonblocking_opportunistic_sharing_v1/raw/SPLITKV_NONBLOCKING_SHARE_10_80/run.log	e78983d85bc29b1b618af4bdd1bf9dc36a8b2d39f791aa20de7e5ef1a5977702	ACCEPTED_REUSED_NO_RERUN
accepted_off_run_log	SPLITKV	/root/awma_existing_rep_suite_trace_requalification_v1_runtime/SPLITKV_V1_10_80/run.log	7b96a6f66748c9fc3b82243807eade991fa5605428241d1ca8b090f788c8375b	ACCEPTED_REUSED_NO_RERUN
control_run_log	COMBINE	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/COMBINE_OWNER_ONLY_NO_SHARE_10_80/run.log	4a854eef67ac989c2280f3411a66bad911e5cc634cc15c8ca633d6ca83e4a3eb	NEW_RUN
control_command	COMBINE	/root/share/mnt164/huangrulin/awma_c1_nonblocking_sharing_causal_ablation_v1/raw/COMBINE_OWNER_ONLY_NO_SHARE_10_80/command.json	447cf41cfa9eccd24437be6217148990f144202413723b2c9b4c02fff56e87d8	PROVENANCE
frozen_candidate_run_log	COMBINE	/root/share/mnt164/huangrulin/awma_c1_nonblocking_opportunistic_sharing_v1/raw/COMBINE_NONBLOCKING_SHARE_10_80/run.log	e9d7ddfff44a1ca521cfbe82a14db5bf91bcb8c09b4e4c0b88c020113c2e15ac	ACCEPTED_REUSED_NO_RERUN
accepted_off_run_log	COMBINE	/root/awma_existing_rep_suite_trace_requalification_v1_runtime/COMBINE_V1_10_80/run.log	b69ee79b311a502d7f89265d5f29cbd8c44e14bb47b93d7b50d38ed7c55e07a5	ACCEPTED_REUSED_NO_RERUN
accepted_commit	FROZEN_CANDIDATE	c0602ee06e647d9a3cf84b0adbb8d98075021f99		ACCEPTED
diagnostic_binary	OWNER_ONLY_BINARY	/root/awma_c1_nonblocking_sharing_causal_ablation_v1_runtime/bin/unified_accel-sim.out	4d9e2fe479e185ee72a0ff86030650897ad57a7e6e86c41df6d3c1eb2de269bb	PROVENANCE
frozen_binary	FROZEN_CANDIDATE_BINARY	/root/awma_c1_nonblocking_opportunistic_sharing_v1_runtime/bin/unified_accel-sim.out	fa4346fcb4b4bddcf493606b7ce3e87ccd3e6241c26258f62c2c0cb79d4cda47	ACCEPTED_REUSED
diagnostic_patch	SOLE_INTERVENTION	/root/workspace/accel-sim-framework-awma-c1-nonblocking-sharing-causal-ablation-v1/docs/vm_tlb/review_packs/AWMA_C1_NONBLOCKING_SHARING_CAUSAL_ABLATION_V1/DIAGNOSTIC_CORE.patch	8ee31415f376f323cfa6f16f4808b38939622734ca793299da4d3247cde84fdc	PROVENANCE
build_log	DIAGNOSTIC_BUILD	/root/awma_c1_nonblocking_sharing_causal_ablation_v1_runtime/unified_build.log	389d2981ea1730167715b0259ca01bad6aadd9e347bdd5774d75168da40d255b	BUILD
runner	CONTROL_RUNNER	/root/workspace/accel-sim-framework-awma-c1-nonblocking-sharing-causal-ablation-v1/util/vm_tlb/awma/run_c1_nonblocking_owner_only_control.py	c08af437c9883daf56530723e15acfc09741b214fe6d7e12729b61f968f397b0	PROVENANCE
