target	candidate	revision	vm_config	cycles	speedup_vs_local_off	cycle_delta_vs_accepted_v1_same_vm_config	instructions	cta	coverage_admissions	coverage_translated	unique_uid	translated_unique_uid	untranslated	unobserved	physical_lookup_requests	l1_tlb_accesses	l2_tlb_accesses	l2_tlb_misses	l2_tlb_evictions	walk_starts	share_owner_ready	share_deliveries	history_hits	protected_refills	protected_hits	protected_victim_skips	all_protected_lru_fallbacks	pending_drops	candidate_pending_final	run_log_sha256	binary_sha256	status
A1_CONTROL	none	v0	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	150a2aa6a70354d99581edbe2468e5d8a540bb7b1361d614a434d0ff5ee4e62b	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
A1_CONTROL	refill_protect	v0	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	10623e5212d36372151def654e6b495f620f73c07bdd2714e91621f06af8763d	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
A1_CONTROL	same_page_share	v0	10/80	850291	0.029221761		2795248	2	51250	51250	51250	51250	0	0	39992	26679	6	3	0	2	13312	26624	0	0	0	0	0	0	0	f81170a39d0f8ed85c641cd155e9bb3777a863d03af201bc30a349a976455c57	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PRE_FIX_OBSOLETE
T0	none	v0	10/80	527896	0.000000000	0	368696302	224	3090304	3090304	3090304	3090304	0	0	21236866	3101682	67140	11378	0	256	0	0	0	0	0	0	0	0	0	16c3a69544170326df60ca43135fa6b78c50e5190082e9b95ab7fcc61fe74786	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
T0	refill_protect	v0	10/80	527896	0.000000000	0	368696302	224	3090304	3090304	3090304	3090304	0	0	21236866	3101682	67140	11378	0	256	0	0	0	0	0	0	0	0	0	33b6a6085db7c6663e750a958e73c7906a96419bb10d9248435b49331682bb0c	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
T0	same_page_share	v0	10/80	505412	0.044486478	-22484	368696302	224	3090304	3090304	3090304	3090304	0	0	1258963	869219	16258	2927	0	256	364256	2248228	0	0	0	0	0	0	0	c43eff6b13947c9cb307bc50af98420975d7e692583fd88662e9f3fbeea6aa8d	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PRE_FIX_INVALID_READY_LEAK
T1	none	v0	10/80	665802	0.000000000	0	369131520	384	7160265	7160265	7159808	7159808	0	0	60930667	7169938	120026	10130	0	493	0	0	0	0	0	0	0	0	0	d208579d44799167aae1e9a8f53ad9743f377d6ed7373eb908f61e9d08edc719	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
T1	refill_protect	v0	10/80	665802	0.000000000	0	369131520	384	7160265	7160265	7159808	7159808	0	0	60930667	7169938	120026	10130	0	493	0	0	0	0	0	0	0	0	0	2c12db560dc04340e15e7f2c9599224b4b4eae3ed59afa30effcf5230bb61510	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
T1	same_page_share	v0	10/80	640487	0.039524612	-25315	369131520	384	7193537	7193537	7159808	7159808	0	0	2039314	1425913	17564	2457	0	493	529856	5819712	0	0	0	0	0	0	0	ab24f031c2f81efd3a4ca1f6839705475d9ddf700885ac163879d5a91844287e	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PRE_FIX_INVALID_READY_LEAK
T2	none	v0	10/80	93079	0.000000000	0	43357696	1216	715333	715333	411008	411008	0	0	549207	412391	2327	1383	0	134	0	0	0	0	0	0	0	0	0	b181bc023efc855377ebe47dfebd433d98381b70857f6e828a218f995375440e	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
