config	rep	n	mean	median	p10	p90	cv	source
A1_CONTROL	1	50	321.86	321.0	321.0	324.0	0.004260475912861977	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A1_CONTROL_rep1.tsv
A1_CONTROL	2	50	321.88	321.0	321.0	324.0	0.004197675097316897	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A1_CONTROL_rep2.tsv
A1_CONTROL	3	50	321.86	321.0	321.0	324.0	0.004260475912861977	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A1_CONTROL_rep3.tsv
A8	1	50	339.7	339.0	339.0	341.0	0.0027771507600990886	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A8_rep1.tsv
A8	2	50	337.96	338.0	337.0	339.0	0.0022110950044111027	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A8_rep2.tsv
A8	3	50	337.72	337.0	337.0	339.0	0.0028425914959137742	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A8_rep3.tsv
A32	1	50	387.44	388.0	387.0	388.0	0.0017244779153923256	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_rep1.tsv
A32	2	50	387.5	388.0	386.0	388.0	0.0018064516129032257	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_rep2.tsv
A32	3	50	387.52	388.0	387.0	388.0	0.0012892233687857965	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_rep3.tsv
A32_W8	1	400	393.13	393.0	393.0	393.0	0.002185352082898105	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_W8_rep1.tsv
A32_W8	2	400	393.3275	393.0	393.0	394.0	0.0026607316767760366	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_W8_rep2.tsv
A32_W8	3	400	393.32	393.0	393.0	394.0	0.0023749888433147047	/data/c16/awma/mechanism_accessq_v1_20260923T114500Z/timing_raw/A32_W8_rep3.tsv
