configuration	repetition	sample_count	mean_cycles_per_load	median_cycles_per_load	p10_cycles_per_load	p90_cycles_per_load	cv_cycles_per_load	source_file
M0	1	50	52.16	52.0	52.0	52.0	0.021472392638036814	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M0_rep1.tsv
M0	2	50	52.16	52.0	52.0	52.0	0.021472392638036814	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M0_rep2.tsv
M0	3	50	52.16	52.0	52.0	52.0	0.021472392638036814	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M0_rep3.tsv
M1	1	50	312.4	293.0	245.0	431.0	0.359719372687902	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M1_rep1.tsv
M1	2	50	312.42	294.0	244.0	431.0	0.36121418779742287	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M1_rep2.tsv
M1	3	50	312.28	294.0	245.0	429.0	0.36014873442960144	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M1_rep3.tsv
M2	1	800	267.86125	278.0	220.0	297.0	0.12428737165783059	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M2_rep1.tsv
M2	2	800	269.45375	281.0	224.0	297.0	0.120021157289014	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M2_rep2.tsv
M2	3	800	269.5725	280.0	227.0	297.0	0.12135462366284666	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M2_rep3.tsv
M3	1	50	155.22	152.5	89.0	230.0	0.37073771826791335	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M3_rep1.tsv
M3	2	50	154.72	155.0	84.0	234.0	0.3734752759657221	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M3_rep2.tsv
M3	3	50	154.58	152.0	88.0	230.0	0.36965040771934926	/data/c16/awma/crosscal_exact_measured_v1r1_20260923T110000Z/timing_raw/M3_rep3.tsv
