state	stride	locations	warps	policy	n	median	mean	p10	p90
CACHE_GLOBAL_VARIANT	16384	1024	1	cg	50	293.0	298.08	293.0	293.0
CACHE_GLOBAL_VARIANT	2097152	1024	1	cg	50	303.0	303.08	303.0	303.0
CACHE_GLOBAL_VARIANT	262144	1024	1	cg	50	302.0	306.32	301.0	302.0
CACHE_GLOBAL_VARIANT	4096	1024	1	cg	50	293.0	296.1	292.0	293.0
CACHE_GLOBAL_VARIANT	4096	2048	1	cg	50	293.0	306.56	292.0	307.0
CACHE_GLOBAL_VARIANT	4096	512	1	cg	50	293.0	293.0	293.0	293.0
CACHE_GLOBAL_VARIANT	65536	1024	1	cg	50	298.0	304.48	298.0	298.0
CACHE_GLOBAL_VARIANT	65536	512	1	cg	50	293.0	293.0	293.0	293.0
CONCURRENCY_SURFACE	2097152	1024	1	default	50	165.5	168.9	115.0	244.0
CONCURRENCY_SURFACE	2097152	1024	16	default	800	106.0	117.85625	64.0	190.0
CONCURRENCY_SURFACE	2097152	1024	2	default	100	176.0	171.23	89.0	242.0
CONCURRENCY_SURFACE	2097152	1024	4	default	200	180.0	181.41	102.0	257.0
CONCURRENCY_SURFACE	2097152	1024	8	default	400	135.0	139.365	68.0	226.0
CONCURRENCY_SURFACE	262144	1024	1	default	50	155.0	167.62	94.0	227.0
CONCURRENCY_SURFACE	262144	1024	16	default	800	111.0	117.26375	61.0	183.0
CONCURRENCY_SURFACE	262144	1024	2	default	100	166.0	169.51	95.0	253.0
CONCURRENCY_SURFACE	262144	1024	4	default	200	182.5	180.035	104.0	258.0
CONCURRENCY_SURFACE	262144	1024	8	default	400	130.5	138.405	69.0	224.0
CONCURRENCY_SURFACE	4096	1024	1	default	50	166.0	164.32	90.0	221.0
CONCURRENCY_SURFACE	4096	1024	16	default	800	110.0	118.60625	64.0	183.0
CONCURRENCY_SURFACE	4096	1024	2	default	100	175.0	173.11	95.0	247.0
CONCURRENCY_SURFACE	4096	1024	4	default	200	167.0	170.635	98.0	257.0
CONCURRENCY_SURFACE	4096	1024	8	default	400	136.0	140.5475	62.0	224.0
CONCURRENCY_SURFACE	65536	1024	1	default	50	169.5	167.9	83.0	237.0
CONCURRENCY_SURFACE	65536	1024	16	default	800	104.0	115.0375	63.0	185.0
CONCURRENCY_SURFACE	65536	1024	2	default	100	156.5	162.91	84.0	251.0
CONCURRENCY_SURFACE	65536	1024	4	default	200	173.0	170.55	82.0	248.0
CONCURRENCY_SURFACE	65536	1024	8	default	400	141.0	144.3075	73.0	221.0
CORE	16384	1024	1	default	50	147.0	154.16	79.0	228.0
CORE	16384	128	1	default	50	52.0	53.24	52.0	52.0
CORE	16384	16	1	default	50	52.0	52.16	52.0	52.0
CORE	16384	16384	1	default	50	481.5	468.38	305.0	649.0
CORE	16384	2048	1	default	50	255.0	257.2	168.0	306.0
CORE	16384	256	1	default	50	52.0	54.46	52.0	52.0
CORE	16384	32	1	default	50	52.0	52.32	52.0	52.0
CORE	16384	32768	1	default	50	578.5	530.32	324.0	651.0
CORE	16384	4096	1	default	50	290.0	312.18	198.0	411.0
CORE	16384	512	1	default	50	52.0	56.92	52.0	52.0
CORE	16384	64	1	default	50	52.0	52.62	52.0	52.0
CORE	16384	8192	1	default	50	330.5	395.18	284.0	644.0
CORE	2097152	1024	1	default	50	163.0	169.46	73.0	253.0
CORE	2097152	128	1	default	50	52.0	53.28	52.0	52.0
CORE	2097152	16	1	default	50	52.0	52.16	52.0	52.0
CORE	2097152	2048	1	default	50	218.0	245.82	134.0	308.0
CORE	2097152	256	1	default	50	52.0	54.56	52.0	52.0
CORE	2097152	32	1	default	50	52.0	52.32	52.0	52.0
CORE	2097152	512	1	default	50	52.0	57.12	52.0	52.0
CORE	2097152	64	1	default	50	52.0	52.64	52.0	52.0
CORE	262144	1024	1	default	50	169.0	175.7	96.0	256.0
CORE	262144	128	1	default	50	52.0	53.24	52.0	52.0
CORE	262144	16	1	default	50	52.0	52.16	52.0	52.0
CORE	262144	16384	1	default	50	412.5	457.82	304.0	651.0
CORE	262144	2048	1	default	50	273.5	271.3	186.0	307.0
CORE	262144	256	1	default	50	52.0	54.52	52.0	52.0
CORE	262144	32	1	default	50	52.0	52.32	52.0	52.0
CORE	262144	4096	1	default	50	304.5	327.86	213.0	462.0
CORE	262144	512	1	default	50	52.0	57.06	52.0	52.0
