metric_or_gate	off	v2r1	pass
awma_passive_v2r1_prelaunch_attempts	2206834	2206834	True
coverage_admissions	25650	25650	True
coverage_re_admissions	0	0	True
coverage_unique_uid	25650	25650	True
gpu_sim_cycle	4411756	4411756	True
gpu_sim_insn	137842	137842	True
gpu_tot_issued_cta	2	2	True
icnt_total_pkts_simt_to_mem	26481	26481	True
vm_functional_completed	26676	26676	True
vm_translation_lookup_requests	26933	26933	True
vm_translation_mshr_allocations	257	257	True
vm_translation_mshr_merges	0	0	True
candidate_coverage_complete			True
candidate_detached_waiters_zero			True
candidate_duplicate_application_zero			True
candidate_forward_hits_zero			True
candidate_live_entries_zero			True
candidate_quiescent			True
candidate_terminal			True
off_coverage_complete			True
off_duplicate_application_zero			True
off_quiescent			True
off_terminal			True
